experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata
ablation_zero,0,15,"[126720, 74491, 124340, 32893, 135551]",-0.5,-0.5625,-0.0625,0.0625,0.12499999750000004,False,"{'prompt': 'The phone', 'correct_token': ' stands', 'incorrect_token': ' stand', 'mode': 'zero'}"
ablation_zero,0,16,"[33604, 2275, 102190, 37024, 27589]",-0.5,-0.5,0.0,0.0,0.0,False,"{'prompt': 'The phone', 'correct_token': ' stands', 'incorrect_token': ' stand', 'mode': 'zero'}"
ablation_zero,0,17,"[104953, 3637, 65581, 148553, 86587]",-0.5,-0.375,0.125,0.125,0.24999999500000009,False,"{'prompt': 'The phone', 'correct_token': ' stands', 'incorrect_token': ' stand', 'mode': 'zero'}"
ablation_zero,0,18,"[143489, 152652, 148587, 125296, 25165]",-0.5,0.375,0.875,0.875,1.7499999650000004,True,"{'prompt': 'The phone', 'correct_token': ' stands', 'incorrect_token': ' stand', 'mode': 'zero'}"
ablation_zero,0,19,"[11545, 103010, 135661, 162499, 142719]",-0.5,-0.5625,-0.0625,0.0625,0.12499999750000004,False,"{'prompt': 'The phone', 'correct_token': ' stands', 'incorrect_token': ' stand', 'mode': 'zero'}"
ablation_zero,0,20,"[68236, 78322, 106836, 68589, 132178]",-0.5,-0.9375,-0.4375,0.4375,0.8749999825000002,False,"{'prompt': 'The phone', 'correct_token': ' stands', 'incorrect_token': ' stand', 'mode': 'zero'}"
ablation_zero,1,15,"[126720, 135551, 74491, 124340, 32893]",-0.5,-0.3125,0.1875,0.1875,0.3749999925000001,False,"{'prompt': 'The teacher', 'correct_token': ' reads', 'incorrect_token': ' read', 'mode': 'zero'}"
ablation_zero,1,16,"[33604, 37024, 2275, 102190, 27589]",-0.5,0.25,0.75,0.75,1.4999999700000004,True,"{'prompt': 'The teacher', 'correct_token': ' reads', 'incorrect_token': ' read', 'mode': 'zero'}"
ablation_zero,1,17,"[86587, 65581, 3637, 148553, 104953]",-0.5,-0.3125,0.1875,0.1875,0.3749999925000001,False,"{'prompt': 'The teacher', 'correct_token': ' reads', 'incorrect_token': ' read', 'mode': 'zero'}"
ablation_zero,1,18,"[148587, 152652, 143489, 125296, 25165]",-0.5,0.875,1.375,1.375,2.749999945000001,True,"{'prompt': 'The teacher', 'correct_token': ' reads', 'incorrect_token': ' read', 'mode': 'zero'}"
ablation_zero,1,19,"[142719, 103010, 135661, 162499, 11545]",-0.5,-0.5,0.0,0.0,0.0,False,"{'prompt': 'The teacher', 'correct_token': ' reads', 'incorrect_token': ' read', 'mode': 'zero'}"
ablation_zero,1,20,"[68236, 68589, 132178, 78322, 106836]",-0.5,2.6875,3.1875,3.1875,6.374999872500002,True,"{'prompt': 'The teacher', 'correct_token': ' reads', 'incorrect_token': ' read', 'mode': 'zero'}"
ablation_zero,2,15,"[126720, 32893, 124340, 74491, 135551]",-0.3125,0.1875,0.5,0.5,1.5999999488000016,True,"{'prompt': 'The flower', 'correct_token': ' works', 'incorrect_token': ' work', 'mode': 'zero'}"
ablation_zero,2,16,"[33604, 2275, 37024, 102190, 27589]",-0.3125,0.5625,0.875,0.875,2.799999910400003,True,"{'prompt': 'The flower', 'correct_token': ' works', 'incorrect_token': ' work', 'mode': 'zero'}"
ablation_zero,2,17,"[104953, 86587, 3637, 148553, 65581]",-0.3125,2.0,2.3125,2.3125,7.399999763200007,True,"{'prompt': 'The flower', 'correct_token': ' works', 'incorrect_token': ' work', 'mode': 'zero'}"
ablation_zero,2,18,"[148587, 143489, 25165, 125296, 152652]",-0.3125,0.375,0.6875,0.6875,2.1999999296000023,True,"{'prompt': 'The flower', 'correct_token': ' works', 'incorrect_token': ' work', 'mode': 'zero'}"
ablation_zero,2,19,"[11545, 135661, 162499, 142719, 103010]",-0.3125,-0.1875,0.125,0.125,0.3999999872000004,False,"{'prompt': 'The flower', 'correct_token': ' works', 'incorrect_token': ' work', 'mode': 'zero'}"
