prompt_idx,layer,zone,layer_delta,cumulative_delta,projected_logit_diff,baseline_logit_diff,flip_layer
0,10,early,0.0062007904052734,0.0062007904052734,5.131200790405273,5.125,
0,11,early,0.5304012298583984,0.5366020202636719,5.661602020263672,5.125,
0,12,early,1.6875,2.224102020263672,7.349102020263672,5.125,
0,13,early,0.46875,2.692852020263672,7.817852020263672,5.125,
0,14,early,0.78125,3.474102020263672,8.599102020263672,5.125,
0,15,early,-0.59375,2.880352020263672,8.005352020263672,5.125,
0,16,early,-0.4375,2.442852020263672,7.567852020263672,5.125,
0,18,mid,-0.78125,1.6616020202636719,6.786602020263672,5.125,
0,19,mid,0.28125,1.9428520202636719,7.067852020263672,5.125,
0,21,mid,-0.09375,1.8491020202636719,6.974102020263672,5.125,
0,22,mid,1.272603988647461,3.121706008911133,8.246706008911133,5.125,
0,23,late,0.030475616455078,3.152181625366211,8.277181625366211,5.125,
0,24,late,5.6318039894104,8.783985614776611,13.908985614776611,5.125,
0,25,late,4.034244537353515,12.818230152130127,17.943230152130127,5.125,
1,10,early,0.4521937370300293,0.4521937370300293,7.108443737030029,6.65625,
1,11,early,0.1668200492858886,0.6190137863159179,7.275263786315918,6.65625,
1,12,early,1.09375,1.712763786315918,8.369013786315918,6.65625,
1,13,early,0.46875,2.181513786315918,8.837763786315918,6.65625,
1,14,early,0.3125,2.494013786315918,9.150263786315918,6.65625,
1,15,early,-0.09375,2.400263786315918,9.056513786315918,6.65625,
1,16,early,0.34375,2.744013786315918,9.400263786315918,6.65625,
1,18,mid,0.15625,2.900263786315918,9.556513786315918,6.65625,
1,19,mid,-0.34375,2.556513786315918,9.212763786315918,6.65625,
1,21,mid,-0.21875,2.337763786315918,8.994013786315918,6.65625,
1,22,mid,3.3001718521118164,5.637935638427734,12.294185638427734,6.65625,
1,23,late,3.3471450805664062,8.98508071899414,15.64133071899414,6.65625,
1,24,late,15.781765937805176,24.766846656799316,31.423096656799316,6.65625,
1,25,late,8.339902877807617,33.106749534606934,39.762999534606934,6.65625,
2,10,early,-0.8274507522583008,-0.8274507522583008,3.828799247741699,4.65625,
2,11,early,0.7750997543334961,-0.05235099792480469,4.603899002075195,4.65625,
2,12,early,-0.3125,-0.3648509979248047,4.291399002075195,4.65625,
2,13,early,0.34375,-0.021100997924804688,4.635149002075195,4.65625,
2,14,early,-0.09375,-0.11485099792480469,4.541399002075195,4.65625,
2,15,early,0.40625,0.2913990020751953,4.947649002075195,4.65625,
2,16,early,-0.03125,0.2601490020751953,4.916399002075195,4.65625,
2,18,mid,0.03125,0.2913990020751953,4.947649002075195,4.65625,
2,19,mid,0.03125,0.3226490020751953,4.978899002075195,4.65625,
2,21,mid,-0.15625,0.1663990020751953,4.822649002075195,4.65625,
2,22,mid,-1.4217138290405273,-1.255314826965332,3.400935173034668,4.65625,
2,23,late,0.627833366394043,-0.6274814605712891,4.028768539428711,4.65625,
2,24,late,-2.068143844604492,-2.6956253051757812,1.9606246948242188,4.65625,
2,25,late,0.6438045501708984,-2.051820755004883,2.604429244995117,4.65625,
3,10,early,0.1241626739501953,0.1241626739501953,5.061662673950195,4.9375,
3,11,early,0.115142822265625,0.2393054962158203,5.17680549621582,4.9375,
3,12,early,-0.21875,0.020555496215820312,4.95805549621582,4.9375,
3,13,early,0.53125,0.5518054962158203,5.48930549621582,4.9375,
3,14,early,0.125,0.6768054962158203,5.61430549621582,4.9375,
3,15,early,0.15625,0.8330554962158203,5.77055549621582,4.9375,
3,16,early,0.1875,1.0205554962158203,5.95805549621582,4.9375,
3,18,mid,0.125,1.1455554962158203,6.08305549621582,4.9375,
3,19,mid,0.34375,1.4893054962158203,6.42680549621582,4.9375,
3,21,mid,0.0,1.4893054962158203,6.42680549621582,4.9375,
