prompt_idx,feature_id,layer,zone,contribution_to_correct,effect_size,data_source
0,L13_F63127,13,early,,,none
0,L14_F129011,14,early,,,none
0,L15_F127839,15,early,-0.59375,0.59375,ablation_zero
0,L16_F45664,16,early,-0.5254926681518555,0.5254926681518555,ablation_zero
0,L16_F76227,16,early,,,none
0,L17_F111317,17,mid,-0.5925788879394531,0.5925788879394531,ablation_zero
0,L17_F51924,17,mid,,,none
0,L18_F149556,18,mid,-0.75,0.75,ablation_zero
0,L18_F27853,18,mid,,,none
0,L19_F29102,19,mid,,,none
0,L20_F36426,20,mid,,,none
0,L21_F54492,21,mid,,,none
0,L22_F32734,22,mid,,,none
0,L22_F78043,22,mid,0.78125,-0.78125,ablation_zero
0,L23_F40170,23,late,0.0625,-0.0625,ablation_zero
0,L23_F6889,23,late,0.4375,-0.4375,ablation_zero
0,L24_F35447,24,late,0.4375,-0.4375,ablation_zero
0,L25_F43384,25,late,0.875,-0.875,ablation_zero
0,L25_F54011,25,late,0.9226236343383788,-0.9226236343383788,ablation_zero
0,L25_F90133,25,late,0.90625,-0.90625,ablation_zero
1,L13_F63127,13,early,,,none
1,L14_F129011,14,early,,,none
1,L15_F127839,15,early,-0.09375,0.09375,ablation_zero
1,L16_F45664,16,early,0.3567914962768554,-0.3567914962768554,ablation_zero
1,L16_F76227,16,early,,,none
1,L17_F111317,17,mid,-1.1311826705932615,1.1311826705932615,ablation_zero
1,L17_F51924,17,mid,,,none
1,L18_F149556,18,mid,0.21875,-0.21875,ablation_zero
1,L18_F27853,18,mid,,,none
1,L19_F29102,19,mid,,,none
1,L20_F36426,20,mid,,,none
1,L21_F54492,21,mid,,,none
1,L22_F32734,22,mid,,,none
1,L22_F78043,22,mid,1.65625,-1.65625,ablation_zero
1,L23_F40170,23,late,1.5625,-1.5625,ablation_zero
1,L23_F6889,23,late,1.59375,-1.59375,ablation_zero
1,L24_F35447,24,late,1.625,-1.625,ablation_zero
1,L25_F43384,25,late,1.9375,-1.9375,ablation_zero
1,L25_F54011,25,late,1.8037257194519043,-1.8037257194519043,ablation_zero
1,L25_F90133,25,late,1.8125,-1.8125,ablation_zero
2,L13_F63127,13,early,,,none
2,L14_F129011,14,early,,,none
2,L15_F127839,15,early,0.40625,-0.40625,ablation_zero
2,L16_F45664,16,early,-0.0505132675170898,0.0505132675170898,ablation_zero
2,L16_F76227,16,early,,,none
2,L17_F111317,17,mid,-0.3403944969177246,0.3403944969177246,ablation_zero
2,L17_F51924,17,mid,,,none
2,L18_F149556,18,mid,0.0625,-0.0625,ablation_zero
2,L18_F27853,18,mid,,,none
2,L19_F29102,19,mid,,,none
2,L20_F36426,20,mid,,,none
2,L21_F54492,21,mid,,,none
2,L22_F32734,22,mid,,,none
2,L22_F78043,22,mid,-0.65625,0.65625,ablation_zero
2,L23_F40170,23,late,0.28125,-0.28125,ablation_zero
2,L23_F6889,23,late,0.34375,-0.34375,ablation_zero
2,L24_F35447,24,late,0.125,-0.125,ablation_zero
2,L25_F43384,25,late,0.0625,-0.0625,ablation_zero
2,L25_F54011,25,late,0.1453261375427246,-0.1453261375427246,ablation_zero
2,L25_F90133,25,late,0.09375,-0.09375,ablation_zero
3,L13_F63127,13,early,,,none
3,L14_F129011,14,early,,,none
3,L15_F127839,15,early,0.15625,-0.15625,ablation_zero
3,L16_F45664,16,early,0.1288309097290039,-0.1288309097290039,ablation_zero
3,L16_F76227,16,early,,,none
3,L17_F111317,17,mid,-0.0692658424377441,0.0692658424377441,ablation_zero
3,L17_F51924,17,mid,,,none
3,L18_F149556,18,mid,0.125,-0.125,ablation_zero
3,L18_F27853,18,mid,,,none
3,L19_F29102,19,mid,,,none
3,L20_F36426,20,mid,,,none
3,L21_F54492,21,mid,,,none
3,L22_F32734,22,mid,,,none
3,L22_F78043,22,mid,-0.46875,0.46875,ablation_zero
3,L23_F40170,23,late,0.625,-0.625,ablation_zero
3,L23_F6889,23,late,0.46875,-0.46875,ablation_zero
3,L24_F35447,24,late,0.40625,-0.40625,ablation_zero
3,L25_F43384,25,late,0.125,-0.125,ablation_zero
3,L25_F54011,25,late,0.0942530632019043,-0.0942530632019043,ablation_zero
3,L25_F90133,25,late,0.125,-0.125,ablation_zero
4,L13_F63127,13,early,,,none
4,L14_F129011,14,early,,,none
4,L15_F127839,15,early,0.0625,-0.0625,ablation_zero
4,L16_F45664,16,early,0.539757251739502,-0.539757251739502,ablation_zero
4,L16_F76227,16,early,,,none
4,L17_F111317,17,mid,-0.565180778503418,0.565180778503418,ablation_zero
4,L17_F51924,17,mid,,,none
4,L18_F149556,18,mid,-0.0625,0.0625,ablation_zero
4,L18_F27853,18,mid,,,none
4,L19_F29102,19,mid,,,none
4,L20_F36426,20,mid,,,none
4,L21_F54492,21,mid,,,none
4,L22_F32734,22,mid,,,none
4,L22_F78043,22,mid,0.84375,-0.84375,ablation_zero
4,L23_F40170,23,late,0.3125,-0.3125,ablation_zero
4,L23_F6889,23,late,0.75,-0.75,ablation_zero
4,L24_F35447,24,late,1.5625,-1.5625,ablation_zero
4,L25_F43384,25,late,0.1875,-0.1875,ablation_zero
4,L25_F54011,25,late,0.0495929718017578,-0.0495929718017578,ablation_zero
4,L25_F90133,25,late,0.0625,-0.0625,ablation_zero
5,L13_F63127,13,early,,,none
5,L14_F129011,14,early,,,none
5,L15_F127839,15,early,-0.34375,0.34375,ablation_zero
5,L16_F45664,16,early,-0.4443907737731933,0.4443907737731933,ablation_zero
5,L16_F76227,16,early,,,none
5,L17_F111317,17,mid,-0.2358174324035644,0.2358174324035644,ablation_zero
5,L17_F51924,17,mid,,,none
5,L18_F149556,18,mid,-0.0625,0.0625,ablation_zero
5,L18_F27853,18,mid,,,none
5,L19_F29102,19,mid,,,none
5,L20_F36426,20,mid,,,none
5,L21_F54492,21,mid,,,none
5,L22_F32734,22,mid,,,none
5,L22_F78043,22,mid,0.34375,-0.34375,ablation_zero
5,L23_F40170,23,late,0.9375,-0.9375,ablation_zero
5,L23_F6889,23,late,0.96875,-0.96875,ablation_zero
5,L24_F35447,24,late,0.375,-0.375,ablation_zero
5,L25_F43384,25,late,-0.09375,0.09375,ablation_zero
5,L25_F54011,25,late,-0.2401762008666992,0.2401762008666992,ablation_zero
5,L25_F90133,25,late,-0.25,0.25,ablation_zero
6,L13_F63127,13,early,,,none
6,L14_F129011,14,early,,,none
6,L15_F127839,15,early,0.3125,-0.3125,ablation_zero
6,L16_F45664,16,early,0.0477972030639648,-0.0477972030639648,ablation_zero
6,L16_F76227,16,early,,,none
6,L17_F111317,17,mid,-0.0881414413452148,0.0881414413452148,ablation_zero
6,L17_F51924,17,mid,,,none
6,L18_F149556,18,mid,0.3125,-0.3125,ablation_zero
6,L18_F27853,18,mid,,,none
6,L19_F29102,19,mid,,,none
6,L20_F36426,20,mid,,,none
6,L21_F54492,21,mid,,,none
6,L22_F32734,22,mid,,,none
6,L22_F78043,22,mid,-0.375,0.375,ablation_zero
