experiment_type,layer,feature_id,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips
ablation_zero,10,126287,20,20.0,0.4609375,0.25,0.48770607570840735,0.2421875,0.1875,0.1673276451618332,3.71875,3.9609375,0.0,0
ablation_zero,10,154631,20,20.0,0.4609375,0.25,0.48770607570840735,0.2421875,0.1875,0.1673276451618332,3.71875,3.9609375,0.0,0
ablation_zero,10,159221,20,20.0,0.4609375,0.25,0.48770607570840735,0.2421875,0.1875,0.1673276451618332,3.71875,3.9609375,0.0,0
ablation_zero,11,1564,20,20.0,0.5515625,0.375,0.5145173509618403,-0.3203125,-0.34375,0.32533508093594743,3.71875,3.3984375,0.05,1
ablation_zero,12,1302,20,20.0,0.3734375,0.1875,0.48140537051073595,0.0765625,-0.15625,0.12398134942790429,3.71875,3.7953125,0.0,0
ablation_zero,12,43835,20,20.0,0.3734375,0.1875,0.48140537051073595,0.0765625,-0.15625,0.12398134942790429,3.71875,3.7953125,0.0,0
ablation_zero,12,146578,20,20.0,0.3734375,0.1875,0.48140537051073595,0.0765625,-0.15625,0.12398134942790429,3.71875,3.7953125,0.0,0
ablation_zero,13,3203,20,20.0,0.221875,0.15625,0.19891254525015442,-0.184375,-0.15625,0.15023641989160313,3.71875,3.534375,0.05,1
ablation_zero,13,12706,20,20.0,0.221875,0.15625,0.19891254525015442,-0.184375,-0.15625,0.15023641989160313,3.71875,3.534375,0.05,1
ablation_zero,13,50574,20,20.0,0.221875,0.15625,0.19891254525015442,-0.184375,-0.15625,0.15023641989160313,3.71875,3.534375,0.05,1
ablation_zero,14,57525,20,20.0,0.203125,0.171875,0.1552600217123045,-0.075,-0.0625,0.055511889061262906,3.71875,3.64375,0.0,0
ablation_zero,15,32893,20,20.0,0.4703125,0.28125,0.4419969775066341,-0.2203125,-0.25,0.34999155020882655,3.71875,3.4984375,0.05,1
ablation_zero,15,127839,20,20.0,0.4703125,0.28125,0.4419969775066341,-0.2203125,-0.25,0.34999155020882655,3.71875,3.4984375,0.05,1
ablation_zero,15,135551,20,20.0,0.4703125,0.28125,0.4419969775066341,-0.2203125,-0.25,0.34999155020882655,3.71875,3.4984375,0.05,1
ablation_zero,16,33604,20,20.0,0.2390625,0.140625,0.21152908029207362,0.0203125,0.078125,0.08472728356649152,3.71875,3.7390625,0.0,0
ablation_zero,17,3637,20,20.0,0.2671875,0.1875,0.35274927612854223,0.1046875,-0.03125,0.07590801707795589,3.71875,3.8234375,0.0,0
ablation_zero,17,65581,20,20.0,0.2671875,0.1875,0.35274927612854223,0.1046875,-0.03125,0.07590801707795589,3.71875,3.8234375,0.0,0
ablation_zero,18,143489,20,20.0,1.0625,0.703125,1.1598228936940511,0.765625,0.65625,0.36821499926930223,3.71875,4.484375,0.05,1
ablation_zero,19,68247,20,20.0,0.2625,0.203125,0.2571749992965061,-0.00625,-0.09375,0.09394573356807148,3.71875,3.7125,0.0,0
ablation_zero,19,103010,20,20.0,0.2625,0.203125,0.2571749992965061,-0.00625,-0.09375,0.09394573356807148,3.71875,3.7125,0.0,0
ablation_zero,19,135661,20,20.0,0.2625,0.203125,0.2571749992965061,-0.00625,-0.09375,0.09394573356807148,3.71875,3.7125,0.0,0
ablation_zero,20,26284,20,20.0,0.284375,0.1875,0.2495678831289669,0.046875,0.03125,0.09966596152776645,3.71875,3.765625,0.0,0
ablation_zero,20,58760,20,20.0,0.284375,0.1875,0.2495678831289669,0.046875,0.03125,0.09966596152776645,3.71875,3.765625,0.0,0
ablation_zero,20,99485,20,20.0,0.284375,0.1875,0.2495678831289669,0.046875,0.03125,0.09966596152776645,3.71875,3.765625,0.0,0
ablation_zero,20,146302,20,20.0,0.284375,0.1875,0.2495678831289669,0.046875,0.03125,0.09966596152776645,3.71875,3.765625,0.0,0
ablation_zero,21,98305,20,20.0,0.2625,0.140625,0.2638826368911596,0.11875,0.03125,0.09879300476122006,3.71875,3.8375,0.0,0
ablation_zero,22,57015,20,20.0,0.75625,0.5625,0.6038016895166474,-0.321875,-0.25,0.2391752210356901,3.71875,3.396875,0.0,0
ablation_zero,22,63036,20,20.0,0.75625,0.5625,0.6038016895166474,-0.321875,-0.25,0.2391752210356901,3.71875,3.396875,0.0,0
ablation_zero,22,66669,20,20.0,0.75625,0.5625,0.6038016895166474,-0.321875,-0.25,0.2391752210356901,3.71875,3.396875,0.0,0
ablation_zero,22,74868,20,20.0,0.75625,0.5625,0.6038016895166474,-0.321875,-0.25,0.2391752210356901,3.71875,3.396875,0.0,0
ablation_zero,23,91721,20,20.0,0.3890625,0.421875,0.33311524869701425,0.2109375,0.125,0.11639120432948155,3.71875,3.9296875,0.0,0
ablation_zero,24,30233,20,20.0,3.0703125,3.125,2.243271073905188,-2.7578125,-2.53125,0.890143381803429,3.71875,0.9609375,0.4,8
ablation_zero,24,122537,20,20.0,3.0703125,3.125,2.243271073905188,-2.7578125,-2.53125,0.890143381803429,3.71875,0.9609375,0.4,8
ablation_zero,24,161672,20,20.0,3.0703125,3.125,2.243271073905188,-2.7578125,-2.53125,0.890143381803429,3.71875,0.9609375,0.4,8
