experiment_type,prompt_idx,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips
ablation_zero,0,16,16.0,0.34375,0.25,0.35648749393679063,-0.0703125,-0.0625,0.11458333295138884,3.0,2.9296875,0.0,0
ablation_zero,1,16,16.0,0.78125,0.3125,1.507101246322445,-0.25,0.03125,0.28409090805785125,2.75,2.5,0.0625,1
ablation_zero,2,16,16.0,1.3125,0.84375,1.672541728428123,-0.40625,-0.5,0.2658227842717513,4.9375,4.53125,0.0625,1
ablation_zero,3,16,16.0,0.34765625,0.15625,0.4754212770007249,-0.25390625,-0.125,0.1090686271088043,3.1875,2.93359375,0.0,0
ablation_zero,4,16,16.0,0.7890625,0.3125,1.3312891230557946,-0.1328125,0.09375,0.19726562450683593,4.0,3.8671875,0.0625,1
ablation_zero,5,16,16.0,0.8515625,0.421875,0.8623716691968337,0.53125,0.203125,0.162202380643424,5.25,5.78125,0.0,0
ablation_zero,6,16,16.0,0.3828125,0.21875,0.4323355901380316,-0.3125,-0.15625,1.2249999608000013,0.3125,0.0,0.3125,5
ablation_zero,7,16,16.0,0.478515625,0.375,0.431614994996988,-0.279296875,-0.25,0.07772842626967967,6.15625,5.876953125,0.0,0
ablation_zero,8,16,16.0,0.40625,0.15625,0.862409415533017,-0.21875,-0.03125,0.0999999997538461,4.0625,3.84375,0.0,0
ablation_zero,9,16,16.0,0.30078125,0.0625,0.7587059810130667,-0.20703125,-0.0625,0.08156779638896863,3.6875,3.48046875,0.0,0
ablation_zero,10,16,16.0,0.57421875,0.1875,1.3393520568885788,-0.53515625,-0.1875,0.1351102937997405,4.25,3.71484375,0.0625,1
ablation_zero,11,16,16.0,0.66796875,0.34375,1.0400117061640861,-0.08203125,0.1875,0.2606707306900654,2.5625,2.48046875,0.0625,1
ablation_zero,12,16,16.0,0.8671875,0.625,1.11847063551083,0.3125,0.03125,0.2392241372711058,3.625,3.9375,0.0,0
ablation_zero,13,16,16.0,0.453125,0.234375,0.7363338237511571,-0.3046875,-0.21875,0.152631578433241,2.96875,2.6640625,0.0625,1
