layer,feature_idx,mean_activation,std_activation,activation_frequency,correlation_with_logit_diff,abs_correlation
10,154631,0.5725586,0.6455967,0.55,-0.1179957964221373,0.1179957964221373
10,159221,1.8169922,0.73713046,1.0,0.0988790346807915,0.0988790346807915
10,126287,1.0667969,0.97436905,0.8,0.0219143430346279,0.0219143430346279
11,1564,1.0713867,1.372624,0.6,-0.1268251991839707,0.1268251991839707
11,2848,1.6337891,0.86372465,0.85,-0.0648398893239561,0.0648398893239561
12,43835,1.1613281,1.1224078,0.6,0.1760210461433213,0.1760210461433213
12,1302,2.541211,0.9454477,1.0,0.0742221544356293,0.0742221544356293
12,146578,4.3242188,0.96690696,1.0,0.0509342840209128,0.0509342840209128
13,12706,3.2914062,1.0533878,1.0,0.3784428389287229,0.3784428389287229
13,3203,2.0457032,1.723761,0.65,0.1027879313176468,0.1027879313176468
13,50574,7.1421876,0.92762905,1.0,0.0414105322056223,0.0414105322056223
14,34380,2.6526368,1.8673179,0.9,0.2095146418511242,0.2095146418511242
14,57525,4.2875,0.7596932,1.0,0.1726189545478445,0.1726189545478445
14,114887,3.3,0.701606,1.0,0.0240838451497212,0.0240838451497212
15,127839,6.75625,1.1598171,1.0,0.2832159563911066,0.2832159563911066
15,27553,3.5265625,0.5120639,1.0,-0.2055456727897801,0.2055456727897801
15,144842,1.2654297,0.86598706,0.85,0.1912279892153747,0.1912279892153747
15,111371,1.1768799,1.1763711,0.65,0.1814398304972235,0.1814398304972235
15,32893,0.7589844,0.7549356,0.6,-0.1402031109617147,0.1402031109617147
15,135551,0.73950195,0.9268002,0.55,-0.1133344895396144,0.1133344895396144
15,126720,2.991797,0.90465736,1.0,-0.0038398801820419,0.0038398801820419
16,33604,3.7148438,0.77035964,1.0,-0.0494148370454268,0.0494148370454268
17,65581,0.03956299,0.055344786,0.5,0.3371558525119346,0.3371558525119346
17,44675,1.826355,1.231531,0.9,0.2485199889252315,0.2485199889252315
17,111317,6.1875,1.1765531,1.0,-0.1264750597859009,0.1264750597859009
17,151157,3.7226562,0.42864576,1.0,0.0117183532169364,0.0117183532169364
18,152973,9.685938,0.9120758,1.0,-0.0622466052421174,0.0622466052421174
18,109919,3.8152344,0.8342977,1.0,0.0355126625245766,0.0355126625245766
19,135661,0.021911621,0.033204343,0.45,0.4555081442117732,0.4555081442117732
19,103010,0.08206177,0.08877105,0.75,0.3921535533451294,0.3921535533451294
19,11545,1.313916,1.0729496,0.95,0.3002140450722168,0.3002140450722168
19,44984,2.6339843,0.6689401,1.0,-0.20678317383948,0.20678317383948
19,68247,1.7609375,1.592632,0.6,-0.1658281280233948,0.1658281280233948
19,141119,2.672168,1.0125962,1.0,0.0556991492531512,0.0556991492531512
20,78322,0.8913086,0.9114654,0.6,0.2059657567346255,0.2059657567346255
20,146302,2.364453,1.8455641,0.8,-0.1981503262243099,0.1981503262243099
20,99485,1.0261719,0.9053109,0.6,-0.1124772284990114,0.1124772284990114
20,68236,3.5808594,0.9143072,1.0,0.0899741657455513,0.0899741657455513
20,26284,1.7745117,1.0837973,0.95,0.0307112197135426,0.0307112197135426
20,58760,7.6921873,1.0616851,1.0,0.0017039495286302,0.0017039495286302
21,98305,4.8546877,1.5193181,1.0,-0.2597000941302009,0.2597000941302009
21,121105,2.0025392,0.93546194,0.95,0.0268941090379916,0.0268941090379916
21,116961,2.1544921,0.75573826,1.0,-0.0142416140504501,0.0142416140504501
22,14991,3.0179687,0.52508545,1.0,-0.2262512058779399,0.2262512058779399
22,34051,2.9461913,1.8473529,0.95,-0.1623440169457797,0.1623440169457797
22,80156,0.33076173,0.6307252,0.25,0.1527440909501346,0.1527440909501346
22,57015,3.3914063,2.6296902,0.65,-0.1407414070535176,0.1407414070535176
22,66669,9.39375,1.5975872,1.0,0.0246229961737508,0.0246229961737508
22,74868,1.2728516,1.8071963,0.4,-0.0242350462628869,0.0242350462628869
22,120804,8.1125,1.6541378,1.0,0.0174286893709153,0.0174286893709153
23,91721,18.20625,2.127214,1.0,-0.3605483885277031,0.3605483885277031
23,119593,6.103125,1.9472561,1.0,0.1705065085791461,0.1705065085791461
23,130333,6.0578127,2.3613925,0.95,-0.0078402787673207,0.0078402787673207
24,73324,1.3734375,1.8471092,0.55,0.329244942083901,0.329244942083901
24,149159,8.596875,2.0703897,1.0,-0.2632112214231334,0.2632112214231334
24,161672,3.0425782,3.7309492,0.5,-0.0802242216976274,0.0802242216976274
24,30233,18.078125,3.5673692,1.0,-0.0144796830629752,0.0144796830629752
24,122537,3.1309571,4.097219,0.5,0.0107987725418161,0.0107987725418161
25,143309,8.375,1.7626773,1.0,-0.2756195150939607,0.2756195150939607
25,133941,1.3684571,1.9008565,0.55,0.2418841038953637,0.2418841038953637
25,37637,1.8490235,2.4953117,0.45,-0.0195957418109846,0.0195957418109846
