experiment_type,prompt_idx,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips
ablation_zero,0,16,16.0,0.45263671875,0.3984375,0.3170305537151464,-0.23388671875,-0.24609375,0.21300551370350346,2.125,1.89111328125,0.0,0
ablation_zero,1,16,16.0,0.74609375,0.5625,0.7325998047763412,-0.66015625,-0.5,0.10564159277077294,7.0625,6.40234375,0.0,0
ablation_zero,2,16,16.0,0.58203125,0.34375,0.8829161996616667,-0.36328125,-0.15625,0.10233516465523484,5.6875,5.32421875,0.0,0
ablation_zero,3,16,16.0,0.513671875,0.3125,0.6129004590112901,-0.431640625,-0.3125,0.06965042363437227,7.375,6.943359375,0.0,0
ablation_zero,4,16,16.0,0.4423828125,0.3125,0.3619571523581613,-0.2392578125,-0.15625,0.11059570284851072,4.0,3.7607421875,0.0,0
ablation_zero,5,16,16.0,0.4296875,0.28125,0.5403027700589118,-0.2421875,-0.1640625,0.10576923050887571,4.0625,3.8203125,0.0,0
ablation_zero,6,16,16.0,0.30859375,0.265625,0.26148738218443096,-0.060546875,-0.03125,0.15799999919104,1.953125,1.892578125,0.0,0
ablation_zero,7,16,16.0,0.46875,0.34375,0.37983000583594406,-0.359375,-0.25,0.06465517232461351,7.25,6.890625,0.0,0
ablation_zero,8,16,16.0,0.509765625,0.3125,0.5408409672194929,-0.33984375,-0.1875,0.9062499838888891,0.5625,0.22265625,0.3125,5
ablation_zero,9,16,16.0,0.7734375,0.6875,0.7681400018876767,-0.2265625,0.0625,0.11249999983636363,6.875,6.6484375,0.0,0
ablation_zero,10,16,16.0,0.46875,0.25,0.47707878454891145,-0.3125,-0.1875,0.06880733934853965,6.8125,6.5,0.0,0
ablation_zero,11,16,16.0,0.4384765625,0.3671875,0.34894132809933703,-0.3427734375,-0.296875,0.1424492381159009,3.078125,2.7353515625,0.0,0
ablation_zero,12,16,16.0,0.33642578125,0.3125,0.277601754259765,-0.18017578125,-0.125,0.12816220189271538,2.625,2.44482421875,0.0,0
ablation_zero,13,16,16.0,0.681640625,0.625,0.5294508443798945,-0.52734375,-0.5703125,0.3877777755717531,1.7578125,1.23046875,0.0625,1
ablation_zero,14,16,16.0,0.279296875,0.140625,0.2728416126123665,-0.169921875,-0.125,0.15959821337372448,1.75,1.580078125,0.0,0
ablation_zero,15,16,16.0,0.56640625,0.40625,0.5966349866473358,-0.34765625,-0.34375,0.08164414402645888,6.9375,6.58984375,0.0,0
ablation_zero,16,16,16.0,0.60546875,0.5078125,0.4065103332532479,-0.37890625,-0.3828125,0.14903846117159758,4.0625,3.68359375,0.0,0
ablation_zero,17,16,16.0,0.28125,0.21875,0.33385376040016884,-0.265625,-0.21875,0.045918367271969976,6.125,5.859375,0.0,0
ablation_zero,18,16,16.0,0.4560546875,0.375,0.3491628171090996,0.0439453125,0.1875,0.09601151295576521,4.75,4.7939453125,0.0,0
ablation_zero,19,16,16.0,0.8515625,0.734375,0.4435959239555747,-0.572265625,-0.671875,0.2242798348002506,3.796875,3.224609375,0.0,0
patching,0,16,16.0,0.3623046875,0.2890625,0.33454623487379015,-0.0400390625,0.015625,0.18549999905024,1.953125,1.9130859375,0.0,0
patching,1,16,16.0,0.48828125,0.34375,0.38609877703121515,-0.36328125,-0.25,0.06734913783813908,7.25,6.88671875,0.0,0
patching,2,16,16.0,0.5,0.25,0.5516606086021851,-0.333984375,-0.1875,0.88888887308642,0.5625,0.228515625,0.25,4
patching,3,16,16.0,0.68359375,0.625,0.7676631035975352,-0.22265625,0.0,0.09943181803719006,6.875,6.65234375,0.0,0
patching,4,16,16.0,0.46484375,0.25,0.47815223233993864,-0.31640625,-0.15625,0.0682339448539685,6.8125,6.49609375,0.0,0
patching,5,16,16.0,0.470703125,0.390625,0.4098746553190581,-0.375,-0.359375,0.1529187812290963,3.078125,2.703125,0.0,0
patching,6,16,16.0,0.6982421875,0.62109375,0.5335571455233848,-0.5751953125,-0.50390625,0.39722221996246915,1.7578125,1.1826171875,0.0625,1
patching,7,16,16.0,0.60546875,0.375,0.6510083324799563,-0.35546875,-0.28125,0.08727477464897329,6.9375,6.58203125,0.0,0
patching,8,16,16.0,0.5927734375,0.4453125,0.4249873140723095,-0.3818359375,-0.3515625,0.1459134611792899,4.0625,3.6806640625,0.0,0
patching,9,16,16.0,0.296875,0.25,0.35758157577444244,-0.2890625,-0.25,0.048469387675968305,6.125,5.8359375,0.0,0
patching,10,16,16.0,0.861328125,0.7421875,0.44156869245480934,-0.56640625,-0.6796875,0.2268518512543819,3.796875,3.23046875,0.0,0
patching,11,16,16.0,0.486328125,0.4453125,0.32411362502536567,-0.267578125,-0.3125,0.22886029304065741,2.125,1.857421875,0.0,0
patching,12,16,16.0,0.78125,0.53125,0.698584879118732,-0.7109375,-0.5,0.1106194688699193,7.0625,6.3515625,0.0,0
patching,13,16,16.0,0.6015625,0.34375,0.8698883429306699,-0.3359375,-0.1875,0.10576923058326286,5.6875,5.3515625,0.0,0
patching,14,16,16.0,0.529296875,0.375,0.5071710692553187,-0.427734375,-0.375,0.07176906769929614,7.375,6.947265625,0.0,0
patching,15,16,16.0,0.451171875,0.3125,0.36101865970646174,-0.263671875,-0.21875,0.11279296846801756,4.0,3.736328125,0.0,0
patching,16,16,16.0,0.43359375,0.28125,0.5321836159087074,-0.24609375,-0.1875,0.10673076896804731,4.0625,3.81640625,0.0,0
patching,17,16,16.0,0.38232421875,0.25,0.30008501331805787,-0.24169921875,-0.1875,0.14564732087372445,2.625,2.38330078125,0.0,0
patching,18,16,16.0,0.314453125,0.203125,0.3321859321066793,-0.205078125,-0.1328125,0.17968749897321423,1.75,1.544921875,0.0,0
patching,19,16,16.0,0.4287109375,0.34375,0.3469532921216666,0.0087890625,0.1875,0.09025493402051589,4.75,4.7587890625,0.0,0
steering,0,12,12.0,0.5071614583333334,0.28125,0.5228855461375957,-0.20247395833333334,-0.25,0.2386642145631488,2.125,1.9225260416666667,0.0,0
steering,1,12,12.0,0.9322916666666666,1.125,0.6464821398901671,-0.890625,-1.125,0.1320058995181037,7.0625,6.171875,0.0,0
steering,2,12,12.0,0.78515625,0.625,0.9214084190992243,-0.6705729166666666,-0.625,0.1380494503067262,5.6875,5.016927083333333,0.0,0
steering,3,12,12.0,0.7395833333333334,0.625,0.5531632519729898,-0.4479166666666667,-0.3125,0.10028248573972993,7.375,6.927083333333333,0.0,0
steering,4,12,12.0,0.5104166666666666,0.5,0.3316125089024931,-0.1875,-0.1875,0.12760416634765623,4.0,3.8125,0.0,0
steering,5,12,12.0,0.4309895833333333,0.375,0.32396978963714795,-0.25390625,-0.2265625,0.10608974332859955,4.0625,3.80859375,0.0,0
steering,6,12,12.0,0.6015625,0.203125,0.9839916280882309,-0.2942708333333333,-0.1171875,0.30799999842304,1.953125,1.6588541666666667,0.08333333333333333,1
steering,7,12,12.0,0.9166666666666666,0.5,1.2011279421166312,-0.8333333333333334,-0.46875,0.12643678143479983,7.25,6.416666666666667,0.0,0
steering,8,12,12.0,0.4609375,0.25,0.4473574954029292,-0.09635416666666667,-0.0625,0.8194444298765434,0.5625,0.4661458333333333,0.16666666666666666,2
steering,9,12,12.0,0.8020833333333334,0.375,1.0369019817210157,-0.19791666666666666,0.0,0.11666666649696968,6.875,6.677083333333333,0.0,0
steering,10,12,12.0,0.8385416666666666,0.5,1.1386352767943764,-0.6822916666666666,-0.34375,0.12308868483460983,6.8125,6.130208333333333,0.0,0
steering,11,12,12.0,0.6940104166666666,0.390625,0.946745564147993,-0.5950520833333334,-0.296875,0.22546531229628863,3.078125,2.4830729166666665,0.08333333333333333,1
steering,12,12,12.0,0.4485677083333333,0.25,0.4787343201935732,-0.13606770833333334,-0.0625,0.17088293585695388,2.625,2.4889322916666665,0.0,0
steering,13,12,12.0,0.7526041666666666,0.62890625,0.8908139585567066,-0.6315104166666666,-0.62890625,0.4281481457124609,1.7578125,1.1263020833333333,0.08333333333333333,1
steering,14,12,12.0,0.43359375,0.3046875,0.3800047776501393,-0.16536458333333334,-0.1875,0.24776785572704083,1.75,1.5846354166666667,0.0,0
steering,15,12,12.0,1.0729166666666667,0.625,1.479460064798416,-0.78125,-0.46875,0.154654654431729,6.9375,6.15625,0.0,0
steering,16,12,12.0,0.7643229166666666,0.4765625,0.7091271071838902,-0.6393229166666666,-0.4765625,0.18814102517790923,4.0625,3.4231770833333335,0.0,0
steering,17,12,12.0,0.796875,0.34375,1.4401223610418412,-0.703125,-0.28125,0.130102040603915,6.125,5.421875,0.0,0
steering,18,12,12.0,0.7395833333333334,0.75,0.4466044026028432,0.4270833333333333,0.53125,0.1557017540581717,4.75,5.177083333333333,0.0,0
steering,19,12,12.0,1.0390625,0.8203125,1.144936589525416,-0.7291666666666666,-0.640625,0.27366255071957185,3.796875,3.0677083333333335,0.08333333333333333,1
