layer,feature_idx,mean_activation,std_activation,activation_frequency,correlation_with_logit_diff,abs_correlation
10,0,0.0,0.0,0.0,0.0,0.0
10,37,0.0,0.0,0.0,0.0,0.0
10,27,0.0,0.0,0.0,0.0,0.0
10,28,0.0,0.0,0.0,0.0,0.0
10,29,0.0,0.0,0.0,0.0,0.0
10,30,0.0,0.0,0.0,0.0,0.0
10,31,0.0,0.0,0.0,0.0,0.0
10,32,0.0,0.0,0.0,0.0,0.0
10,33,0.0,0.0,0.0,0.0,0.0
10,34,0.0,0.0,0.0,0.0,0.0
10,35,0.0,0.0,0.0,0.0,0.0
10,36,0.0,0.0,0.0,0.0,0.0
10,38,0.0,0.0,0.0,0.0,0.0
10,1,0.0,0.0,0.0,0.0,0.0
10,39,0.0,0.0,0.0,0.0,0.0
10,40,0.0,0.0,0.0,0.0,0.0
10,41,0.0,0.0,0.0,0.0,0.0
10,42,0.0,0.0,0.0,0.0,0.0
10,43,0.0,0.0,0.0,0.0,0.0
10,44,0.0,0.0,0.0,0.0,0.0
10,45,0.0,0.0,0.0,0.0,0.0
10,46,0.0,0.0,0.0,0.0,0.0
10,47,0.0,0.0,0.0,0.0,0.0
10,48,0.0,0.0,0.0,0.0,0.0
10,26,0.0,0.0,0.0,0.0,0.0
10,25,0.0,0.0,0.0,0.0,0.0
10,24,0.0,0.0,0.0,0.0,0.0
10,23,0.0,0.0,0.0,0.0,0.0
10,2,0.0,0.0,0.0,0.0,0.0
10,3,0.0,0.0,0.0,0.0,0.0
10,4,0.0,0.0,0.0,0.0,0.0
10,5,0.0,0.0,0.0,0.0,0.0
10,6,0.0,0.0,0.0,0.0,0.0
10,7,0.0,0.0,0.0,0.0,0.0
10,8,0.0,0.0,0.0,0.0,0.0
10,9,0.0,0.0,0.0,0.0,0.0
10,10,0.0,0.0,0.0,0.0,0.0
10,11,0.0,0.0,0.0,0.0,0.0
10,12,0.0,0.0,0.0,0.0,0.0
10,13,0.0,0.0,0.0,0.0,0.0
10,14,0.0,0.0,0.0,0.0,0.0
10,15,0.0,0.0,0.0,0.0,0.0
10,16,0.0,0.0,0.0,0.0,0.0
10,17,0.0,0.0,0.0,0.0,0.0
10,18,0.0,0.0,0.0,0.0,0.0
10,19,0.0,0.0,0.0,0.0,0.0
10,20,0.0,0.0,0.0,0.0,0.0
10,21,0.0,0.0,0.0,0.0,0.0
10,22,0.0,0.0,0.0,0.0,0.0
10,49,0.0,0.0,0.0,0.0,0.0
11,0,0.0,0.0,0.0,0.0,0.0
11,37,0.0,0.0,0.0,0.0,0.0
11,27,0.0,0.0,0.0,0.0,0.0
11,28,0.0,0.0,0.0,0.0,0.0
11,29,0.0,0.0,0.0,0.0,0.0
11,30,0.0,0.0,0.0,0.0,0.0
11,31,0.0,0.0,0.0,0.0,0.0
11,32,0.0,0.0,0.0,0.0,0.0
11,33,0.0,0.0,0.0,0.0,0.0
11,34,0.0,0.0,0.0,0.0,0.0
11,35,0.0,0.0,0.0,0.0,0.0
11,36,0.0,0.0,0.0,0.0,0.0
11,38,0.0,0.0,0.0,0.0,0.0
11,1,0.0,0.0,0.0,0.0,0.0
11,39,0.0,0.0,0.0,0.0,0.0
11,40,0.0,0.0,0.0,0.0,0.0
11,41,0.0,0.0,0.0,0.0,0.0
11,42,0.0,0.0,0.0,0.0,0.0
11,43,0.0,0.0,0.0,0.0,0.0
11,44,0.0,0.0,0.0,0.0,0.0
11,45,0.0,0.0,0.0,0.0,0.0
11,46,0.0,0.0,0.0,0.0,0.0
11,47,0.0,0.0,0.0,0.0,0.0
11,48,0.0,0.0,0.0,0.0,0.0
11,26,0.0,0.0,0.0,0.0,0.0
11,25,0.0,0.0,0.0,0.0,0.0
11,24,0.0,0.0,0.0,0.0,0.0
11,23,0.0,0.0,0.0,0.0,0.0
11,2,0.0,0.0,0.0,0.0,0.0
11,3,0.0,0.0,0.0,0.0,0.0
11,4,0.0,0.0,0.0,0.0,0.0
11,5,0.0,0.0,0.0,0.0,0.0
11,6,0.0,0.0,0.0,0.0,0.0
11,7,0.0,0.0,0.0,0.0,0.0
11,8,0.0,0.0,0.0,0.0,0.0
11,9,0.0,0.0,0.0,0.0,0.0
11,10,0.0,0.0,0.0,0.0,0.0
11,11,0.0,0.0,0.0,0.0,0.0
11,12,0.0,0.0,0.0,0.0,0.0
11,13,0.0,0.0,0.0,0.0,0.0
11,14,0.0,0.0,0.0,0.0,0.0
11,15,0.0,0.0,0.0,0.0,0.0
11,16,0.0,0.0,0.0,0.0,0.0
11,17,0.0,0.0,0.0,0.0,0.0
11,18,0.0,0.0,0.0,0.0,0.0
11,19,0.0,0.0,0.0,0.0,0.0
11,20,0.0,0.0,0.0,0.0,0.0
11,21,0.0,0.0,0.0,0.0,0.0
11,22,0.0,0.0,0.0,0.0,0.0
11,49,0.0,0.0,0.0,0.0,0.0
12,0,0.0,0.0,0.0,0.0,0.0
12,37,0.0,0.0,0.0,0.0,0.0
12,27,0.0,0.0,0.0,0.0,0.0
12,28,0.0,0.0,0.0,0.0,0.0
12,29,0.0,0.0,0.0,0.0,0.0
12,30,0.0,0.0,0.0,0.0,0.0
12,31,0.0,0.0,0.0,0.0,0.0
12,32,0.0,0.0,0.0,0.0,0.0
12,33,0.0,0.0,0.0,0.0,0.0
12,34,0.0,0.0,0.0,0.0,0.0
12,35,0.0,0.0,0.0,0.0,0.0
12,36,0.0,0.0,0.0,0.0,0.0
12,38,0.0,0.0,0.0,0.0,0.0
12,1,0.0,0.0,0.0,0.0,0.0
12,39,0.0,0.0,0.0,0.0,0.0
12,40,0.0,0.0,0.0,0.0,0.0
12,41,0.0,0.0,0.0,0.0,0.0
12,42,0.0,0.0,0.0,0.0,0.0
12,43,0.0,0.0,0.0,0.0,0.0
12,44,0.0,0.0,0.0,0.0,0.0
12,45,0.0,0.0,0.0,0.0,0.0
12,46,0.0,0.0,0.0,0.0,0.0
12,47,0.0,0.0,0.0,0.0,0.0
12,48,0.0,0.0,0.0,0.0,0.0
12,26,0.0,0.0,0.0,0.0,0.0
12,25,0.0,0.0,0.0,0.0,0.0
12,24,0.0,0.0,0.0,0.0,0.0
12,23,0.0,0.0,0.0,0.0,0.0
12,2,0.0,0.0,0.0,0.0,0.0
12,3,0.0,0.0,0.0,0.0,0.0
12,4,0.0,0.0,0.0,0.0,0.0
12,5,0.0,0.0,0.0,0.0,0.0
12,6,0.0,0.0,0.0,0.0,0.0
12,7,0.0,0.0,0.0,0.0,0.0
12,8,0.0,0.0,0.0,0.0,0.0
12,9,0.0,0.0,0.0,0.0,0.0
12,10,0.0,0.0,0.0,0.0,0.0
12,11,0.0,0.0,0.0,0.0,0.0
12,12,0.0,0.0,0.0,0.0,0.0
12,13,0.0,0.0,0.0,0.0,0.0
12,14,0.0,0.0,0.0,0.0,0.0
12,15,0.0,0.0,0.0,0.0,0.0
12,16,0.0,0.0,0.0,0.0,0.0
12,17,0.0,0.0,0.0,0.0,0.0
12,18,0.0,0.0,0.0,0.0,0.0
12,19,0.0,0.0,0.0,0.0,0.0
12,20,0.0,0.0,0.0,0.0,0.0
12,21,0.0,0.0,0.0,0.0,0.0
12,22,0.0,0.0,0.0,0.0,0.0
12,49,0.0,0.0,0.0,0.0,0.0
13,103662,0.41012573,0.54921323,0.6,0.0042498680415509,0.0042498680415509
14,133634,0.80493164,0.84565103,0.65,0.8134841088811952,0.8134841088811952
14,57525,3.3414063,1.2682484,1.0,0.1895334448085243,0.1895334448085243
15,90154,2.1279297,1.426875,0.85,-0.2719525268632057,0.2719525268632057
15,127839,2.9484558,2.2750137,0.9,0.077527771596966,0.077527771596966
16,37067,0.3614502,0.4936888,0.45,0.619660466618675,0.619660466618675
17,74524,1.3076172,0.58479786,1.0,-0.4391639556341544,0.4391639556341544
17,119316,1.4989746,1.29428,0.8,0.2661104914099131,0.2661104914099131
17,111317,2.5402343,1.8538591,0.85,0.1782041752854772,0.1782041752854772
18,11566,1.8273437,1.6345963,0.7,0.7547036132122485,0.7547036132122485
19,5841,1.2789307,1.162702,0.7,0.7508735814017107,0.7508735814017107
19,82271,1.6148926,1.2426642,0.95,0.2785947895844174,0.2785947895844174
20,42,0.022265624,0.09705362,0.05,0.2602500317242137,0.2602500317242137
20,0,0.0,0.0,0.0,0.0,0.0
20,37,0.0,0.0,0.0,0.0,0.0
20,27,0.0,0.0,0.0,0.0,0.0
20,28,0.0,0.0,0.0,0.0,0.0
20,29,0.0,0.0,0.0,0.0,0.0
20,30,0.0,0.0,0.0,0.0,0.0
20,31,0.0,0.0,0.0,0.0,0.0
20,32,0.0,0.0,0.0,0.0,0.0
20,33,0.0,0.0,0.0,0.0,0.0
20,34,0.0,0.0,0.0,0.0,0.0
20,35,0.0,0.0,0.0,0.0,0.0
20,36,0.0,0.0,0.0,0.0,0.0
20,38,0.0,0.0,0.0,0.0,0.0
20,1,0.0,0.0,0.0,0.0,0.0
20,39,0.0,0.0,0.0,0.0,0.0
20,40,0.0,0.0,0.0,0.0,0.0
20,41,0.0,0.0,0.0,0.0,0.0
20,43,0.0,0.0,0.0,0.0,0.0
20,44,0.0,0.0,0.0,0.0,0.0
20,45,0.0,0.0,0.0,0.0,0.0
20,46,0.0,0.0,0.0,0.0,0.0
20,47,0.0,0.0,0.0,0.0,0.0
20,48,0.0,0.0,0.0,0.0,0.0
20,26,0.0,0.0,0.0,0.0,0.0
20,25,0.0,0.0,0.0,0.0,0.0
20,24,0.0,0.0,0.0,0.0,0.0
20,23,0.0,0.0,0.0,0.0,0.0
20,2,0.0,0.0,0.0,0.0,0.0
20,3,0.0,0.0,0.0,0.0,0.0
20,4,0.0,0.0,0.0,0.0,0.0
20,5,0.0,0.0,0.0,0.0,0.0
20,6,0.0,0.0,0.0,0.0,0.0
20,7,0.0,0.0,0.0,0.0,0.0
20,8,0.0,0.0,0.0,0.0,0.0
20,9,0.0,0.0,0.0,0.0,0.0
20,10,0.0,0.0,0.0,0.0,0.0
20,11,0.0,0.0,0.0,0.0,0.0
20,12,0.0,0.0,0.0,0.0,0.0
20,13,0.0,0.0,0.0,0.0,0.0
20,14,0.0,0.0,0.0,0.0,0.0
20,15,0.0,0.0,0.0,0.0,0.0
20,16,0.0,0.0,0.0,0.0,0.0
20,17,0.0,0.0,0.0,0.0,0.0
20,18,0.0,0.0,0.0,0.0,0.0
20,19,0.0,0.0,0.0,0.0,0.0
20,20,0.0,0.0,0.0,0.0,0.0
20,21,0.0,0.0,0.0,0.0,0.0
20,22,0.0,0.0,0.0,0.0,0.0
20,49,0.0,0.0,0.0,0.0,0.0
21,10625,5.278125,0.75679857,1.0,-0.1918058126346883,0.1918058126346883
22,37362,0.67456055,1.1023344,0.55,-0.0328695448357447,0.0328695448357447
23,51949,1.0621094,1.7841921,0.4,0.5568152162652064,0.5568152162652064
23,98762,0.5661133,0.8991608,0.35,0.4551366625309772,0.4551366625309772
24,95435,4.8735595,4.567761,0.85,0.7277174183039736,0.7277174183039736
24,99099,6.4339843,2.7382746,1.0,0.5844567297693886,0.5844567297693886
25,15948,2.459961,2.2425568,0.65,-0.6139336069199407,0.6139336069199407
25,152169,1.9447937,1.6098139,0.85,0.5723149712262461,0.5723149712262461
25,70833,1.079541,1.4264247,0.55,0.5196864955501235,0.5196864955501235
25,160856,6.0185547,4.2055106,0.9,0.4435008104109947,0.4435008104109947
25,162883,1.7131836,1.4252497,0.7,-0.026524192019259,0.026524192019259
