layer,feature_idx,mean_activation,std_activation,activation_frequency,correlation_with_logit_diff,abs_correlation,feature_source,layer_has_graph_features
10,59805,2.820703,1.4773217,1.0,-0.2507946648923268,0.2507946648923268,graph,True
10,15096,0.11036225,0.2577915,0.3,-0.1327332416919678,0.1327332416919678,graph,True
10,148569,0.5622803,0.5754333,0.65,0.1201845749411262,0.1201845749411262,graph,True
10,25281,3.2007813,0.76142466,1.0,0.064108911348973,0.064108911348973,graph,True
11,148703,3.3039062,0.893792,1.0,-0.3463412936293107,0.3463412936293107,graph,True
11,59878,1.199707,0.51444393,1.0,0.2925365744385018,0.2925365744385018,graph,True
11,36396,0.27268067,0.46116492,0.4,-0.2341189434849655,0.2341189434849655,graph,True
11,46537,0.1798462,0.31281802,0.35,0.1918847395631839,0.1918847395631839,graph,True
11,107914,0.04293747,0.07963409,0.3,0.0572109040268108,0.0572109040268108,graph,True
12,68142,0.30126953,0.49905607,0.3,-0.3072099655841998,0.3072099655841998,graph,True
12,40178,1.6209472,1.1179571,1.0,0.2923204380019812,0.2923204380019812,graph,True
12,4447,3.0265625,0.60005087,1.0,0.1083868603760907,0.1083868603760907,graph,True
12,71563,0.24794921,0.28325665,0.55,0.0776082765756882,0.0776082765756882,graph,True
12,39488,2.135547,0.56513745,1.0,0.007283501110535,0.007283501110535,graph,True
13,72758,0.95047456,0.71163815,0.9,0.3207454292529155,0.3207454292529155,graph,True
13,132137,0.028979491,0.060265515,0.2,0.2956448536028078,0.2956448536028078,graph,True
13,74172,0.73637694,0.45579895,0.9,0.1959050170271046,0.1959050170271046,graph,True
13,145452,0.16137695,0.24254455,0.35,0.1527110693567307,0.1527110693567307,graph,True
13,54591,0.27558595,0.38735837,0.35,0.0679494921798913,0.0679494921798913,graph,True
14,114892,0.8335083,0.7245376,0.8,-0.3806486807954112,0.3806486807954112,graph,True
14,147543,0.2466797,0.44324026,0.25,-0.3413352842902799,0.3413352842902799,graph,True
14,3216,0.24003907,0.44352794,0.25,-0.326002348191022,0.326002348191022,graph,True
14,59886,0.016889954,0.042179745,0.2,0.3235970992322303,0.3235970992322303,graph,True
14,106824,0.09243164,0.1662464,0.35,0.2395829796336587,0.2395829796336587,graph,True
14,111183,1.1322266,0.28397733,1.0,0.1867050066636846,0.1867050066636846,graph,True
14,57525,3.3132813,0.8701908,1.0,-0.0917077149398193,0.0917077149398193,graph,True
15,28063,0.23378906,0.38184932,0.4,0.3824316756101514,0.3824316756101514,graph,True
15,16555,0.05341797,0.18464446,0.1,0.2134407606116298,0.2134407606116298,graph,True
15,24958,1.0373046,0.23906276,1.0,-0.0993213917261508,0.0993213917261508,graph,True
16,101500,0.4591797,0.6878999,0.35,0.4238000704567188,0.4238000704567188,graph,True
16,88149,1.9554688,0.6942291,1.0,-0.351723683093244,0.351723683093244,graph,True
17,124447,0.2807312,0.27899167,0.7,0.3598441502374603,0.3598441502374603,graph,True
17,11599,0.23901367,0.4979595,0.45,-0.3374489108215286,0.3374489108215286,graph,True
17,108538,0.2635742,0.44011253,0.35,0.293297966063197,0.293297966063197,graph,True
18,149556,3.9410157,1.4020433,1.0,0.3754498216301415,0.3754498216301415,graph,True
18,152305,0.06011963,0.10315147,0.35,-0.2423841555199789,0.2423841555199789,graph,True
18,106139,0.83256835,0.6175531,0.8,0.1712317939327138,0.1712317939327138,graph,True
18,36517,1.7073243,0.87663776,1.0,0.0613257783798219,0.0613257783798219,graph,True
