experiment_type,layer,feature_id,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips,has_control_rows,all_graph,feature_source_mode,layer_has_graph_features
ablation_zero,10,25281,20,20.0,0.99375,0.703125,0.9379713727255388,0.665625,0.53125,0.23843845189775928,5.7953125,6.4609375,0.0,0,False,True,graph,True
ablation_zero,10,148569,20,20.0,0.99375,0.703125,0.9379713727255388,0.665625,0.53125,0.23843845189775928,5.7953125,6.4609375,0.0,0,False,True,graph,True
ablation_zero,11,46537,20,20.0,0.49375,0.4375,0.3301900868000925,-0.28125,-0.28125,0.10786128821373572,5.7953125,5.5140625,0.0,0,False,True,graph,True
ablation_zero,11,59878,20,20.0,0.49375,0.4375,0.3301900868000925,-0.28125,-0.28125,0.10786128821373572,5.7953125,5.5140625,0.0,0,False,True,graph,True
ablation_zero,11,107914,20,20.0,0.49375,0.4375,0.3301900868000925,-0.28125,-0.28125,0.10786128821373572,5.7953125,5.5140625,0.0,0,False,True,graph,True
ablation_zero,12,4447,20,20.0,1.159375,0.8125,0.9685059115244959,-0.728125,-0.6875,0.3507787467970863,5.7953125,5.0671875,0.1,2,False,True,graph,True
ablation_zero,12,39488,20,20.0,1.159375,0.8125,0.9685059115244959,-0.728125,-0.6875,0.3507787467970863,5.7953125,5.0671875,0.1,2,False,True,graph,True
ablation_zero,12,40178,20,20.0,1.159375,0.8125,0.9685059115244959,-0.728125,-0.6875,0.3507787467970863,5.7953125,5.0671875,0.1,2,False,True,graph,True
ablation_zero,12,71563,20,20.0,1.159375,0.8125,0.9685059115244959,-0.728125,-0.6875,0.3507787467970863,5.7953125,5.0671875,0.1,2,False,True,graph,True
ablation_zero,13,54591,20,20.0,0.6328125,0.5625,0.45623366499236817,-0.4734375,-0.421875,0.13194054433941751,5.7953125,5.321875,0.0,0,False,True,graph,True
ablation_zero,13,72758,20,20.0,0.6328125,0.5625,0.45623366499236817,-0.4734375,-0.421875,0.13194054433941751,5.7953125,5.321875,0.0,0,False,True,graph,True
ablation_zero,13,74172,20,20.0,0.6328125,0.5625,0.45623366499236817,-0.4734375,-0.421875,0.13194054433941751,5.7953125,5.321875,0.0,0,False,True,graph,True
ablation_zero,13,132137,20,20.0,0.6328125,0.5625,0.45623366499236817,-0.4734375,-0.421875,0.13194054433941751,5.7953125,5.321875,0.0,0,False,True,graph,True
ablation_zero,13,145452,20,20.0,0.6328125,0.5625,0.45623366499236817,-0.4734375,-0.421875,0.13194054433941751,5.7953125,5.321875,0.0,0,False,True,graph,True
ablation_zero,14,57525,20,20.0,0.5375,0.421875,0.3254867306697852,0.034375,0.1875,0.13379992036237173,5.7953125,5.8296875,0.0,0,False,True,graph,True
ablation_zero,14,59886,20,20.0,0.5375,0.421875,0.3254867306697852,0.034375,0.1875,0.13379992036237173,5.7953125,5.8296875,0.0,0,False,True,graph,True
ablation_zero,14,106824,20,20.0,0.5375,0.421875,0.3254867306697852,0.034375,0.1875,0.13379992036237173,5.7953125,5.8296875,0.0,0,False,True,graph,True
ablation_zero,14,111183,20,20.0,0.5375,0.421875,0.3254867306697852,0.034375,0.1875,0.13379992036237173,5.7953125,5.8296875,0.0,0,False,True,graph,True
ablation_zero,15,16555,20,20.0,0.4484375,0.359375,0.38955775258449704,-0.0890625,-0.09375,0.09311295983069644,5.7953125,5.70625,0.0,0,False,True,graph,True
ablation_zero,15,24958,20,20.0,0.4484375,0.359375,0.38955775258449704,-0.0890625,-0.09375,0.09311295983069644,5.7953125,5.70625,0.0,0,False,True,graph,True
ablation_zero,15,28063,20,20.0,0.4484375,0.359375,0.38955775258449704,-0.0890625,-0.09375,0.09311295983069644,5.7953125,5.70625,0.0,0,False,True,graph,True
ablation_zero,16,101500,20,20.0,0.3859375,0.390625,0.261313696276797,0.0109375,-0.0625,0.0728047830844659,5.7953125,5.80625,0.0,0,False,True,graph,True
ablation_zero,17,108538,20,20.0,0.8453125,0.671875,0.9351656793648075,0.6578125,0.59375,0.2860519521461996,5.7953125,6.453125,0.0,0,False,True,graph,True
ablation_zero,17,124447,20,20.0,0.8453125,0.671875,0.9351656793648075,0.6578125,0.59375,0.2860519521461996,5.7953125,6.453125,0.0,0,False,True,graph,True
ablation_zero,18,106139,20,20.0,0.5375,0.4375,0.4423602217531248,-0.06875,-0.125,0.14792081817689717,5.7953125,5.7265625,0.0,0,False,True,graph,True
ablation_zero,18,149556,20,20.0,0.5375,0.4375,0.4423602217531248,-0.06875,-0.125,0.14792081817689717,5.7953125,5.7265625,0.0,0,False,True,graph,True
ablation_zero,19,34170,20,20.0,0.4328125,0.375,0.3834405093070261,0.1828125,0.09375,0.1261432330420588,5.7953125,5.978125,0.0,0,False,True,graph,True
ablation_zero,19,107296,20,20.0,0.4328125,0.375,0.3834405093070261,0.1828125,0.09375,0.1261432330420588,5.7953125,5.978125,0.0,0,False,True,graph,True
ablation_zero,19,124778,20,20.0,0.4328125,0.375,0.3834405093070261,0.1828125,0.09375,0.1261432330420588,5.7953125,5.978125,0.0,0,False,True,graph,True
ablation_zero,19,135640,20,20.0,0.4328125,0.375,0.3834405093070261,0.1828125,0.09375,0.1261432330420588,5.7953125,5.978125,0.0,0,False,True,graph,True
ablation_zero,19,135988,20,20.0,0.4328125,0.375,0.3834405093070261,0.1828125,0.09375,0.1261432330420588,5.7953125,5.978125,0.0,0,False,True,graph,True
ablation_zero,20,8575,20,20.0,0.78125,0.75,0.48306007853442434,-0.34375,-0.40625,0.18246168953137626,5.7953125,5.4515625,0.0,0,False,True,graph,True
ablation_zero,20,97102,20,20.0,0.78125,0.75,0.48306007853442434,-0.34375,-0.40625,0.18246168953137626,5.7953125,5.4515625,0.0,0,False,True,graph,True
ablation_zero,20,145235,20,20.0,0.78125,0.75,0.48306007853442434,-0.34375,-0.40625,0.18246168953137626,5.7953125,5.4515625,0.0,0,False,True,graph,True
ablation_zero,21,45934,20,20.0,0.4921875,0.3125,0.5496405636210191,0.2140625,0.171875,0.16765977283765035,5.7953125,6.009375,0.0,0,False,True,graph,True
ablation_zero,21,75521,20,20.0,0.4921875,0.3125,0.5496405636210191,0.2140625,0.171875,0.16765977283765035,5.7953125,6.009375,0.0,0,False,True,graph,True
ablation_zero,22,41906,20,20.0,0.7828125,0.65625,0.6157602376170965,-0.6703125,-0.65625,0.19497626883362315,5.7953125,5.125,0.05,1,False,True,graph,True
ablation_zero,23,40170,20,20.0,1.278125,1.15625,0.9785896722889152,-0.728125,-0.578125,0.31261739177720044,5.7953125,5.0671875,0.05,1,False,True,graph,True
ablation_zero,23,83865,20,20.0,1.278125,1.15625,0.9785896722889152,-0.728125,-0.578125,0.31261739177720044,5.7953125,5.0671875,0.05,1,False,True,graph,True
ablation_zero,24,34943,20,20.0,0.9828125,0.625,0.8872193658419546,-0.5765625,-0.078125,0.24957984963762075,5.7953125,5.21875,0.05,1,False,True,graph,True
ablation_zero,24,49489,20,20.0,0.9828125,0.625,0.8872193658419546,-0.5765625,-0.078125,0.24957984963762075,5.7953125,5.21875,0.05,1,False,True,graph,True
ablation_zero,25,27813,20,20.0,1.75,1.421875,1.3422382867512954,-1.36875,-1.40625,0.4479286463412386,5.7953125,4.4265625,0.1,2,False,True,graph,True
ablation_zero,25,121673,20,20.0,1.75,1.421875,1.3422382867512954,-1.36875,-1.40625,0.4479286463412386,5.7953125,4.4265625,0.1,2,False,True,graph,True
patching,10,15096,20,20.0,1.0640625,0.75,0.8820483855440072,0.6890625,0.578125,0.25693093602114314,5.7953125,6.484375,0.0,0,False,True,graph,True
patching,10,25281,20,20.0,1.0640625,0.75,0.8820483855440072,0.6890625,0.578125,0.25693093602114314,5.7953125,6.484375,0.0,0,False,True,graph,True
patching,10,59805,20,20.0,1.0640625,0.75,0.8820483855440072,0.6890625,0.578125,0.25693093602114314,5.7953125,6.484375,0.0,0,False,True,graph,True
patching,10,148569,20,20.0,1.0640625,0.75,0.8820483855440072,0.6890625,0.578125,0.25693093602114314,5.7953125,6.484375,0.0,0,False,True,graph,True
patching,11,36396,20,20.0,0.5078125,0.578125,0.3445527409307532,-0.2921875,-0.25,0.11421606201549037,5.7953125,5.503125,0.0,0,False,True,graph,True
patching,11,46537,20,20.0,0.5078125,0.578125,0.3445527409307532,-0.2921875,-0.25,0.11421606201549037,5.7953125,5.503125,0.0,0,False,True,graph,True
patching,11,59878,20,20.0,0.5078125,0.578125,0.3445527409307532,-0.2921875,-0.25,0.11421606201549037,5.7953125,5.503125,0.0,0,False,True,graph,True
patching,11,107914,20,20.0,0.5078125,0.578125,0.3445527409307532,-0.2921875,-0.25,0.11421606201549037,5.7953125,5.503125,0.0,0,False,True,graph,True
