experiment_type,prompt_idx,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips,has_control_rows,all_graph,feature_source_mode,layer_has_graph_features
ablation_zero,0,16,16.0,0.47265625,0.515625,0.28864694228705534,-0.26171875,-0.265625,0.05817307685147924,8.125,7.86328125,0.0,0,False,True,graph,True
ablation_zero,1,16,16.0,0.70703125,0.40625,1.1181431664259278,-0.55859375,-0.28125,0.07541666658622218,9.375,8.81640625,0.0,0,False,True,graph,True
ablation_zero,2,16,16.0,0.625,0.46875,0.5550431664894783,0.3125,0.3125,0.07812499990234367,8.0,8.3125,0.0,0,False,True,graph,True
ablation_zero,3,16,16.0,1.0625,0.5625,1.0851747171154822,-0.82421875,-0.390625,0.16666666640522873,6.375,5.55078125,0.0,0,False,True,graph,True
ablation_zero,4,16,16.0,1.08984375,0.75,0.9625727109981528,-0.27734375,-0.375,0.5449218722753906,2.0,1.72265625,0.125,2,False,True,graph,True
ablation_zero,5,16,16.0,0.328125,0.3125,0.22273162101506827,0.00390625,-0.125,0.054687499908854104,6.0,6.00390625,0.0,0,False,True,graph,True
ablation_zero,6,16,16.0,0.71484375,0.359375,0.6198616907222126,-0.4296875,-0.3125,0.10739436603583938,6.65625,6.2265625,0.0,0,False,True,graph,True
ablation_zero,7,16,16.0,0.548828125,0.515625,0.41567101092440484,-0.111328125,-0.15625,0.07669213963082319,7.15625,7.044921875,0.0,0,False,True,graph,True
ablation_zero,8,16,16.0,0.5078125,0.375,0.4647047673882132,0.24609375,0.09375,0.0897790053661365,5.65625,5.90234375,0.0,0,False,True,graph,True
ablation_zero,9,16,16.0,0.953125,0.625,1.008815311805552,0.6484375,0.375,0.3388888876839506,2.8125,3.4609375,0.0,0,False,True,graph,True
ablation_zero,10,16,16.0,1.1015625,0.875,0.8278596272919703,-0.9140625,-0.875,0.12071917794989674,9.125,8.2109375,0.0,0,False,True,graph,True
ablation_zero,11,16,16.0,0.68359375,0.53125,0.5760944068683534,0.26953125,0.421875,0.09943181803719005,6.875,7.14453125,0.0,0,False,True,graph,True
ablation_zero,12,16,16.0,0.32421875,0.203125,0.31558374317815124,0.12890625,0.09375,0.0439618643471703,7.375,7.50390625,0.0,0,False,True,graph,True
ablation_zero,13,16,16.0,0.90234375,0.8125,0.7575896364732471,-0.296875,-0.140625,0.17290419128545303,5.21875,4.921875,0.0,0,False,True,graph,True
ablation_zero,14,16,16.0,0.802734375,0.78125,0.5476891261530121,-0.490234375,-0.65625,0.10234063731972504,7.84375,7.353515625,0.0,0,False,True,graph,True
ablation_zero,15,16,16.0,1.7890625,1.4375,1.26261860003988,-0.421875,-0.375,1.144999992672,1.5625,1.140625,0.3125,5,False,True,graph,True
ablation_zero,16,16,16.0,0.6484375,0.59375,0.498892001506004,-0.296875,-0.359375,0.18201754334872267,3.5625,3.265625,0.0,0,False,True,graph,True
ablation_zero,17,16,16.0,0.88671875,0.59375,0.9051268183473886,-0.3515625,-0.03125,0.21175373083760302,4.1875,3.8359375,0.0,0,False,True,graph,True
ablation_zero,18,16,16.0,0.6328125,0.671875,0.4503326316920268,-0.26953125,-0.3125,0.20663265238650558,3.0625,2.79296875,0.0,0,False,True,graph,True
ablation_zero,19,16,16.0,0.88671875,0.75,0.6826414497804344,-0.55859375,-0.4375,0.1795886072312129,4.9375,4.37890625,0.0,0,False,True,graph,True
patching,0,16,16.0,0.46875,0.46875,0.3285463564450736,-0.2421875,-0.15625,0.057692307621301724,8.125,7.8828125,0.0,0,False,True,graph,True
patching,1,16,16.0,0.765625,0.5625,1.0464473629061966,-0.5859375,-0.46875,0.08166666657955553,9.375,8.7890625,0.0,0,False,True,graph,True
patching,2,16,16.0,0.564453125,0.375,0.47686977798582497,0.302734375,0.375,0.07055664053680413,8.0,8.302734375,0.0,0,False,True,graph,True
