experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features
steering,0,10,"[15096, 59805, 148569, 25281]",8.125,7.90625,-0.21875,0.21875,0.026923076889940827,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,1,10,"[15096, 59805, 148569, 25281]",9.375,8.875,-0.5,0.5,0.05333333327644444,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,2,10,"[15096, 59805, 148569, 25281]",8.0,9.0,1.0,1.0,0.12499999984374999,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,3,10,"[15096, 59805, 148569, 25281]",6.375,7.1875,0.8125,0.8125,0.12745098019223375,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,4,10,"[15096, 59805, 148569, 25281]",2.0,3.9375,1.9375,1.9375,0.96874999515625,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,5,10,"[15096, 59805, 148569, 25281]",6.0,7.09375,1.09375,1.09375,0.18229166636284722,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,6,10,"[15096, 59805, 148569, 25281]",6.65625,7.375,0.71875,0.71875,0.10798122049505168,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,7,10,"[15096, 59805, 148569, 25281]",7.15625,7.5625,0.40625,0.40625,0.05676855887263782,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,8,10,"[15096, 59805, 148569, 25281]",5.65625,7.15625,1.5,1.5,0.2651933696968957,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,9,10,"[15096, 59805, 148569, 25281]",2.8125,3.84375,1.03125,1.03125,0.366666665362963,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,10,10,"[15096, 59805, 148569, 25281]",9.125,9.9375,0.8125,0.8125,0.08904109579283166,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,11,10,"[15096, 59805, 148569, 25281]",6.875,9.3125,2.4375,2.4375,0.35454545402975207,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,12,10,"[15096, 59805, 148569, 25281]",7.375,8.5625,1.1875,1.1875,0.1610169489342143,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,13,10,"[15096, 59805, 148569, 25281]",5.21875,6.9375,1.71875,1.71875,0.3293413167341963,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,14,10,"[15096, 59805, 148569, 25281]",7.84375,9.0625,1.21875,1.21875,0.1553784858576848,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,15,10,"[15096, 59805, 148569, 25281]",1.5625,3.3125,1.75,1.75,1.1199999928320001,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,16,10,"[15096, 59805, 148569, 25281]",3.5625,5.0625,1.5,1.5,0.42105263039704527,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,17,10,"[15096, 59805, 148569, 25281]",4.1875,6.375,2.1875,2.1875,0.5223880584539987,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,18,10,"[15096, 59805, 148569, 25281]",3.0625,5.15625,2.09375,2.09375,0.6836734671553519,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,19,10,"[15096, 59805, 148569, 25281]",4.9375,6.0,1.0625,1.0625,0.21518987298189393,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,0,11,"[107914, 36396, 46537, 148703, 59878]",8.125,6.53125,-1.59375,1.59375,0.19615384591242602,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 5}",graph,,True
steering,1,11,"[107914, 36396, 46537, 148703, 59878]",9.375,6.5,-2.875,2.875,0.3066666663395555,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 5}",graph,,True
steering,2,11,"[107914, 36396, 46537, 148703, 59878]",8.0,7.5625,-0.4375,0.4375,0.05468749993164062,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 5}",graph,,True
steering,3,11,"[107914, 36396, 46537, 148703, 59878]",6.375,1.625,-4.75,4.75,0.745098038046905,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 5}",graph,,True
steering,4,11,"[107914, 36396, 46537, 148703, 59878]",2.0,-3.1875,-5.1875,5.1875,2.59374998703125,True,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 5}",graph,,True
steering,5,11,"[107914, 36396, 46537, 148703, 59878]",6.0,5.6875,-0.3125,0.3125,0.05208333324652778,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 5}",graph,,True
steering,6,11,"[107914, 36396, 46537, 148703, 59878]",6.65625,2.9375,-3.71875,3.71875,0.55868544517005,False,"{'behaviour': 'antonym_operation', 'coefficient': 10.0, 'n_features': 5}",graph,,True
