experiment_type,layer,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips,has_control_rows,all_graph,feature_source_mode,layer_has_graph_features
ablation_zero,10,80,80.0,0.780859375,0.5625,0.722728972350139,0.540234375,0.3125,78125.46556821991,0.816796875,1.35703125,0.0125,1,False,True,graph,True
ablation_zero,11,80,80.0,0.4314453125,0.3125,0.36340266533035354,0.0505859375,-0.015625,390625.18163157237,0.816796875,0.8673828125,0.0,0,False,True,graph,True
ablation_zero,12,80,80.0,0.755078125,0.453125,1.0105682138596723,-0.380859375,-0.21875,156250.27921227537,0.816796875,0.4359375,0.0375,3,False,True,graph,True
ablation_zero,13,80,80.0,0.575390625,0.4375,0.44966951620429185,-0.206640625,-0.25,625000.2317252512,0.816796875,0.61015625,0.0,0,False,True,graph,True
ablation_zero,14,80,80.0,0.530078125,0.421875,0.42533504774261427,0.071484375,0.078125,390625.25515186676,0.816796875,0.88828125,0.0125,1,False,True,graph,True
ablation_zero,15,80,80.0,0.422265625,0.359375,0.35543620095450534,-0.072265625,-0.0625,390625.18526865105,0.816796875,0.74453125,0.025,2,False,True,graph,True
ablation_zero,16,80,80.0,0.435546875,0.375,0.3707680428570332,0.143359375,0.125,78125.19858041308,0.816796875,0.96015625,0.0125,1,False,True,graph,True
ablation_zero,17,80,80.0,0.627734375,0.46875,0.6682095471943137,0.330859375,0.21875,1093750.3749055048,0.816796875,1.14765625,0.025,2,False,True,graph,True
ablation_zero,18,80,80.0,0.5119140625,0.46875,0.3771467737122755,0.0990234375,0.046875,312500.24479998305,0.816796875,0.9158203125,0.0125,1,False,True,graph,True
ablation_zero,19,80,80.0,0.6666015625,0.546875,0.5250766580914902,0.1689453125,0.25,937500.3976286466,0.816796875,0.9857421875,0.05,4,False,True,graph,True
ablation_zero,20,80,80.0,0.654296875,0.46875,0.5716412581299918,-0.278515625,-0.25,937500.3053663056,0.816796875,0.53828125,0.05,4,False,True,graph,True
ablation_zero,21,80,80.0,0.511328125,0.40625,0.4286296673846348,0.038671875,-0.0625,390625.2376482106,0.816796875,0.85546875,0.025,2,False,True,graph,True
ablation_zero,22,80,80.0,0.8,0.6875,0.557103153868862,-0.5046875,-0.546875,546875.3740389468,0.816796875,0.312109375,0.0625,5,False,True,graph,True
ablation_zero,23,80,80.0,0.97734375,0.765625,0.8546164282983361,-0.709375,-0.59375,1328125.5584439058,0.816796875,0.107421875,0.075,6,False,True,graph,True
ablation_zero,24,80,80.0,0.62578125,0.53125,0.4638849591657288,-0.0546875,-0.109375,625000.3292581616,0.816796875,0.762109375,0.0125,1,False,True,graph,True
ablation_zero,25,80,80.0,1.113671875,0.875,1.0124081083037109,-0.962890625,-0.8359375,546875.5415197674,0.816796875,-0.14609375,0.0625,5,False,True,graph,True
