experiment_type,prompt_idx,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips,has_control_rows,all_graph,feature_source_mode,layer_has_graph_features
ablation_zero,0,16,16.0,0.826171875,0.71875,0.6363519840907624,0.185546875,0.25,0.36718749836805553,-2.25,-2.064453125,0.0,0,False,True,graph,True
ablation_zero,1,16,16.0,0.40625,0.34375,0.3001735609054646,-0.2109375,-0.3125,0.21666666551111108,-1.875,-2.0859375,0.0,0,False,True,graph,True
ablation_zero,2,16,16.0,0.55859375,0.40625,0.5370243777443131,-0.0546875,-0.25,0.09821428554160122,5.6875,5.6328125,0.0,0,False,True,graph,True
ablation_zero,3,16,16.0,0.876953125,0.5625,0.7452513514398459,0.400390625,0.234375,0.34222560842058297,-2.5625,-2.162109375,0.0,0,False,True,graph,True
ablation_zero,4,16,16.0,0.470703125,0.3125,0.42900514001145723,0.033203125,0.03125,0.3274456498960302,1.4375,1.470703125,0.0,0,False,True,graph,True
ablation_zero,5,16,16.0,0.541015625,0.5,0.3629520798116238,0.115234375,0.1875,0.0801504628442215,6.75,6.865234375,0.0,0,False,True,graph,True
ablation_zero,6,16,16.0,0.72265625,0.421875,0.6505081147008596,-0.4453125,-0.21875,0.10856807495426385,6.65625,6.2109375,0.0,0,False,True,graph,True
ablation_zero,7,16,16.0,0.5390625,0.4375,0.3679015663190359,0.046875,0.21875,0.28749999846666663,-1.875,-1.828125,0.0,0,False,True,graph,True
ablation_zero,8,16,16.0,0.46484375,0.5,0.24629414790381574,-0.25,-0.34375,0.09239130416419118,-5.03125,-5.28125,0.0,0,False,True,graph,True
ablation_zero,9,16,16.0,0.634765625,0.5625,0.34830668321597946,0.142578125,0.390625,0.1829954949679409,-3.46875,-3.326171875,0.0,0,False,True,graph,True
ablation_zero,10,16,16.0,0.384765625,0.328125,0.23516360384404017,-0.291015625,-0.3125,0.13383152127362946,-2.875,-3.166015625,0.0,0,False,True,graph,True
ablation_zero,11,16,16.0,0.5546875,0.4375,0.32605997019975735,0.00390625,0.203125,0.1207482990568744,-4.59375,-4.58984375,0.0,0,False,True,graph,True
ablation_zero,12,16,16.0,0.5224609375,0.5625,0.24869246285468558,-0.5224609375,-0.5625,0.3096064796467764,-1.6875,-2.2099609375,0.0,0,False,True,graph,True
ablation_zero,13,16,16.0,1.19921875,1.1875,0.9299610066870188,-0.62890625,-0.40625,1.598958312013889,0.75,0.12109375,0.4375,7,False,True,graph,True
ablation_zero,14,16,16.0,0.44921875,0.390625,0.4096611595269925,-0.02734375,0.03125,0.10727611914680325,-4.1875,-4.21484375,0.0,0,False,True,graph,True
ablation_zero,15,16,16.0,0.552734375,0.4375,0.3080345011622075,-0.392578125,-0.40625,0.15117521326174296,-3.65625,-4.048828125,0.0,0,False,True,graph,True
ablation_zero,16,16,16.0,0.84765625,0.8125,0.49946260182820496,0.16015625,0.40625,0.08371913571978352,-10.125,-9.96484375,0.0,0,False,True,graph,True
ablation_zero,17,16,16.0,0.51171875,0.375,0.41361512781610554,-0.40234375,-0.3125,0.08397435883655487,6.09375,5.69140625,0.0,0,False,True,graph,True
ablation_zero,18,16,16.0,1.447265625,1.0625,1.543497733690027,-0.822265625,-0.5,0.15860445188098138,9.125,8.302734375,0.0,0,False,True,graph,True
ablation_zero,19,16,16.0,0.5302734375,0.625,0.2675158648673554,-0.4052734375,-0.59375,0.36888586699905485,1.4375,1.0322265625,0.0,0,False,True,graph,True
ablation_zero,20,16,16.0,0.853515625,0.890625,0.8059607644955491,-0.353515625,-0.15625,0.16354790387823154,5.21875,4.865234375,0.0,0,False,True,graph,True
ablation_zero,21,16,16.0,1.01953125,0.78125,0.836183277731822,-0.19921875,-0.125,0.24715909030991737,4.125,3.92578125,0.0,0,False,True,graph,True
ablation_zero,22,16,16.0,1.00390625,0.8125,0.8519184080405431,0.07421875,-0.0625,2.6770832619444462,-0.375,-0.30078125,0.3125,5,False,True,graph,True
ablation_zero,23,16,16.0,0.48046875,0.375,0.441628585229338,0.37890625,0.3125,0.09490740721993596,-5.0625,-4.68359375,0.0,0,False,True,graph,True
ablation_zero,24,16,16.0,0.337890625,0.234375,0.30043777737314703,0.091796875,0.046875,0.0458156779039787,7.375,7.466796875,0.0,0,False,True,graph,True
ablation_zero,25,16,16.0,0.59375,0.515625,0.43376380861785446,0.1640625,0.265625,0.1461538457940828,-4.0625,-3.8984375,0.0,0,False,True,graph,True
ablation_zero,26,16,16.0,1.025390625,0.546875,1.0529731437250667,-0.810546875,-0.34375,0.16084558798298726,6.375,5.564453125,0.0,0,False,True,graph,True
ablation_zero,27,16,16.0,0.833984375,0.78125,0.5365202735277111,-0.365234375,-0.5,0.22809828997443202,3.65625,3.291015625,0.0,0,False,True,graph,True
ablation_zero,28,16,16.0,0.923828125,0.484375,1.156107465876875,-0.783203125,-0.390625,0.12742456878975916,7.25,6.466796875,0.0,0,False,True,graph,True
ablation_zero,29,16,16.0,0.86328125,0.78125,0.7472061678624359,0.27734375,0.21875,0.16154970730002388,5.34375,5.62109375,0.0,0,False,True,graph,True
ablation_zero,30,16,16.0,0.44140625,0.375,0.28999708152267095,-0.09765625,-0.21875,44140625.0,0.0,-0.09765625,0.0,0,False,True,graph,True
ablation_zero,31,16,16.0,0.943359375,0.703125,0.9640827591064214,0.154296875,0.328125,0.20124999957066664,4.6875,4.841796875,0.0,0,False,True,graph,True
ablation_zero,32,16,16.0,0.587890625,0.5,0.47368496008027317,0.103515625,0.1875,0.11612654298049074,5.0625,5.166015625,0.0,0,False,True,graph,True
