cluster_id,n_features,representative,method,missingness_rate
0,22,L17_F151157,agglomerative,0.9528245192307693
7,14,L24_F17191,agglomerative,0.9528245192307693
5,13,L23_F40170,agglomerative,0.9528245192307693
4,11,L10_F79308,agglomerative,0.9528245192307693
1,10,L25_F43384,agglomerative,0.9528245192307693
2,9,L22_F41906,agglomerative,0.9528245192307693
6,8,L20_F89162,agglomerative,0.9528245192307693
3,7,L12_F146578,agglomerative,0.9528245192307693
9,5,L11_F107358,agglomerative,0.9528245192307693
8,5,L21_F68550,agglomerative,0.9528245192307693
