experiment_type,layer,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips,has_control_rows,all_graph,feature_source_mode,layer_has_graph_features
ablation_zero,10,432,432.0,0.8922887731481481,0.625,0.7282085254123946,0.7930410879629629,0.625,0.5141740177013334,2.6959635416666665,3.4890046296296298,0.020833333333333332,9,False,True,graph,True
ablation_zero,11,240,240.0,0.54609375,0.4375,0.4749281233467979,-0.18932291666666667,-0.3125,0.2446903876114032,2.6959635416666665,2.506640625,0.0,0,False,True,graph,True
ablation_zero,12,192,192.0,0.9176432291666666,0.5625,1.0905091270042495,-0.6363932291666666,-0.4375,0.38635890371603415,2.6959635416666665,2.0595703125,0.08333333333333333,16,False,True,graph,True
ablation_zero,13,144,144.0,0.5103081597222222,0.421875,0.42348526858475605,-0.2119140625,-0.125,0.21377735707003642,2.6959635416666665,2.4840494791666665,0.0,0,False,True,graph,True
ablation_zero,14,48,48.0,0.57421875,0.4375,0.5513683187659859,0.013020833333333334,0.015625,0.2911390680844584,2.6959635416666665,2.708984375,0.0,0,False,True,graph,True
ablation_zero,15,144,144.0,0.3665364583333333,0.3125,0.26632706863960726,-0.019314236111111112,-0.125,0.17791483769117644,2.6959635416666665,2.6766493055555554,0.020833333333333332,3,False,True,graph,True
ablation_zero,16,48,48.0,0.4544270833333333,0.34375,0.41175980965440423,0.0026041666666666665,0.0625,0.22437571282086424,2.6959635416666665,2.6985677083333335,0.020833333333333332,1,False,True,graph,True
ablation_zero,17,48,48.0,0.6848958333333334,0.5,0.5631214553654547,0.4231770833333333,0.390625,0.41867935448903265,2.6959635416666665,3.119140625,0.041666666666666664,2,False,True,graph,True
ablation_zero,18,48,48.0,0.4680989583333333,0.375,0.3860026827833106,-0.126953125,-0.140625,0.24232974246759556,2.6959635416666665,2.5690104166666665,0.0625,3,False,True,graph,True
ablation_zero,19,96,96.0,0.5792643229166666,0.484375,0.4232964891424522,0.13785807291666666,0.171875,0.35401035023288036,2.6959635416666665,2.8338216145833335,0.0625,6,False,True,graph,True
ablation_zero,20,192,192.0,0.6698404947916666,0.5,0.5348968042178326,-0.4847819010416667,-0.4375,0.34860778809196996,2.6959635416666665,2.211181640625,0.057291666666666664,11,False,True,graph,True
ablation_zero,21,96,96.0,0.4368489583333333,0.375,0.31567398547261805,-0.006510416666666667,0.0625,0.1915991256371585,2.6959635416666665,2.689453125,0.0,0,False,True,graph,True
ablation_zero,22,192,192.0,0.7462565104166666,0.640625,0.5531705452363479,-0.40966796875,-0.4375,0.3422172598708902,2.6959635416666665,2.2862955729166665,0.07291666666666667,14,False,True,graph,True
ablation_zero,23,288,288.0,1.06982421875,0.75,0.9377475531309762,-0.41748046875,-0.375,0.640826000015228,2.6959635416666665,2.2784830729166665,0.08333333333333333,24,False,True,graph,True
ablation_zero,24,96,96.0,0.677734375,0.625,0.5271672158219819,0.057291666666666664,0.03125,0.37923913758540806,2.6959635416666665,2.7532552083333335,0.0,0,False,True,graph,True
ablation_zero,25,240,240.0,0.9775390625,0.8125,0.8684230688670329,-0.7455078125,-0.65625,0.47776239826898487,2.6959635416666665,1.9504557291666667,0.08333333333333333,20,False,True,graph,True
patching,10,240,240.0,0.870703125,0.734375,0.6205646837276388,0.816015625,0.734375,0.7765830154523918,0.3958333333333333,1.2118489583333334,0.041666666666666664,10,False,True,graph,True
patching,11,144,144.0,0.3949652777777778,0.375,0.2503442535578414,-0.18272569444444445,-0.3125,0.3075996974482693,0.3958333333333333,0.2131076388888889,0.0,0,False,True,graph,True
patching,12,144,144.0,0.5891927083333334,0.5,0.43090953847479135,-0.4646267361111111,-0.4375,0.4340792038571217,0.3958333333333333,-0.06879340277777778,0.041666666666666664,6,False,True,graph,True
patching,13,144,144.0,0.4294704861111111,0.3125,0.43917863726965106,-0.087890625,0.03125,0.27699534949045657,0.3958333333333333,0.3079427083333333,0.006944444444444444,1,False,True,graph,True
patching,14,24,24.0,0.6002604166666666,0.40625,0.6645744776169326,0.10286458333333333,0.140625,0.48699024338973596,0.3958333333333333,0.4986979166666667,0.0,0,False,True,graph,True
patching,15,96,96.0,0.33203125,0.25,0.28692197327845076,0.103515625,-0.03125,0.27339181938480056,0.3958333333333333,0.4993489583333333,0.041666666666666664,4,False,True,graph,True
