experiment_type,layer,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips,has_control_rows,all_graph,feature_source_mode,layer_has_graph_features
ablation_zero,10,576,576.0,0.6429036458333334,0.5,0.6010138308143691,0.4739583333333333,0.375,65104.542920797685,3.0618489583333335,3.5358072916666665,0.020833333333333332,12,False,True,graph,True
ablation_zero,11,288,288.0,0.4884982638888889,0.375,0.4109487966077849,-0.2191840277777778,-0.25,434028.0749520263,3.0618489583333335,2.8426649305555554,0.03125,9,False,True,graph,True
ablation_zero,12,384,384.0,0.8316243489583334,0.59375,0.8964369576241004,-0.5897623697916666,-0.4375,179036.87548856987,3.0618489583333335,2.4720865885416665,0.07291666666666667,28,False,True,graph,True
ablation_zero,13,192,192.0,0.5515950520833334,0.4375,0.5003660503150176,-0.09293619791666667,-0.015625,585937.7301285494,3.0618489583333335,2.9689127604166665,0.015625,3,False,True,graph,True
ablation_zero,14,192,192.0,0.62646484375,0.4375,0.5740282544544453,-0.09488932291666667,-0.1875,292969.10023869044,3.0618489583333335,2.9669596354166665,0.03125,6,False,True,graph,True
ablation_zero,15,96,96.0,0.3961588541666667,0.3125,0.3323465833635274,-0.0458984375,-0.09375,325521.04335732426,3.0618489583333335,3.0159505208333335,0.020833333333333332,2,False,True,graph,True
ablation_zero,16,96,96.0,0.4482421875,0.34375,0.3899916740898131,-0.0810546875,0.0,195312.74446193606,3.0618489583333335,2.9807942708333335,0.020833333333333332,2,False,True,graph,True
ablation_zero,17,96,96.0,0.66943359375,0.5,0.5268701424678137,0.4422200520833333,0.390625,976562.8905758755,3.0618489583333335,3.5040690104166665,0.020833333333333332,2,False,True,graph,True
ablation_zero,18,96,96.0,0.4436848958333333,0.34375,0.36323710765108497,-0.032877604166666664,-0.046875,325521.0872289615,3.0618489583333335,3.0289713541666665,0.03125,3,False,True,graph,True
ablation_zero,19,384,384.0,0.529052734375,0.375,0.42544798841643977,0.100341796875,0.0625,862630.5273069899,3.0618489583333335,3.1621907552083335,0.020833333333333332,8,False,True,graph,True
ablation_zero,20,192,192.0,0.6591796875,0.53125,0.4878672164777791,-0.5061848958333334,-0.46875,716146.1560261304,3.0618489583333335,2.5556640625,0.052083333333333336,10,False,True,graph,True
ablation_zero,21,192,192.0,0.5374348958333334,0.46875,0.40771658835505376,-0.22005208333333334,-0.203125,358073.2120822118,3.0618489583333335,2.841796875,0.020833333333333332,4,False,True,graph,True
ablation_zero,22,288,288.0,0.9680989583333334,0.765625,0.7245281560926646,-0.7235243055555556,-0.625,347222.7164842083,3.0618489583333335,2.3383246527777777,0.08680555555555555,25,False,True,graph,True
ablation_zero,23,480,480.0,1.276953125,1.078125,0.9999739291111591,-0.8180989583333333,-0.75,1236980.1556330814,3.0618489583333335,2.24375,0.11666666666666667,56,False,True,graph,True
ablation_zero,24,480,480.0,0.5880859375,0.4375,0.48993163804064566,-0.1650390625,-0.15625,507812.85192161467,3.0618489583333335,2.8968098958333335,0.010416666666666666,5,False,True,graph,True
ablation_zero,25,672,672.0,1.0802641369047619,0.875,0.9828836320972634,-0.9302455357142857,-0.84375,390625.51075375243,3.0618489583333335,2.1316034226190474,0.07291666666666667,49,False,True,graph,True
patching,10,384,384.0,0.5979817708333334,0.453125,0.5275557854070394,0.5094401041666666,0.4375,65104.75162367921,0.5260416666666666,1.0354817708333333,0.041666666666666664,16,False,True,graph,True
patching,11,288,288.0,0.4932725694444444,0.4375,0.3520036444284859,-0.2131076388888889,-0.3125,889757.4177325335,0.5260416666666666,0.3129340277777778,0.0625,18,False,True,graph,True
patching,12,288,288.0,0.6180555555555556,0.578125,0.4411779888080882,-0.4312065972222222,-0.40625,412326.9963039054,0.5260416666666666,0.09483506944444445,0.10416666666666667,30,False,True,graph,True
patching,13,144,144.0,0.4602864583333333,0.3125,0.46564705428949915,0.126953125,0.125,1128472.5444514973,0.5260416666666666,0.6529947916666666,0.034722222222222224,5,False,True,graph,True
patching,14,96,96.0,0.6809895833333334,0.5,0.6095443702996813,-0.111328125,-0.1875,585938.0905896769,0.5260416666666666,0.4147135416666667,0.0625,6,False,True,graph,True
patching,15,48,48.0,0.3821614583333333,0.296875,0.30897207961713047,0.11002604166666667,0.0625,911458.6661569964,0.5260416666666666,0.6360677083333334,0.041666666666666664,2,False,True,graph,True
patching,16,48,48.0,0.4270833333333333,0.34375,0.3754061039831418,0.07161458333333333,0.0625,130208.71663538109,0.5260416666666666,0.59765625,0.041666666666666664,2,False,True,graph,True
patching,17,48,48.0,0.7203776041666666,0.546875,0.533282247761585,0.3948567708333333,0.375,1953125.6591703242,0.5260416666666666,0.9208984375,0.041666666666666664,2,False,True,graph,True
patching,18,48,48.0,0.5462239583333334,0.453125,0.5164751447119937,-0.134765625,-0.09375,781250.435763387,0.5260416666666666,0.3912760416666667,0.0625,3,False,True,graph,True
patching,19,240,240.0,0.6248697916666667,0.53125,0.4780800710823085,0.128515625,0.21875,1718750.5471556245,0.5260416666666666,0.6545572916666667,0.04583333333333333,11,False,True,graph,True
