layer,feature_source,layer_has_graph_features,skipped,skipped_reason,n_graph_features,n_features_used,experiment_type
10,graph,True,False,,8,8,ablation
11,graph,True,False,,6,6,ablation
12,graph,True,False,,6,6,ablation
13,graph,True,False,,3,3,ablation
14,graph,True,False,,2,2,ablation
15,graph,True,False,,1,1,ablation
16,graph,True,False,,1,1,ablation
17,graph,True,False,,1,1,ablation
18,graph,True,False,,1,1,ablation
19,graph,True,False,,5,5,ablation
20,graph,True,False,,8,8,ablation
21,graph,True,False,,2,2,ablation
22,graph,True,False,,6,6,ablation
23,graph,True,False,,10,10,ablation
24,graph,True,False,,15,15,ablation
25,graph,True,False,,16,16,ablation
10,graph,True,False,,8,8,patching_C3
11,graph,True,False,,6,6,patching_C3
12,graph,True,False,,6,6,patching_C3
13,graph,True,False,,3,3,patching_C3
14,graph,True,False,,2,2,patching_C3
15,graph,True,False,,1,1,patching_C3
16,graph,True,False,,1,1,patching_C3
17,graph,True,False,,1,1,patching_C3
18,graph,True,False,,1,1,patching_C3
19,graph,True,False,,5,5,patching_C3
20,graph,True,False,,8,8,patching_C3
21,graph,True,False,,2,2,patching_C3
22,graph,True,False,,6,6,patching_C3
23,graph,True,False,,10,10,patching_C3
24,graph,True,False,,15,15,patching_C3
25,graph,True,False,,16,16,patching_C3
