experiment_type,layer,feature_id,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips,has_control_rows,all_graph,feature_source_mode,layer_has_graph_features
ablation_zero,10,25281,96,96.0,0.679443359375,0.4375,0.6771741123065288,0.3999837239583333,0.296875,0.40264581932166815,3.6368815104166665,4.036865234375,0.03125,3,False,True,graph,True
ablation_zero,10,59805,96,96.0,0.69580078125,0.46875,0.6704523383650176,0.41552734375,0.3125,0.4081653994850322,3.6368815104166665,4.052408854166667,0.03125,3,False,True,graph,True
ablation_zero,10,68612,96,96.0,0.6570638020833334,0.421875,0.6685923087556677,0.3836263020833333,0.234375,0.3962972986411227,3.6368815104166665,4.0205078125,0.03125,3,False,True,graph,True
ablation_zero,10,101190,96,96.0,0.6394856770833334,0.4375,0.6397287729324784,0.3601888020833333,0.171875,0.3918063164872126,3.6368815104166665,3.9970703125,0.03125,3,False,True,graph,True
ablation_zero,10,104215,96,96.0,0.6512044270833334,0.4375,0.6572536763725211,0.3771158854166667,0.1875,0.3954029511777075,3.6368815104166665,4.013997395833333,0.03125,3,False,True,graph,True
ablation_zero,11,22932,96,96.0,0.653076171875,0.375,1.017402656148046,-0.021565755208333332,-0.171875,0.318646194943128,3.6368815104166665,3.6153157552083335,0.041666666666666664,4,False,True,graph,True
ablation_zero,11,59878,96,96.0,0.6727701822916666,0.40625,0.99983285879074,-0.07478841145833333,-0.1875,0.32171451137468093,3.6368815104166665,3.5620930989583335,0.041666666666666664,4,False,True,graph,True
ablation_zero,11,123551,96,96.0,0.6729329427083334,0.4375,0.9954057833153427,-0.055745442708333336,-0.171875,0.3230214566266902,3.6368815104166665,3.5811360677083335,0.041666666666666664,4,False,True,graph,True
ablation_zero,12,4447,96,96.0,0.8191731770833334,0.515625,0.8823549693280803,-0.5587565104166666,-0.390625,0.3243335800822383,3.6368815104166665,3.078125,0.041666666666666664,4,False,True,graph,True
ablation_zero,12,71563,96,96.0,0.8465169270833334,0.625,0.9601137616976684,-0.58740234375,-0.375,0.31807870837513547,3.6368815104166665,3.0494791666666665,0.041666666666666664,4,False,True,graph,True
ablation_zero,12,83869,96,96.0,0.8597005208333334,0.546875,0.9153776362430625,-0.5826822916666666,-0.40625,0.34204697859258354,3.6368815104166665,3.05419921875,0.041666666666666664,4,False,True,graph,True
ablation_zero,13,50574,96,96.0,0.5818684895833334,0.4375,0.6589426073212693,-0.11002604166666667,-0.1796875,0.2891284248989765,3.6368815104166665,3.52685546875,0.020833333333333332,2,False,True,graph,True
ablation_zero,13,70603,96,96.0,0.6221516927083334,0.453125,0.6968065149110143,-0.13777669270833334,-0.21875,0.2661247329650822,3.6368815104166665,3.4991048177083335,0.020833333333333332,2,False,True,graph,True
ablation_zero,13,72758,96,96.0,0.60205078125,0.4375,0.6917917148626982,-0.169921875,-0.25,0.27484532088532526,3.6368815104166665,3.4669596354166665,0.020833333333333332,2,False,True,graph,True
ablation_zero,13,136136,96,96.0,0.6424967447916666,0.484375,0.6916402553304488,-0.139404296875,-0.25,0.2992979616215155,3.6368815104166665,3.4974772135416665,0.020833333333333332,2,False,True,graph,True
ablation_zero,14,28821,96,96.0,0.5447591145833334,0.390625,0.5049132560481604,0.053548177083333336,-0.015625,0.21480291259895182,3.6368815104166665,3.6904296875,0.010416666666666666,1,False,True,graph,True
ablation_zero,14,34023,96,96.0,0.53173828125,0.375,0.5115566832299995,0.06103515625,0.0,0.2188587548740287,3.6368815104166665,3.6979166666666665,0.010416666666666666,1,False,True,graph,True
ablation_zero,14,41052,96,96.0,0.5655924479166666,0.4375,0.5160042454578485,0.033365885416666664,-0.015625,0.2311024375452306,3.6368815104166665,3.6702473958333335,0.010416666666666666,1,False,True,graph,True
ablation_zero,14,111183,96,96.0,0.556640625,0.375,0.52194467506838,0.044270833333333336,0.0,0.22410476010703687,3.6368815104166665,3.68115234375,0.010416666666666666,1,False,True,graph,True
ablation_zero,14,141271,96,96.0,0.5470377604166666,0.4375,0.5160384844889145,0.04248046875,0.0,0.22486547447620633,3.6368815104166665,3.6793619791666665,0.010416666666666666,1,False,True,graph,True
ablation_zero,15,24958,96,96.0,0.4969075520833333,0.421875,0.4302478092717675,-0.19840494791666666,-0.1875,0.3242769230378598,3.6368815104166665,3.4384765625,0.010416666666666666,1,False,True,graph,True
ablation_zero,15,41361,96,96.0,0.5234375,0.40625,0.43636483370237944,-0.21549479166666666,-0.2265625,0.332066347322763,3.6368815104166665,3.42138671875,0.010416666666666666,1,False,True,graph,True
ablation_zero,15,106898,96,96.0,0.4890950520833333,0.390625,0.43256806459579883,-0.20979817708333334,-0.1875,0.31760328276869537,3.6368815104166665,3.4270833333333335,0.010416666666666666,1,False,True,graph,True
ablation_zero,15,127839,96,96.0,0.47216796875,0.375,0.4203658626673838,-0.19873046875,-0.1640625,0.31320214611468516,3.6368815104166665,3.4381510416666665,0.010416666666666666,1,False,True,graph,True
