experiment_type,layer,feature_id,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips,has_control_rows,all_graph,feature_source_mode,layer_has_graph_features
ablation_zero,10,35580,5,5.0,0.38125,0.3125,0.2484325864293974,-0.30625,-0.3125,0.2122242917937367,1.94375,1.6375,0.0,0,False,True,graph,True
ablation_zero,10,83063,5,5.0,0.41875,0.3125,0.29114536747130293,-0.29375,-0.28125,0.22954851248701225,1.94375,1.65,0.0,0,False,True,graph,True
ablation_zero,11,35425,5,5.0,0.20625,0.25,0.1971476286948438,0.20625,0.25,0.0976605247592875,1.94375,2.15,0.0,0,False,True,graph,True
ablation_zero,11,114815,5,5.0,0.26875,0.3125,0.22921401026115312,0.24375,0.3125,0.13843286175903946,1.94375,2.1875,0.0,0,False,True,graph,True
ablation_zero,12,60,5,5.0,0.19375,0.15625,0.12183492931011206,-0.16875,-0.15625,0.12640531672533967,1.94375,1.775,0.0,0,False,True,graph,True
ablation_zero,12,2451,5,5.0,0.21875,0.1875,0.13975424859373686,-0.19375,-0.1875,0.13950302975234077,1.94375,1.75,0.0,0,False,True,graph,True
ablation_zero,13,58969,5,5.0,0.29375,0.3125,0.11180339887498948,-0.29375,-0.3125,0.15163372827826155,1.94375,1.65,0.0,0,False,True,graph,True
ablation_zero,14,89354,5,5.0,0.125,0.0625,0.125,-0.025,0.0,0.08642873567178677,1.94375,1.91875,0.0,0,False,True,graph,True
ablation_zero,15,64857,5,5.0,0.225,0.25,0.12960275845829825,-0.1,-0.25,0.14375542529048185,1.94375,1.84375,0.0,0,False,True,graph,True
ablation_zero,16,14097,5,5.0,0.26875,0.25,0.07525996611745185,0.26875,0.25,0.16777825441510025,1.94375,2.2125,0.0,0,False,True,graph,True
ablation_zero,16,46637,5,5.0,0.275,0.25,0.12770510463564094,0.275,0.25,0.17158896165329912,1.94375,2.21875,0.0,0,False,True,graph,True
ablation_zero,16,82587,5,5.0,0.2125,0.1875,0.10458250331675945,0.2125,0.1875,0.1302626223799554,1.94375,2.15625,0.0,0,False,True,graph,True
ablation_zero,17,6720,5,5.0,0.31875,0.25,0.21469455046647085,-0.31875,-0.25,0.15610517586857695,1.94375,1.625,0.0,0,False,True,graph,True
ablation_zero,18,152260,5,5.0,0.46875,0.375,0.28470104934825935,0.00625,-0.09375,0.2767394695460964,1.94375,1.95,0.0,0,False,True,graph,True
ablation_zero,19,94584,5,5.0,0.1875,0.125,0.125,-0.1875,-0.125,0.09108816987014337,1.94375,1.75625,0.0,0,False,True,graph,True
ablation_zero,20,21838,5,5.0,0.23125,0.25,0.19213032686174247,-0.00625,-0.03125,0.12847117595489682,1.94375,1.9375,0.0,0,False,True,graph,True
ablation_zero,20,41392,5,5.0,0.26875,0.3125,0.20204037344055767,-0.01875,-0.09375,0.14631674026324565,1.94375,1.925,0.0,0,False,True,graph,True
ablation_zero,20,74959,5,5.0,0.26875,0.3125,0.1869784412706449,-0.04375,-0.09375,0.14402983800030592,1.94375,1.9,0.0,0,False,True,graph,True
ablation_zero,21,101234,5,5.0,0.29375,0.25,0.2270737765573119,0.01875,0.125,0.1412040680185254,1.94375,1.9625,0.0,0,False,True,graph,True
ablation_zero,22,84205,5,5.0,0.5625,0.6875,0.3156095293238149,0.5125,0.6875,0.4148927404223214,1.94375,2.45625,0.0,0,False,True,graph,True
ablation_zero,22,93236,5,5.0,0.53125,0.625,0.2633171804117612,0.43125,0.625,0.3901745211165106,1.94375,2.375,0.0,0,False,True,graph,True
ablation_zero,22,110496,5,5.0,0.6125,0.6875,0.3811987670494227,0.5625,0.6875,0.46873889365309057,1.94375,2.50625,0.0,0,False,True,graph,True
ablation_zero,23,83556,5,5.0,1.15625,1.25,0.4990224819584785,1.15625,1.25,0.6886118825864574,1.94375,3.1,0.0,0,False,True,graph,True
ablation_zero,23,91721,5,5.0,1.325,1.53125,0.5012679236196946,1.325,1.53125,0.8037975579986094,1.94375,3.26875,0.0,0,False,True,graph,True
ablation_zero,23,109767,5,5.0,1.175,1.25,0.5259849391855246,1.175,1.25,0.7165282601371411,1.94375,3.11875,0.0,0,False,True,graph,True
ablation_zero,24,52031,5,5.0,0.34375,0.3125,0.3644344934278313,0.16875,0.03125,0.30097059608672666,1.94375,2.1125,0.0,0,False,True,graph,True
ablation_zero,25,71226,5,5.0,0.38125,0.40625,0.2300645289913245,-0.38125,-0.40625,0.19831887470656823,1.94375,1.5625,0.0,0,False,True,graph,True
ablation_zero,25,106028,5,5.0,0.1875,0.1875,0.1926379375927805,-0.1875,-0.1875,0.09009247929660942,1.94375,1.75625,0.0,0,False,True,graph,True
ablation_zero,25,110282,5,5.0,0.28125,0.1875,0.2096313728906053,-0.28125,-0.1875,0.14604033657221333,1.94375,1.6625,0.0,0,False,True,graph,True
