experiment_type,layer,feature_id,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips,has_control_rows,all_graph,feature_source_mode,layer_has_graph_features
ablation_zero,10,19118,5,5.0,0.85,0.6875,0.5687156583038663,-0.125,0.3125,0.06964621565436427,12.6875,12.5625,0.0,0,False,True,graph,True
ablation_zero,10,53921,5,5.0,0.9375,0.9375,0.5519850541454905,-0.1625,0.3125,0.07676760434959572,12.6875,12.525,0.0,0,False,True,graph,True
ablation_zero,11,112540,5,5.0,0.5875,0.3125,0.6534165019342564,0.1375,0.0,0.04238004464286576,12.6875,12.825,0.0,0,False,True,graph,True
ablation_zero,12,39989,5,5.0,0.7375,0.625,0.7735874223382901,0.2375,0.125,0.052034157065939626,12.6875,12.925,0.0,0,False,True,graph,True
ablation_zero,12,73956,5,5.0,0.7125,0.4375,0.6883517451129183,0.5375,0.1875,0.05971034717121613,12.6875,13.225,0.0,0,False,True,graph,True
ablation_zero,12,102670,5,5.0,0.9125,0.3125,1.3054872174785932,0.4625,0.0,0.06125644912649962,12.6875,13.15,0.0,0,False,True,graph,True
ablation_zero,13,140686,5,5.0,0.625,0.3125,0.6889189901577688,-0.4,-0.125,0.05271448668997618,12.6875,12.2875,0.0,0,False,True,graph,True
ablation_zero,14,32925,5,5.0,8.0,13.0625,7.21908819554104,-8.0,-13.0625,0.5535386955080915,12.6875,4.6875,0.2,1,False,True,graph,True
ablation_zero,14,77869,5,5.0,8.0875,12.9375,7.332185042673159,-8.0875,-12.9375,0.5583817684591493,12.6875,4.6,0.0,0,False,True,graph,True
ablation_zero,14,96297,5,5.0,7.1125,4.0625,7.947754203232508,-7.1125,-4.0625,0.4750277786725355,12.6875,5.575,0.2,1,False,True,graph,True
ablation_zero,15,24829,5,5.0,8.3875,1.1875,10.518157663060581,-7.9875,-1.1875,0.5573485512070878,12.6875,4.7,0.4,2,False,True,graph,True
ablation_zero,15,90154,5,5.0,0.6125,0.5625,0.6049922520165031,-0.2375,-0.0625,0.053097296394294134,12.6875,12.45,0.0,0,False,True,graph,True
ablation_zero,16,51107,5,5.0,0.7,0.1875,1.1131318430446593,-0.625,-0.1875,0.056249563708757874,12.6875,12.0625,0.0,0,False,True,graph,True
ablation_zero,16,93805,5,5.0,0.675,0.1875,1.1253471686550778,-0.6,-0.1875,0.052710337803965945,12.6875,12.0875,0.0,0,False,True,graph,True
ablation_zero,17,13730,5,5.0,0.55,0.1875,0.8876320324323588,-0.375,0.0,0.0433985631933894,12.6875,12.3125,0.0,0,False,True,graph,True
ablation_zero,18,15247,5,5.0,0.975,0.5,1.0370104266592501,-0.7,0.0,0.09059472463085722,12.6875,11.9875,0.0,0,False,True,graph,True
ablation_zero,18,96974,5,5.0,0.8625,0.1875,1.0711048618132586,-0.7875,-0.0625,0.08278000454537043,12.6875,11.9,0.0,0,False,True,graph,True
ablation_zero,18,148614,5,5.0,1.1875,1.125,1.1197795541980573,-1.1125,-1.125,0.10492103485531108,12.6875,11.575,0.0,0,False,True,graph,True
ablation_zero,19,24697,5,5.0,0.45,0.1875,0.7659756849926765,-0.45,-0.1875,0.035704207815185525,12.6875,12.2375,0.0,0,False,True,graph,True
ablation_zero,19,137712,5,5.0,0.525,0.25,0.7256462636849996,-0.5,-0.25,0.04215647492946572,12.6875,12.1875,0.0,0,False,True,graph,True
ablation_zero,20,24239,5,5.0,0.3625,0.1875,0.46645270392613225,0.1375,-0.125,0.037028626237145104,12.6875,12.825,0.0,0,False,True,graph,True
ablation_zero,20,27296,5,5.0,0.3625,0.125,0.4706212649254175,0.1375,-0.125,0.036902778796901535,12.6875,12.825,0.0,0,False,True,graph,True
ablation_zero,21,11263,5,5.0,0.7875,0.375,1.1563344563749711,-0.5125,-0.0625,0.06502672699783396,12.6875,12.175,0.0,0,False,True,graph,True
ablation_zero,21,16038,5,5.0,0.7375,0.375,1.0765613661097075,-0.4625,0.0625,0.06066832226254311,12.6875,12.225,0.0,0,False,True,graph,True
ablation_zero,22,16944,5,5.0,0.9125,0.875,0.7429354783559606,-0.9125,-0.875,0.08184037171837355,12.6875,11.775,0.0,0,False,True,graph,True
ablation_zero,22,96600,5,5.0,0.75,0.8125,0.6584783595532961,-0.75,-0.8125,0.06516912651383813,12.6875,11.9375,0.0,0,False,True,graph,True
ablation_zero,22,102533,5,5.0,0.775,0.9375,0.6519202405202649,-0.775,-0.9375,0.06783713965913821,12.6875,11.9125,0.0,0,False,True,graph,True
ablation_zero,23,113668,5,5.0,2.75,1.5625,4.0041482396384875,-2.7,-1.5625,0.28461192544881087,12.6875,9.9875,0.2,1,False,True,graph,True
ablation_zero,23,162953,5,5.0,2.1625,1.4375,2.9310434362185767,-2.1125,-1.4375,0.22002769470646694,12.6875,10.575,0.0,0,False,True,graph,True
ablation_zero,24,33931,5,5.0,2.0375,2.0625,1.228407251281105,-1.7375,-2.0625,0.15805632398887964,12.6875,10.95,0.0,0,False,True,graph,True
ablation_zero,24,40953,5,5.0,2.475,2.25,1.1961853430802436,-2.175,-2.25,0.2072926608031414,12.6875,10.5125,0.0,0,False,True,graph,True
ablation_zero,25,36763,5,5.0,0.225,0.125,0.2636877888716123,-0.075,0.0625,0.02246504603406106,12.6875,12.6125,0.0,0,False,True,graph,True
ablation_zero,25,98157,5,5.0,0.3375,0.1875,0.33248590195675964,-0.0125,0.125,0.031945794611231024,12.6875,12.675,0.0,0,False,True,graph,True
ablation_zero,25,134336,5,5.0,0.23125,0.1875,0.23551804601770965,-0.00625,0.0625,0.022127151835435982,12.6875,12.68125,0.0,0,False,True,graph,True
