experiment_type,layer,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips,has_control_rows,all_graph,feature_source_mode,layer_has_graph_features
ablation_zero,10,10,10.0,0.89375,0.75,0.5303710048426269,-0.14375,0.3125,0.07320691000197999,12.6875,12.54375,0.0,0,False,True,graph,True
ablation_zero,11,5,5.0,0.5875,0.3125,0.6534165019342564,0.1375,0.0,0.04238004464286576,12.6875,12.825,0.0,0,False,True,graph,True
ablation_zero,12,15,15.0,0.7875,0.4375,0.8954248791974201,0.4125,0.125,0.05766698445455178,12.6875,13.1,0.0,0,False,True,graph,True
ablation_zero,13,5,5.0,0.625,0.3125,0.6889189901577688,-0.4,-0.125,0.05271448668997618,12.6875,12.2875,0.0,0,False,True,graph,True
ablation_zero,14,15,15.0,7.733333333333333,12.9375,6.964613469088541,-7.733333333333333,-12.9375,0.5289827475465921,12.6875,4.954166666666667,0.13333333333333333,2,False,True,graph,True
ablation_zero,15,10,10.0,4.5,0.9375,8.131674608864058,-4.1125,-0.3125,0.305222923800691,12.6875,8.575,0.2,2,False,True,graph,True
ablation_zero,16,10,10.0,0.6875,0.1875,1.0553270951594949,-0.6125,-0.1875,0.0544799507563619,12.6875,12.075,0.0,0,False,True,graph,True
ablation_zero,17,5,5.0,0.55,0.1875,0.8876320324323588,-0.375,0.0,0.0433985631933894,12.6875,12.3125,0.0,0,False,True,graph,True
ablation_zero,18,15,15.0,1.0083333333333333,0.5,1.0063599836373993,-0.8666666666666667,-0.0625,0.09276525467717957,12.6875,11.820833333333333,0.0,0,False,True,graph,True
ablation_zero,19,10,10.0,0.4875,0.1875,0.7045240710342455,-0.475,-0.1875,0.038930341372325615,12.6875,12.2125,0.0,0,False,True,graph,True
ablation_zero,20,10,10.0,0.3625,0.15625,0.44174527602328567,0.1375,-0.125,0.036965702517023316,12.6875,12.825,0.0,0,False,True,graph,True
ablation_zero,21,10,10.0,0.7625,0.375,1.0535983316446758,-0.4875,0.0,0.06284752463018853,12.6875,12.2,0.0,0,False,True,graph,True
ablation_zero,22,15,15.0,0.8125,0.875,0.63912607743476,-0.8125,-0.875,0.07161554596378329,12.6875,11.875,0.0,0,False,True,graph,True
ablation_zero,23,10,10.0,2.45625,1.5,3.322645626354597,-2.40625,-1.5,0.25231981007763893,12.6875,10.28125,0.1,1,False,True,graph,True
ablation_zero,24,10,10.0,2.25625,2.25,1.1660898871870897,-1.95625,-2.25,0.18267449239601052,12.6875,10.73125,0.0,0,False,True,graph,True
ablation_zero,25,15,15.0,0.26458333333333334,0.1875,0.26486673985412434,-0.03125,0.0625,0.025512664160242685,12.6875,12.65625,0.0,0,False,True,graph,True
