experiment_type,layer,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips,has_control_rows,all_graph,feature_source_mode,layer_has_graph_features
ablation_zero,10,72,72.0,0.2387152777777778,0.203125,0.18840053370765755,-0.0546875,-0.03125,0.1918174450215482,1.4765625,1.421875,0.0,0,False,True,graph,True
ablation_zero,11,72,72.0,0.2417534722222222,0.125,0.25501101706750245,0.0993923611111111,0.0,0.21358071582523155,1.4765625,1.5759548611111112,0.013888888888888888,1,False,True,graph,True
ablation_zero,12,24,24.0,0.14192708333333334,0.125,0.10745763773931798,-0.06901041666666667,-0.0625,0.1662060725209515,1.4765625,1.4075520833333333,0.0,0,False,True,graph,True
ablation_zero,13,24,24.0,0.20182291666666666,0.171875,0.12900485496355038,-0.10026041666666667,-0.09375,0.18712779401063118,1.4765625,1.3763020833333333,0.0,0,False,True,graph,True
ablation_zero,14,48,48.0,0.14908854166666666,0.125,0.12046969789367769,-0.11263020833333333,-0.125,0.24219384642189148,1.4765625,1.3639322916666667,0.0,0,False,True,graph,True
ablation_zero,15,24,24.0,0.14322916666666666,0.078125,0.16533805811169106,-0.033854166666666664,0.0,0.12288537773142878,1.4765625,1.4427083333333333,0.0,0,False,True,graph,True
ablation_zero,16,72,72.0,0.2790798611111111,0.25,0.16168593396966355,-0.03342013888888889,-0.125,0.26747595728180334,1.4765625,1.4431423611111112,0.0,0,False,True,graph,True
ablation_zero,17,48,48.0,0.3587239583333333,0.375,0.21350956827171166,-0.3326822916666667,-0.375,0.2984504687723098,1.4765625,1.1438802083333333,0.041666666666666664,2,False,True,graph,True
ablation_zero,18,24,24.0,0.48046875,0.5,0.27255778518249474,0.21484375,0.34375,0.6032358379217365,1.4765625,1.69140625,0.08333333333333333,2,False,True,graph,True
ablation_zero,19,72,72.0,0.2495659722222222,0.1875,0.20431450570455098,-0.048177083333333336,-0.078125,0.23409767313690213,1.4765625,1.4283854166666667,0.027777777777777776,2,False,True,graph,True
ablation_zero,20,48,48.0,0.24479166666666666,0.25,0.14519872051680177,-0.15625,-0.203125,0.296617528803996,1.4765625,1.3203125,0.041666666666666664,2,False,True,graph,True
ablation_zero,21,24,24.0,0.20052083333333334,0.1875,0.13820123396279999,-0.026041666666666668,0.03125,0.23562076920369557,1.4765625,1.4505208333333333,0.041666666666666664,1,False,True,graph,True
ablation_zero,22,72,72.0,0.5577256944444444,0.625,0.37096789599460744,-0.06987847222222222,-0.015625,0.4697930164188278,1.4765625,1.4066840277777777,0.013888888888888888,1,False,True,graph,True
ablation_zero,23,48,48.0,1.0540364583333333,1.125,0.4112943566895083,0.07877604166666667,0.03125,1.0551029951786461,1.4765625,1.5553385416666667,0.020833333333333332,1,False,True,graph,True
ablation_zero,24,72,72.0,0.7248263888888888,0.53125,0.5918506241747761,-0.5008680555555556,-0.375,0.7203635060141081,1.4765625,0.9756944444444444,0.1527777777777778,11,False,True,graph,True
ablation_zero,25,72,72.0,0.3207465277777778,0.3125,0.21625164451485568,-0.2912326388888889,-0.3125,0.3168996438424249,1.4765625,1.1853298611111112,0.0,0,False,True,graph,True
