experiment_type,prompt_idx,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips,has_control_rows,all_graph,feature_source_mode,layer_has_graph_features
ablation_zero,0,40,40.0,0.2671875,0.1875,0.2316967704338737,0.0671875,0.0625,0.17812499881249994,1.5,1.5671875,0.0,0,False,True,graph,True
ablation_zero,1,40,40.0,0.3796875,0.3125,0.23057007632421397,0.2453125,0.3125,0.6074999902800001,0.625,0.8703125,0.0,0,False,True,graph,True
ablation_zero,2,40,40.0,0.3328125,0.3125,0.15911633735761568,0.1703125,0.25,0.4840909020495869,0.6875,0.8578125,0.0,0,False,True,graph,True
ablation_zero,3,40,40.0,0.3046875,0.28125,0.21613014501298364,0.1484375,0.1875,0.2565789452077562,1.1875,1.3359375,0.0,0,False,True,graph,True
ablation_zero,4,40,40.0,0.2796875,0.25,0.1650487374601196,0.1453125,0.1875,0.2632352916401384,1.0625,1.2078125,0.0,0,False,True,graph,True
ablation_zero,5,40,40.0,0.253125,0.25,0.16196286967649762,0.0625,0.0625,0.25312499746875006,1.0,1.0625,0.0,0,False,True,graph,True
ablation_zero,6,40,40.0,0.29609375,0.15625,0.2770779863808364,0.13046875,0.125,0.19739583201736105,1.5,1.63046875,0.0,0,False,True,graph,True
ablation_zero,7,40,40.0,0.278125,0.28125,0.1897303248135262,0.015625,0.0,0.17115384510059167,1.625,1.640625,0.0,0,False,True,graph,True
ablation_zero,8,40,40.0,0.28203125,0.25,0.26718644567943134,0.10390625,0.0,0.23749999800000002,1.1875,1.29140625,0.0,0,False,True,graph,True
ablation_zero,9,40,40.0,0.2140625,0.1875,0.13714077492648166,0.0546875,0.125,0.17124999863,1.25,1.3046875,0.0,0,False,True,graph,True
ablation_zero,10,40,40.0,0.315625,0.25,0.1877402307199212,0.15,0.1875,0.2805555530617284,1.125,1.275,0.0,0,False,True,graph,True
ablation_zero,11,40,40.0,0.3734375,0.375,0.20485273595802225,0.2140625,0.28125,0.6638888770864199,0.5625,0.7765625,0.025,1,False,True,graph,True
ablation_zero,12,40,40.0,0.3890625,0.25,0.35903167825916105,0.2546875,0.25,0.565909082677686,0.6875,0.9421875,0.0,0,False,True,graph,True
ablation_zero,13,40,40.0,0.35,0.25,0.2903357914465108,0.20625,0.1875,0.4666666604444444,0.75,0.95625,0.0,0,False,True,graph,True
ablation_zero,14,40,40.0,0.2828125,0.28125,0.20655692974180018,0.1671875,0.1875,0.266176468083045,1.0625,1.2296875,0.0,0,False,True,graph,True
ablation_zero,15,40,40.0,0.3515625,0.28125,0.30901502302497885,0.1984375,0.125,0.7031249859375002,0.5,0.6984375,0.0,0,False,True,graph,True
ablation_zero,16,40,40.0,0.3734375,0.3125,0.3281307233933077,0.2546875,0.28125,0.45961537895857985,0.8125,1.0671875,0.0,0,False,True,graph,True
ablation_zero,17,40,40.0,0.303125,0.21875,0.2465913454820884,0.196875,0.15625,0.37307691848520713,0.8125,1.009375,0.0,0,False,True,graph,True
ablation_zero,18,40,40.0,0.271875,0.25,0.24901649492270536,0.1625,0.1875,0.255882350532872,1.0625,1.225,0.0,0,False,True,graph,True
ablation_zero,19,40,40.0,0.2234375,0.125,0.2103527924122735,0.0171875,-0.03125,0.1624999988181818,1.375,1.3921875,0.0,0,False,True,graph,True
ablation_zero,20,40,40.0,0.2171875,0.1875,0.1898820378584611,0.0828125,0.0625,0.14479166570138885,1.5,1.5828125,0.0,0,False,True,graph,True
ablation_zero,21,40,40.0,0.2515625,0.21875,0.1753473544469333,0.0859375,0.125,0.22361110912345677,1.125,1.2109375,0.0,0,False,True,graph,True
ablation_zero,22,40,40.0,0.2328125,0.15625,0.2113503497810309,0.1546875,0.125,0.16195652061247637,1.4375,1.5921875,0.0,0,False,True,graph,True
ablation_zero,23,40,40.0,0.2625,0.25,0.16877670728828942,0.0625,0.125,0.19090908952066116,1.375,1.4375,0.0,0,False,True,graph,True
ablation_zero,24,40,40.0,0.3,0.25,0.2904737509655563,0.13125,0.03125,0.2666666642962963,1.125,1.25625,0.0,0,False,True,graph,True
ablation_zero,25,40,40.0,0.3109375,0.25,0.22400398312335476,0.1359375,0.15625,0.6218749875625001,0.5,0.6359375,0.0,0,False,True,graph,True
ablation_zero,26,40,40.0,0.3078125,0.21875,0.325033128242535,0.1796875,0.125,0.37884614918343196,0.8125,0.9921875,0.0,0,False,True,graph,True
ablation_zero,27,40,40.0,0.2921875,0.1875,0.33294874648879746,0.1265625,0.0625,0.3895833281388889,0.75,0.8765625,0.0,0,False,True,graph,True
ablation_zero,28,40,40.0,0.1671875,0.125,0.13001748834538002,0.0078125,0.0,0.1573529396955017,1.0625,1.0703125,0.0,0,False,True,graph,True
ablation_zero,29,40,40.0,0.3078125,0.34375,0.244894788699252,0.0640625,0.0625,0.4477272662148761,0.6875,0.7515625,0.0,0,False,True,graph,True
ablation_zero,30,40,40.0,0.2765625,0.1875,0.2409780335637595,0.0734375,0.0625,0.3160714249591837,0.875,0.9484375,0.0,0,False,True,graph,True
ablation_zero,31,40,40.0,0.253125,0.1875,0.23124783436269386,0.08125,0.0625,0.17608695529678636,1.4375,1.51875,0.0,0,False,True,graph,True
ablation_zero,32,40,40.0,0.1796875,0.125,0.18024839298334097,0.0359375,0.0,0.16911764546712799,1.0625,1.0984375,0.0,0,False,True,graph,True
ablation_zero,33,40,40.0,0.25,0.1875,0.20849352815387648,-0.00625,0.0625,0.17391304226843096,1.4375,1.43125,0.0,0,False,True,graph,True
ablation_zero,34,40,40.0,0.1984375,0.125,0.16977519780127348,0.0390625,0.0,0.31749999492000003,0.625,0.6640625,0.0,0,False,True,graph,True
ablation_zero,35,40,40.0,0.43828125,0.375,0.32602829035803327,0.26015625,0.25,0.6374999907272729,0.6875,0.94765625,0.0,0,False,True,graph,True
ablation_zero,36,40,40.0,0.275,0.1875,0.2487146444401181,0.0625,0.03125,0.21999999824,1.25,1.3125,0.0,0,False,True,graph,True
ablation_zero,37,40,40.0,0.31328125,0.25,0.23067186698066622,0.14140625,0.1875,0.23869047437188212,1.3125,1.45390625,0.0,0,False,True,graph,True
ablation_zero,38,40,40.0,0.2015625,0.15625,0.1527574408569988,0.0640625,0.0625,0.17916666507407408,1.125,1.1890625,0.0,0,False,True,graph,True
ablation_zero,39,40,40.0,0.346875,0.21875,0.26702825045013784,0.1875,0.1875,0.34687499653125003,1.0,1.1875,0.0,0,False,True,graph,True
ablation_zero,40,40,40.0,0.37578125,0.25,0.3102876415082567,0.22578125,0.1875,0.37578124624218756,1.0,1.22578125,0.0,0,False,True,graph,True
ablation_zero,41,40,40.0,0.2640625,0.1875,0.2553464762174459,0.0859375,0.0,0.2347222201358025,1.125,1.2109375,0.0,0,False,True,graph,True
ablation_zero,42,40,40.0,0.2328125,0.21875,0.179021725063948,-0.0015625,0.0,0.2483333306844444,0.9375,0.9359375,0.0,0,False,True,graph,True
ablation_zero,43,40,40.0,0.27421875,0.1875,0.2408676037246156,0.03359375,0.0,0.19076086823818522,1.4375,1.47109375,0.0,0,False,True,graph,True
ablation_zero,44,40,40.0,0.1671875,0.125,0.131549185863243,-0.0203125,-0.0625,0.10699999931519999,1.5625,1.5421875,0.0,0,False,True,graph,True
ablation_zero,45,40,40.0,0.28125,0.1875,0.2312694898231864,0.128125,0.09375,0.40909090314049584,0.6875,0.815625,0.0,0,False,True,graph,True
ablation_zero,46,40,40.0,0.26875,0.1875,0.22476839932101964,0.10625,0.0625,0.28666666360888887,0.9375,1.04375,0.0,0,False,True,graph,True
ablation_zero,47,40,40.0,0.325,0.3125,0.2381822185444775,0.1375,0.09375,0.24761904573242627,1.3125,1.45,0.0,0,False,True,graph,True
ablation_zero,48,40,40.0,0.353125,0.3125,0.24125323832023476,0.221875,0.28125,0.43461537926627214,0.8125,1.034375,0.0,0,False,True,graph,True
ablation_zero,49,40,40.0,0.35625,0.28125,0.3091810937265549,0.275,0.15625,0.5699999908800001,0.625,0.9,0.0,0,False,True,graph,True
ablation_zero,50,40,40.0,0.26875,0.1875,0.17914057651421733,0.115625,0.125,0.2388888867654321,1.125,1.240625,0.0,0,False,True,graph,True
ablation_zero,51,40,40.0,0.3046875,0.25,0.2476603258885661,0.1421875,0.1875,0.37499999538461537,0.8125,0.9546875,0.0,0,False,True,graph,True
ablation_zero,52,40,40.0,0.31640625,0.1875,0.29908610632792265,0.19140625,0.0625,0.18080357039540815,1.75,1.94140625,0.0,0,False,True,graph,True
ablation_zero,53,40,40.0,0.2828125,0.21875,0.19712857601263506,0.1421875,0.1875,0.22624999819,1.25,1.3921875,0.0,0,False,True,graph,True
ablation_zero,54,40,40.0,0.3,0.1875,0.2622022120425379,0.178125,0.125,0.34285713893877556,0.875,1.053125,0.0,0,False,True,graph,True
ablation_zero,55,40,40.0,0.36015625,0.1875,0.33776013093566787,0.27890625,0.15625,0.24010416506597218,1.5,1.77890625,0.0,0,False,True,graph,True
ablation_zero,56,40,40.0,0.3359375,0.25,0.2882193828670383,0.2140625,0.1875,0.5374999914,0.625,0.8390625,0.0,0,False,True,graph,True
ablation_zero,57,40,40.0,0.325,0.25,0.30982832301710206,0.2,0.09375,0.4727272658512397,0.6875,0.8875,0.0,0,False,True,graph,True
ablation_zero,58,40,40.0,0.3046875,0.25,0.21380046075542206,0.1484375,0.15625,0.32499999653333334,0.9375,1.0859375,0.0,0,False,True,graph,True
ablation_zero,59,40,40.0,0.3171875,0.25,0.2983620818586465,0.1546875,0.125,1.6916665764444496,0.1875,0.3421875,0.175,7,False,True,graph,True
ablation_zero,60,40,40.0,0.4078125,0.34375,0.38501256535439105,0.2953125,0.34375,0.2509615369171598,1.625,1.9203125,0.0,0,False,True,graph,True
ablation_zero,61,40,40.0,0.3328125,0.28125,0.26341701090593106,0.1859375,0.15625,0.19722222105349793,1.6875,1.8734375,0.0,0,False,True,graph,True
ablation_zero,62,40,40.0,0.334375,0.25,0.2014321718886903,-0.11875,-0.1875,33437500.0,0.0,-0.11875,0.0,0,False,True,graph,True
ablation_zero,63,40,40.0,0.309375,0.3125,0.20894940959292221,-0.090625,-0.125,0.9899999683200011,-0.3125,-0.403125,0.15,6,False,True,graph,True
ablation_zero,64,40,40.0,0.3609375,0.375,0.24534426852110044,-0.1546875,-0.21875,36093750.0,0.0,-0.1546875,0.0,0,False,True,graph,True
ablation_zero,65,40,40.0,0.209375,0.1875,0.1521414974831333,-0.0375,-0.0625,0.25769230452071007,-0.8125,-0.85,0.0,0,False,True,graph,True
ablation_zero,66,40,40.0,0.3015625,0.25,0.21599107256895406,-0.1203125,-0.1875,0.6892856985306126,-0.4375,-0.5578125,0.025,1,False,True,graph,True
ablation_zero,67,40,40.0,0.2765625,0.25,0.23035277258965994,-0.0828125,-0.03125,0.5531249889375001,-0.5,-0.5828125,0.025,1,False,True,graph,True
ablation_zero,68,40,40.0,0.275,0.21875,0.19498931594662652,-0.025,-0.125,0.628571414204082,-0.4375,-0.4625,0.15,6,False,True,graph,True
ablation_zero,69,40,40.0,0.328125,0.3125,0.16429604104348985,-0.14375,-0.1875,0.5833333229629631,-0.5625,-0.70625,0.0,0,False,True,graph,True
ablation_zero,70,40,40.0,0.403125,0.375,0.21227835348658222,-0.240625,-0.34375,6.449998968000166,0.0625,-0.178125,0.725,29,False,True,graph,True
ablation_zero,71,40,40.0,0.290625,0.3125,0.18752670749960132,-0.046875,-0.125,0.5166666574814816,-0.5625,-0.609375,0.025,1,False,True,graph,True
ablation_zero,72,40,40.0,0.3234375,0.25,0.23380539759019184,-0.1578125,-0.15625,1.7249999080000051,-0.1875,-0.3453125,0.15,6,False,True,graph,True
ablation_zero,73,40,40.0,0.3546875,0.3125,0.26906008497531375,-0.1984375,-0.25,1.4187499432500021,-0.25,-0.4484375,0.125,5,False,True,graph,True
ablation_zero,74,40,40.0,0.3875,0.3125,0.36994455579042435,-0.290625,-0.25,1.5499999380000027,0.25,-0.040625,0.475,19,False,True,graph,True
ablation_zero,75,40,40.0,0.3125,0.3125,0.21088184807174334,-0.16875,-0.1875,1.666666577777783,0.1875,0.01875,0.4,16,False,True,graph,True
ablation_zero,76,40,40.0,0.2640625,0.25,0.17012880442815628,0.0328125,0.0625,0.3520833286388889,-0.75,-0.7171875,0.0,0,False,True,graph,True
ablation_zero,77,40,40.0,0.271875,0.1875,0.27537489015559335,-0.025,0.0,0.6214285572244901,-0.4375,-0.4625,0.1,4,False,True,graph,True
ablation_zero,78,40,40.0,0.3328125,0.3125,0.29802619243651246,-0.0984375,0.0,0.7607142683265311,-0.4375,-0.5359375,0.05,2,False,True,graph,True
ablation_zero,79,40,40.0,0.2765625,0.25,0.18119058486817627,-0.1546875,-0.1875,2.2124998230000146,0.125,-0.0296875,0.575,23,False,True,graph,True
ablation_zero,80,40,40.0,0.346875,0.28125,0.2628698554369365,-0.203125,-0.15625,1.8499999013333386,0.1875,-0.015625,0.475,19,False,True,graph,True
ablation_zero,81,40,40.0,0.2875,0.25,0.2384343967183878,0.040625,-0.03125,0.32857142481632656,-0.875,-0.834375,0.0,0,False,True,graph,True
ablation_zero,82,40,40.0,0.2203125,0.1875,0.16865055236821064,-0.0671875,-0.0625,0.35249999436,-0.625,-0.6921875,0.0,0,False,True,graph,True
ablation_zero,83,40,40.0,0.2828125,0.1875,0.21742386487971088,-0.0828125,-0.15625,0.4524999927600001,-0.625,-0.7078125,0.0,0,False,True,graph,True
ablation_zero,84,40,40.0,0.278125,0.1875,0.22196583099253164,-0.096875,0.03125,4.4499992880001145,-0.0625,-0.159375,0.425,17,False,True,graph,True
ablation_zero,85,40,40.0,0.3921875,0.375,0.3446557124089979,-0.1953125,-0.21875,1.0458333054444453,0.375,0.1796875,0.225,9,False,True,graph,True
ablation_zero,86,40,40.0,0.328125,0.25,0.23630349753805582,-0.08125,-0.0625,0.7499999828571433,-0.4375,-0.51875,0.075,3,False,True,graph,True
ablation_zero,87,40,40.0,0.2921875,0.21875,0.27640502814408663,-0.0578125,0.03125,0.27499999741176473,-1.0625,-1.1203125,0.0,0,False,True,graph,True
ablation_zero,88,40,40.0,0.2359375,0.1875,0.2231079187960104,0.0234375,0.0,0.18874999849,-1.25,-1.2265625,0.0,0,False,True,graph,True
ablation_zero,89,40,40.0,0.28203125,0.1875,0.2586143561683035,-0.04453125,-0.0625,0.16116071336479593,-1.75,-1.79453125,0.0,0,False,True,graph,True
ablation_zero,90,40,40.0,0.3765625,0.3125,0.2301787818948901,-0.0171875,0.15625,1.0041666398888895,-0.375,-0.3921875,0.2,8,False,True,graph,True
ablation_zero,91,40,40.0,0.2953125,0.1875,0.30911224597057674,0.0328125,0.0625,0.39374999475,-0.75,-0.7171875,0.0,0,False,True,graph,True
ablation_zero,92,40,40.0,0.3328125,0.21875,0.28143245506305864,-0.2296875,-0.15625,0.7607142683265311,-0.4375,-0.6671875,0.0,0,False,True,graph,True
ablation_zero,93,40,40.0,0.2609375,0.25,0.18930091319689793,-0.0359375,0.0,0.27833333036444446,-0.9375,-0.9734375,0.0,0,False,True,graph,True
