experiment_type,layer,feature_id,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips,has_control_rows,all_graph,feature_source_mode,layer_has_graph_features
ablation_zero,10,35580,470,470.0,0.25518617021276596,0.25,0.16679536627650737,0.04268617021276596,0.0625,412234.6350588782,0.5706117021276595,0.6132978723404255,0.06382978723404255,30,False,True,graph,True
ablation_zero,10,80002,470,470.0,0.27440159574468087,0.25,0.1732696713852959,0.03956117021276596,0.0625,438830.3977868419,0.5706117021276595,0.6101728723404255,0.07659574468085106,36,False,True,graph,True
ablation_zero,10,83063,470,470.0,0.2576462765957447,0.25,0.16876740773190163,0.03796542553191489,0.0625,438830.3745229365,0.5706117021276595,0.6085771276595745,0.07021276595744681,33,False,True,graph,True
ablation_zero,10,128064,470,470.0,0.2845079787234043,0.25,0.167498191808843,0.03410904255319149,0.0625,425532.54672721826,0.5706117021276595,0.604720744680851,0.07659574468085106,36,False,True,graph,True
ablation_zero,11,35425,470,470.0,0.1361037234042553,0.125,0.11775780030645536,-0.004587765957446808,0.0,425532.1667964027,0.5706117021276595,0.5660239361702127,0.023404255319148935,11,False,True,graph,True
ablation_zero,11,144890,470,470.0,0.14434840425531914,0.125,0.12305952900399401,-0.01695478723404255,0.0,452127.9324884376,0.5706117021276595,0.553656914893617,0.02553191489361702,12,False,True,graph,True
ablation_zero,12,2451,470,470.0,0.11156914893617022,0.09375,0.0880482625657768,0.01077127659574468,0.0,265957.67000992235,0.5706117021276595,0.5813829787234043,0.01702127659574468,8,False,True,graph,True
ablation_zero,13,45942,470,470.0,0.2968085106382979,0.3125,0.13273554126390347,-0.0013297872340425532,-0.0625,425532.49550948496,0.5706117021276595,0.569281914893617,0.059574468085106386,28,False,True,graph,True
ablation_zero,13,57499,470,470.0,0.30492021276595743,0.3125,0.13227079288442503,0.002792553191489362,-0.0625,492021.87247457483,0.5706117021276595,0.573404255319149,0.059574468085106386,28,False,True,graph,True
ablation_zero,14,24749,470,470.0,0.19700797872340425,0.1875,0.15479393178287468,-0.10113031914893617,-0.0625,478723.9161744704,0.5706117021276595,0.4694813829787234,0.05531914893617021,26,False,True,graph,True
ablation_zero,14,140141,470,470.0,0.1908909574468085,0.15625,0.1489951262712961,-0.09753989361702127,-0.0625,438830.28485737194,0.5706117021276595,0.4730718085106383,0.05319148936170213,25,False,True,graph,True
ablation_zero,15,15507,470,470.0,0.1506648936170213,0.125,0.12151137969772254,-0.024335106382978724,-0.0625,279255.57652074157,0.5706117021276595,0.5462765957446809,0.014893617021276596,7,False,True,graph,True
ablation_zero,16,14097,470,470.0,0.22912234042553192,0.1875,0.17221975065856643,0.030718085106382978,0.0625,398936.54539887025,0.5706117021276595,0.6013297872340425,0.01702127659574468,8,False,True,graph,True
ablation_zero,16,33974,470,470.0,0.22247340425531914,0.1875,0.16837501560399135,0.025930851063829786,0.0625,425532.28250286874,0.5706117021276595,0.5965425531914894,0.019148936170212766,9,False,True,graph,True
ablation_zero,16,46637,470,470.0,0.2264627659574468,0.1875,0.17044019875176783,0.04069148936170213,0.0625,398936.53074480436,0.5706117021276595,0.6113031914893617,0.014893617021276596,7,False,True,graph,True
ablation_zero,16,53285,470,470.0,0.22852393617021277,0.1875,0.16680765031323844,0.029720744680851063,0.0625,412234.4185801119,0.5706117021276595,0.6003324468085106,0.01702127659574468,8,False,True,graph,True
ablation_zero,16,82587,470,470.0,0.22220744680851065,0.1875,0.17002968995682743,0.02805851063829787,0.0625,385638.65576881875,0.5706117021276595,0.5986702127659574,0.019148936170212766,9,False,True,graph,True
ablation_zero,17,6720,470,470.0,0.2011968085106383,0.1875,0.16899457271797094,-0.10172872340425532,-0.0625,372340.85464970215,0.5706117021276595,0.46888297872340423,0.04042553191489362,19,False,True,graph,True
ablation_zero,17,63126,470,470.0,0.20159574468085106,0.1875,0.168096827211999,-0.09800531914893618,-0.0625,398936.6208285701,0.5706117021276595,0.4726063829787234,0.04042553191489362,19,False,True,graph,True
ablation_zero,17,153539,470,470.0,0.20279255319148937,0.1875,0.17061161472407194,-0.0988031914893617,-0.0625,412234.48455766914,0.5706117021276595,0.4718085106382979,0.036170212765957444,17,False,True,graph,True
ablation_zero,18,145795,470,470.0,0.4674867021276596,0.46875,0.22327799157824754,0.041688829787234045,0.0625,1037234.924542724,0.5706117021276595,0.6123005319148936,0.11702127659574468,55,False,True,graph,True
ablation_zero,19,41536,470,470.0,0.2591090425531915,0.25,0.1656303804231699,0.015625,0.0,452128.1331916407,0.5706117021276595,0.5862367021276595,0.05319148936170213,25,False,True,graph,True
ablation_zero,19,130590,470,470.0,0.25372340425531914,0.25,0.16550626388440656,0.012632978723404254,0.0,425532.37365046726,0.5706117021276595,0.5832446808510638,0.04468085106382979,21,False,True,graph,True
ablation_zero,20,72939,470,470.0,0.16828457446808512,0.125,0.14323671735131233,-0.07865691489361702,-0.0625,345745.0866038128,0.5706117021276595,0.49195478723404257,0.031914893617021274,15,False,True,graph,True
ablation_zero,20,74959,470,470.0,0.16529255319148936,0.125,0.14492289710902728,-0.07287234042553191,-0.0625,279255.71558230004,0.5706117021276595,0.4977393617021277,0.031914893617021274,15,False,True,graph,True
ablation_zero,21,12280,470,470.0,0.42440159574468084,0.4375,0.2505425701321188,0.0742686170212766,0.109375,784575.2788518855,0.5706117021276595,0.6448803191489362,0.04468085106382979,21,False,True,graph,True
ablation_zero,21,157518,470,470.0,0.4077127659574468,0.4375,0.23969712575834273,0.0636968085106383,0.09375,851064.6346010931,0.5706117021276595,0.6343085106382979,0.04680851063829787,22,False,True,graph,True
ablation_zero,22,28148,470,470.0,0.3101728723404255,0.25,0.2183850978011674,0.1266622340425532,0.125,359043.13072286994,0.5706117021276595,0.6972739361702127,0.06170212765957447,29,False,True,graph,True
ablation_zero,22,93236,470,470.0,0.3184840425531915,0.3125,0.2227576363754569,0.11316489361702127,0.125,478723.99290214153,0.5706117021276595,0.6837765957446809,0.059574468085106386,28,False,True,graph,True
ablation_zero,22,110496,470,470.0,0.39315159574468084,0.375,0.2651431634902846,0.071875,0.125,684841.1459337766,0.5706117021276595,0.6424867021276596,0.059574468085106386,28,False,True,graph,True
ablation_zero,22,133148,470,470.0,0.2888962765957447,0.25,0.20495989196799214,0.10445478723404256,0.125,412234.60027074406,0.5706117021276595,0.6750664893617021,0.06170212765957447,29,False,True,graph,True
ablation_zero,23,71067,470,470.0,0.524468085106383,0.4375,0.3320003966437267,0.17606382978723403,0.1875,817819.9204665389,0.5706117021276595,0.7466755319148937,0.06595744680851064,31,False,True,graph,True
ablation_zero,23,83556,470,470.0,0.6029920212765958,0.5625,0.3435345670188721,0.18450797872340424,0.25,950798.763952907,0.5706117021276595,0.7551196808510638,0.07021276595744681,33,False,True,graph,True
ablation_zero,24,249,470,470.0,0.5626329787234042,0.5625,0.3199927677382011,-0.15970744680851065,-0.1875,1010639.5944954625,0.5706117021276595,0.4109042553191489,0.125531914893617,59,False,True,graph,True
