layer,feature_idx,mean_activation,std_activation,activation_frequency,correlation_with_logit_diff,abs_correlation,feature_source,layer_has_graph_features
15,38259,1.725,0.3470509,1.0,0.3269992019631347,0.3269992019631347,graph,True
15,127839,2.4492188,0.87986755,1.0,-0.2658874973402435,0.2658874973402435,graph,True
15,150216,2.809375,0.5801769,1.0,-0.2624418183187844,0.2624418183187844,graph,True
16,147161,1.0656738,0.4182243,1.0,-0.3670963316692641,0.3670963316692641,graph,True
16,64822,1.0738281,0.28376397,1.0,0.242542060585694,0.242542060585694,graph,True
16,75293,0.36380616,0.197493,0.95,0.0435975341528568,0.0435975341528568,graph,True
17,108105,0.04926758,0.10822607,0.2,0.610506599361296,0.610506599361296,graph,True
17,111317,6.0703125,0.87057334,1.0,-0.4523027060846424,0.4523027060846424,graph,True
17,22769,0.5621582,0.21627657,1.0,-0.0711324068473106,0.0711324068473106,graph,True
18,48134,5.2367187,0.7269786,1.0,0.633766438499289,0.633766438499289,graph,True
18,20958,0.039361574,0.085569866,0.3,0.4736897300621331,0.4736897300621331,graph,True
18,132539,0.012921142,0.040507305,0.15,-0.364608812991698,0.364608812991698,graph,True
18,160254,3.4953125,0.8082989,1.0,-0.2290762137762003,0.2290762137762003,graph,True
18,149556,1.9603516,0.6275124,1.0,-0.2027877839742682,0.2027877839742682,graph,True
18,18177,0.3032135,0.21212257,0.9,-0.0545263145006439,0.0545263145006439,graph,True
19,54110,0.10980835,0.106288955,0.65,0.1943217548854735,0.1943217548854735,graph,True
19,74497,0.014660644,0.03739693,0.15,0.1425392340017925,0.1425392340017925,graph,True
19,39488,2.3628907,0.6711182,1.0,0.1094447234184995,0.1094447234184995,graph,True
19,74293,1.2816406,0.319764,1.0,-0.0024372400242052,0.0024372400242052,graph,True
20,112825,0.094494626,0.20443666,0.25,0.5668433105320979,0.5668433105320979,graph,True
20,107702,0.027642822,0.11477366,0.1,-0.2346024309414413,0.2346024309414413,graph,True
20,120456,0.41583556,0.4011867,0.8,0.1524961257531628,0.1524961257531628,graph,True
20,56357,2.7867188,0.24232733,1.0,0.130971728542059,0.130971728542059,graph,True
20,71973,2.1253905,0.5019887,1.0,-0.0099598763089221,0.0099598763089221,graph,True
