experiment_type,layer,feature_id,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips,has_control_rows,all_graph,feature_source_mode,layer_has_graph_features
ablation_zero,15,38259,20,20.0,0.409375,0.25,0.4129508102795372,0.20625,0.125,0.06388179307722217,7.615625,7.821875,0.0,0,False,True,graph,True
ablation_zero,15,127839,20,20.0,0.409375,0.25,0.4129508102795372,0.20625,0.125,0.06388179307722217,7.615625,7.821875,0.0,0,False,True,graph,True
ablation_zero,16,75293,20,20.0,0.49140625,0.25,0.45346445429335,-0.34765625,-0.1953125,0.07640491532771373,7.615625,7.26796875,0.0,0,False,True,graph,True
ablation_zero,17,108105,20,20.0,0.50703125,0.484375,0.3986019397511197,0.40546875,0.421875,0.07948217362549653,7.615625,8.02109375,0.0,0,False,True,graph,True
ablation_zero,18,20958,20,20.0,1.15625,1.0,1.055218859813102,0.8125,0.71875,0.1781302820015247,7.615625,8.428125,0.0,0,False,True,graph,True
ablation_zero,18,132539,20,20.0,1.15625,1.0,1.055218859813102,0.8125,0.71875,0.1781302820015247,7.615625,8.428125,0.0,0,False,True,graph,True
ablation_zero,19,54110,20,20.0,0.915625,0.9375,0.577366590024324,-0.890625,-0.9375,0.13410268236060466,7.615625,6.725,0.0,0,False,True,graph,True
ablation_zero,20,107702,20,20.0,1.61015625,1.53125,0.7117702251519299,-1.58515625,-1.53125,0.24462812379365717,7.615625,6.03046875,0.0,0,False,True,graph,True
ablation_zero,20,112825,20,20.0,1.61015625,1.53125,0.7117702251519299,-1.58515625,-1.53125,0.24462812379365717,7.615625,6.03046875,0.0,0,False,True,graph,True
patching,15,38259,10,10.0,0.6,0.375,0.5539081477204602,0.29375,0.265625,0.08064979498736727,6.94375,7.2375,0.0,0,False,True,graph,True
patching,15,127839,10,10.0,0.6,0.375,0.5539081477204602,0.29375,0.265625,0.08064979498736727,6.94375,7.2375,0.0,0,False,True,graph,True
patching,15,150216,10,10.0,0.6,0.375,0.5539081477204602,0.29375,0.265625,0.08064979498736727,6.94375,7.2375,0.0,0,False,True,graph,True
patching,16,64822,10,10.0,0.665625,0.484375,0.510108325233202,-0.365625,-0.046875,0.10662077245903093,6.94375,6.578125,0.0,0,False,True,graph,True
patching,16,75293,10,10.0,0.665625,0.484375,0.510108325233202,-0.365625,-0.046875,0.10662077245903093,6.94375,6.578125,0.0,0,False,True,graph,True
patching,16,147161,10,10.0,0.665625,0.484375,0.510108325233202,-0.365625,-0.046875,0.10662077245903093,6.94375,6.578125,0.0,0,False,True,graph,True
patching,17,22769,10,10.0,0.58125,0.5,0.435062655130142,0.48125,0.5,0.09467309255636969,6.94375,7.425,0.0,0,False,True,graph,True
patching,17,108105,10,10.0,0.58125,0.5,0.435062655130142,0.48125,0.5,0.09467309255636969,6.94375,7.425,0.0,0,False,True,graph,True
patching,17,111317,10,10.0,0.58125,0.5,0.435062655130142,0.48125,0.5,0.09467309255636969,6.94375,7.425,0.0,0,False,True,graph,True
patching,18,18177,10,10.0,1.215625,1.375,0.8311755919078311,0.640625,0.59375,0.18475499572674842,6.94375,7.584375,0.0,0,False,True,graph,True
patching,18,20958,5,5.0,1.26875,1.625,0.7055859710198326,0.11875,0.09375,0.2090368113162932,7.0,7.11875,0.0,0,False,True,graph,True
patching,18,48134,10,10.0,1.215625,1.375,0.8311755919078311,0.640625,0.59375,0.18475499572674842,6.94375,7.584375,0.0,0,False,True,graph,True
patching,18,132539,5,5.0,1.1625,0.9375,1.0244567920366383,1.1625,0.9375,0.16047318013720363,6.8875,8.05,0.0,0,False,True,graph,True
patching,18,149556,10,10.0,1.215625,1.375,0.8311755919078311,0.640625,0.59375,0.18475499572674842,6.94375,7.584375,0.0,0,False,True,graph,True
patching,18,160254,10,10.0,1.215625,1.375,0.8311755919078311,0.640625,0.59375,0.18475499572674842,6.94375,7.584375,0.0,0,False,True,graph,True
patching,19,39488,10,10.0,0.9171875,0.71875,0.7198832400745816,-0.8921875,-0.71875,0.13353615516114167,6.94375,6.0515625,0.0,0,False,True,graph,True
patching,19,54110,10,10.0,0.9171875,0.71875,0.7198832400745816,-0.8921875,-0.71875,0.13353615516114167,6.94375,6.0515625,0.0,0,False,True,graph,True
patching,19,74293,10,10.0,0.9171875,0.71875,0.7198832400745816,-0.8921875,-0.71875,0.13353615516114167,6.94375,6.0515625,0.0,0,False,True,graph,True
patching,19,74497,10,10.0,0.9171875,0.71875,0.7198832400745816,-0.8921875,-0.71875,0.13353615516114167,6.94375,6.0515625,0.0,0,False,True,graph,True
patching,20,56357,10,10.0,1.6921875,1.65625,0.629327466344695,-1.6921875,-1.65625,0.2497858179093213,6.94375,5.2515625,0.0,0,False,True,graph,True
patching,20,71973,10,10.0,1.6921875,1.65625,0.629327466344695,-1.6921875,-1.65625,0.2497858179093213,6.94375,5.2515625,0.0,0,False,True,graph,True
patching,20,107702,10,10.0,1.6921875,1.65625,0.629327466344695,-1.6921875,-1.65625,0.2497858179093213,6.94375,5.2515625,0.0,0,False,True,graph,True
patching,20,112825,10,10.0,1.6921875,1.65625,0.629327466344695,-1.6921875,-1.65625,0.2497858179093213,6.94375,5.2515625,0.0,0,False,True,graph,True
patching,20,120456,10,10.0,1.6921875,1.65625,0.629327466344695,-1.6921875,-1.65625,0.2497858179093213,6.94375,5.2515625,0.0,0,False,True,graph,True
steering,15,38259,20,20.0,0.59921875,0.4375,0.4998785574145274,0.04765625,-0.1875,0.08731029736703434,7.615625,7.66328125,0.0,0,False,True,graph,True
steering,15,127839,20,20.0,0.59921875,0.4375,0.4998785574145274,0.04765625,-0.1875,0.08731029736703434,7.615625,7.66328125,0.0,0,False,True,graph,True
steering,15,150216,20,20.0,0.59921875,0.4375,0.4998785574145274,0.04765625,-0.1875,0.08731029736703434,7.615625,7.66328125,0.0,0,False,True,graph,True
steering,16,64822,20,20.0,0.790625,0.609375,0.6256863008245216,-0.790625,-0.609375,0.12151246336680224,7.615625,6.825,0.0,0,False,True,graph,True
steering,16,75293,20,20.0,0.790625,0.609375,0.6256863008245216,-0.790625,-0.609375,0.12151246336680224,7.615625,6.825,0.0,0,False,True,graph,True
steering,16,147161,20,20.0,0.790625,0.609375,0.6256863008245216,-0.790625,-0.609375,0.12151246336680224,7.615625,6.825,0.0,0,False,True,graph,True
steering,17,22769,20,20.0,0.5953125,0.390625,0.4262504582108974,-0.4671875,-0.359375,0.09260848767556246,7.615625,7.1484375,0.0,0,False,True,graph,True
steering,17,108105,20,20.0,0.5953125,0.390625,0.4262504582108974,-0.4671875,-0.359375,0.09260848767556246,7.615625,7.1484375,0.0,0,False,True,graph,True
steering,17,111317,20,20.0,0.5953125,0.390625,0.4262504582108974,-0.4671875,-0.359375,0.09260848767556246,7.615625,7.1484375,0.0,0,False,True,graph,True
steering,18,18177,20,20.0,1.45859375,1.0,1.307952206742798,-0.45546875,-0.453125,0.2004651913360341,7.615625,7.16015625,0.0,0,False,True,graph,True
steering,18,20958,20,20.0,1.45859375,1.0,1.307952206742798,-0.45546875,-0.453125,0.2004651913360341,7.615625,7.16015625,0.0,0,False,True,graph,True
steering,18,48134,20,20.0,1.45859375,1.0,1.307952206742798,-0.45546875,-0.453125,0.2004651913360341,7.615625,7.16015625,0.0,0,False,True,graph,True
steering,18,132539,20,20.0,1.45859375,1.0,1.307952206742798,-0.45546875,-0.453125,0.2004651913360341,7.615625,7.16015625,0.0,0,False,True,graph,True
steering,18,149556,20,20.0,1.45859375,1.0,1.307952206742798,-0.45546875,-0.453125,0.2004651913360341,7.615625,7.16015625,0.0,0,False,True,graph,True
steering,19,39488,20,20.0,0.97734375,0.9375,0.7167713575964958,-0.79609375,-0.859375,0.141314122805004,7.615625,6.81953125,0.0,0,False,True,graph,True
steering,19,54110,20,20.0,0.97734375,0.9375,0.7167713575964958,-0.79609375,-0.859375,0.141314122805004,7.615625,6.81953125,0.0,0,False,True,graph,True
steering,19,74293,20,20.0,0.97734375,0.9375,0.7167713575964958,-0.79609375,-0.859375,0.141314122805004,7.615625,6.81953125,0.0,0,False,True,graph,True
steering,19,74497,20,20.0,0.97734375,0.9375,0.7167713575964958,-0.79609375,-0.859375,0.141314122805004,7.615625,6.81953125,0.0,0,False,True,graph,True
steering,20,56357,20,20.0,0.8953125,0.5078125,0.9324714371419245,-0.7578125,-0.5078125,0.14358030456152368,7.615625,6.8578125,0.0,0,False,True,graph,True
steering,20,71973,20,20.0,0.8953125,0.5078125,0.9324714371419245,-0.7578125,-0.5078125,0.14358030456152368,7.615625,6.8578125,0.0,0,False,True,graph,True
steering,20,107702,20,20.0,0.8953125,0.5078125,0.9324714371419245,-0.7578125,-0.5078125,0.14358030456152368,7.615625,6.8578125,0.0,0,False,True,graph,True
steering,20,112825,20,20.0,0.8953125,0.5078125,0.9324714371419245,-0.7578125,-0.5078125,0.14358030456152368,7.615625,6.8578125,0.0,0,False,True,graph,True
steering,20,120456,20,20.0,0.8953125,0.5078125,0.9324714371419245,-0.7578125,-0.5078125,0.14358030456152368,7.615625,6.8578125,0.0,0,False,True,graph,True
