experiment_type,prompt_idx,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips,has_control_rows,all_graph,feature_source_mode,layer_has_graph_features
ablation_zero,0,6,6.0,0.25,0.21875,0.18957188610128875,-0.10416666666666667,-0.0625,0.020618556684025884,12.125,12.020833333333334,0.0,0,False,True,graph,True
ablation_zero,1,6,6.0,1.3802083333333333,1.171875,1.2646665609624803,-1.296875,-1.171875,0.15887290149578173,8.6875,7.390625,0.0,0,False,True,graph,True
ablation_zero,2,6,6.0,0.6145833333333334,0.375,0.6536157446594035,-0.3854166666666667,-0.15625,0.0678160918791914,9.0625,8.677083333333334,0.0,0,False,True,graph,True
ablation_zero,3,6,6.0,1.2890625,1.3046875,0.5279076845789422,0.0026041666666666665,-0.4375,0.2644230763806706,4.875,4.877604166666667,0.0,0,False,True,graph,True
ablation_zero,4,6,6.0,1.7135416666666667,1.046875,1.5047342823291647,0.057291666666666664,-0.078125,0.274166666228,6.25,6.307291666666667,0.0,0,False,True,graph,True
ablation_zero,5,6,6.0,1.109375,1.296875,0.6161086298291885,0.24479166666666666,0.40625,0.12157534233252014,9.125,9.369791666666666,0.0,0,False,True,graph,True
ablation_zero,6,6,6.0,0.5208333333333334,0.34375,0.5283622494715786,-0.2916666666666667,-0.0625,0.05341880336401487,9.75,9.458333333333334,0.0,0,False,True,graph,True
ablation_zero,7,6,6.0,0.9375,0.75,0.6937218462755804,-0.5416666666666666,-0.5,0.10563380269787737,8.875,8.333333333333334,0.0,0,False,True,graph,True
ablation_zero,8,6,6.0,0.7916666666666666,0.625,0.7538097682218416,-0.125,-0.09375,0.08225108216562653,9.625,9.5,0.0,0,False,True,graph,True
ablation_zero,9,6,6.0,1.0,0.734375,0.9196211855976351,0.2708333333333333,0.03125,0.13333333315555548,7.5,7.770833333333333,0.0,0,False,True,graph,True
ablation_zero,10,6,6.0,0.5208333333333334,0.625,0.3572172541558802,0.041666666666666664,0.09375,0.03987240826293655,13.0625,13.104166666666666,0.0,0,False,True,graph,True
ablation_zero,11,6,6.0,0.7395833333333334,0.53125,0.5895133939671487,0.03125,0.28125,0.0962059619344746,7.6875,7.71875,0.0,0,False,True,graph,True
ablation_zero,12,6,6.0,0.4895833333333333,0.3125,0.5389756874541436,-0.3333333333333333,-0.140625,0.08901515135330575,5.5,5.166666666666667,0.0,0,False,True,graph,True
ablation_zero,13,6,6.0,0.890625,0.65625,0.9210536595389001,-0.15104166666666666,-0.015625,0.1301369861112153,6.84375,6.692708333333333,0.0,0,False,True,graph,True
ablation_zero,14,6,6.0,0.9505208333333334,0.8046875,0.7758196690302241,-0.20052083333333334,-0.265625,0.2622126429548157,3.625,3.4244791666666665,0.0,0,False,True,graph,True
ablation_zero,15,6,6.0,0.8958333333333334,0.8125,0.7391577413966971,-0.8125,-0.8125,0.1936936932748965,4.625,3.8125,0.0,0,False,True,graph,True
ablation_zero,16,6,6.0,0.5208333333333334,0.375,0.47214051580717653,-0.2916666666666667,-0.09375,0.06038647335993836,8.625,8.333333333333334,0.0,0,False,True,graph,True
ablation_zero,17,6,6.0,0.6927083333333334,0.5625,0.5743259182874012,-0.3385416666666667,-0.1875,0.1035825543622441,6.6875,6.348958333333333,0.0,0,False,True,graph,True
ablation_zero,18,6,6.0,1.1432291666666667,1.1875,0.517318871784286,-0.3515625,-0.5625,0.2177579360931594,5.25,4.8984375,0.0,0,False,True,graph,True
ablation_zero,19,6,6.0,0.515625,0.328125,0.5022410713492078,-0.08854166666666667,0.25,0.11379310319714624,4.53125,4.442708333333333,0.0,0,False,True,graph,True
patching,0,6,6.0,1.375,1.21875,1.1805718953117594,-1.2708333333333333,-1.21875,0.1582733811127788,8.6875,7.416666666666667,0.0,0,False,True,graph,True
patching,1,6,6.0,1.2239583333333333,1.359375,0.4481588492562282,-0.057291666666666664,-0.375,0.251068375553364,4.875,4.817708333333333,0.0,0,False,True,graph,True
patching,2,6,6.0,1.1145833333333333,1.1875,0.6103491145784244,0.3229166666666667,0.4375,0.12214611858760242,9.125,9.447916666666666,0.0,0,False,True,graph,True
patching,3,6,6.0,0.90625,0.78125,0.6693630367745145,-0.53125,-0.5,0.10211267594128143,8.875,8.34375,0.0,0,False,True,graph,True
patching,4,6,6.0,1.0677083333333333,0.796875,0.8956092258438758,0.24479166666666666,0.078125,0.14236111092129622,7.5,7.744791666666667,0.0,0,False,True,graph,True
patching,5,6,6.0,0.7760416666666666,0.5,0.6591947818487846,0.06770833333333333,0.265625,0.10094850935377968,7.6875,7.755208333333333,0.0,0,False,True,graph,True
patching,6,6,6.0,0.8333333333333334,0.53125,0.8804887373877457,-0.125,0.0,0.12176560103973362,6.84375,6.71875,0.0,0,False,True,graph,True
patching,7,6,6.0,0.8333333333333334,0.75,0.6739188873051909,-0.7083333333333334,-0.6875,0.18018017979060139,4.625,3.9166666666666665,0.0,0,False,True,graph,True
