experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index
steering,0,15,"[127839, 38259, 150216]",12.125,12.25,0.125,0.125,0.010309278342012966,False,"{'behaviour': 'physics_particle_candidate_selection', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,1,15,"[127839, 38259, 150216]",8.6875,8.25,-0.4375,0.4375,0.05035971217224781,False,"{'behaviour': 'physics_particle_candidate_selection', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,2,15,"[127839, 38259, 150216]",9.0625,8.875,-0.1875,0.1875,0.020689655149583826,False,"{'behaviour': 'physics_particle_candidate_selection', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,3,15,"[127839, 38259, 150216]",4.875,4.375,-0.5,0.5,0.10256410235371466,False,"{'behaviour': 'physics_particle_candidate_selection', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,4,15,"[127839, 38259, 150216]",6.25,5.78125,-0.46875,0.46875,0.07499999988,False,"{'behaviour': 'physics_particle_candidate_selection', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,5,15,"[127839, 38259, 150216]",9.125,11.25,2.125,2.125,0.23287671207355976,False,"{'behaviour': 'physics_particle_candidate_selection', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,6,15,"[127839, 38259, 150216]",9.75,10.0,0.25,0.25,0.025641025614727152,False,"{'behaviour': 'physics_particle_candidate_selection', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,7,15,"[127839, 38259, 150216]",8.875,8.4375,-0.4375,0.4375,0.049295774592342786,False,"{'behaviour': 'physics_particle_candidate_selection', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,8,15,"[127839, 38259, 150216]",9.625,9.875,0.25,0.25,0.025974025947039972,False,"{'behaviour': 'physics_particle_candidate_selection', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,9,15,"[127839, 38259, 150216]",7.5,8.25,0.75,0.75,0.09999999986666666,False,"{'behaviour': 'physics_particle_candidate_selection', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,10,15,"[127839, 38259, 150216]",13.0625,12.625,-0.4375,0.4375,0.03349282294086674,False,"{'behaviour': 'physics_particle_candidate_selection', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,11,15,"[127839, 38259, 150216]",7.6875,9.0,1.3125,1.3125,0.17073170709498314,False,"{'behaviour': 'physics_particle_candidate_selection', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,12,15,"[127839, 38259, 150216]",5.5,5.3125,-0.1875,0.1875,0.03409090902892562,False,"{'behaviour': 'physics_particle_candidate_selection', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,13,15,"[127839, 38259, 150216]",6.84375,8.0,1.15625,1.15625,0.16894977144263046,False,"{'behaviour': 'physics_particle_candidate_selection', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,14,15,"[127839, 38259, 150216]",3.625,3.234375,-0.390625,0.390625,0.10775862039239001,False,"{'behaviour': 'physics_particle_candidate_selection', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,15,15,"[127839, 38259, 150216]",4.625,5.125,0.5,0.5,0.10810810787436084,False,"{'behaviour': 'physics_particle_candidate_selection', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,16,15,"[127839, 38259, 150216]",8.625,8.5,-0.125,0.125,0.014492753606385212,False,"{'behaviour': 'physics_particle_candidate_selection', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,17,15,"[127839, 38259, 150216]",6.6875,5.6875,-1.0,1.0,0.14953271005677352,False,"{'behaviour': 'physics_particle_candidate_selection', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
