layer,feature_idx,mean_activation,std_activation,activation_frequency,correlation_with_logit_diff,abs_correlation,feature_source,layer_has_graph_features
15,130314,4.0039062,0.26060864,1.0,-0.3241069582027982,0.3241069582027982,graph,True
15,45839,4.8789062,0.6206268,1.0,0.3142481733173056,0.3142481733173056,graph,True
15,150216,2.6927083,0.42304683,1.0,0.1636206081745856,0.1636206081745856,graph,True
16,136591,1.4134115,0.6828155,1.0,-0.2726022272769535,0.2726022272769535,graph,True
16,126692,5.2604165,0.18325637,1.0,-0.2451337409700041,0.2451337409700041,graph,True
16,45664,3.4973958,0.95621157,1.0,-0.0704358727525349,0.0704358727525349,graph,True
17,42201,2.6484375,0.41474983,1.0,-0.2034883365289992,0.2034883365289992,graph,True
17,39571,4.0716147,0.28544742,1.0,0.1049061003243675,0.1049061003243675,graph,True
17,111317,6.7291665,0.73954666,1.0,-0.0121091908887732,0.0121091908887732,graph,True
18,149556,2.1533203,0.6969767,1.0,0.6336233793493034,0.6336233793493034,graph,True
18,160254,3.186198,0.8596226,1.0,0.2337099548550967,0.2337099548550967,graph,True
18,48134,5.3919272,0.64213043,1.0,0.1240549474719519,0.1240549474719519,graph,True
19,81443,5.768229,0.36520594,1.0,0.3816885787259959,0.3816885787259959,graph,True
19,126231,3.9492188,0.5299127,1.0,0.1736549660637435,0.1736549660637435,graph,True
19,25077,4.1992188,0.29127985,1.0,-0.1542551965728279,0.1542551965728279,graph,True
20,73876,4.4453125,0.49773657,1.0,0.2793255229091351,0.2793255229091351,graph,True
20,92769,2.7861328,1.2109302,1.0,0.1833915808138338,0.1833915808138338,graph,True
20,101109,4.143229,0.713033,1.0,-0.1738137673301595,0.1738137673301595,graph,True
