experiment_type,layer,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips,has_control_rows,all_graph,feature_source_mode,layer_has_graph_features
ablation_zero,15,12,12.0,0.7161458333333334,0.5625,0.5875813430953947,0.6171875,0.515625,0.13018894988159266,7.020833333333333,7.638020833333333,0.0,0,False,True,graph,True
ablation_zero,16,12,12.0,0.62890625,0.421875,0.5009811484981926,-0.41796875,-0.328125,0.4948144999893182,7.020833333333333,6.602864583333333,0.08333333333333333,1,False,True,graph,True
ablation_zero,17,12,12.0,0.62109375,0.53125,0.35966052145880945,0.49609375,0.40625,0.2936729098052959,7.020833333333333,7.516927083333333,0.08333333333333333,1,False,True,graph,True
ablation_zero,18,12,12.0,0.53125,0.453125,0.44053331573528837,-0.16145833333333334,-0.21875,0.40633812739282166,7.020833333333333,6.859375,0.08333333333333333,1,False,True,graph,True
ablation_zero,19,12,12.0,1.546875,1.296875,1.0041197100174135,-1.515625,-1.296875,0.5641850889026057,7.020833333333333,5.505208333333333,0.08333333333333333,1,False,True,graph,True
ablation_zero,20,12,12.0,1.5520833333333333,1.5,0.648744051762303,-1.5520833333333333,-1.5,0.5296473021207588,7.020833333333333,5.46875,0.08333333333333333,1,False,True,graph,True
patching,15,4,4.0,0.96875,1.0625,0.5601804024895314,0.5625,0.78125,0.21517522552306909,7.0078125,7.5703125,0.0,0,False,True,graph,True
patching,16,4,4.0,0.7578125,0.71875,0.8126502264966152,-0.6953125,-0.65625,0.10866093348868995,7.0078125,6.3125,0.0,0,False,True,graph,True
patching,17,4,4.0,0.45703125,0.2734375,0.545366222282101,0.42578125,0.2734375,0.08602766116257213,7.0078125,7.43359375,0.0,0,False,True,graph,True
patching,18,4,4.0,0.87890625,0.34375,1.304562743536284,0.62109375,0.0859375,0.12297615252046959,7.0078125,7.62890625,0.0,0,False,True,graph,True
patching,19,4,4.0,1.7890625,1.5,0.8843897230812141,-1.7890625,-1.5,0.2838382574813681,7.0078125,5.21875,0.0,0,False,True,graph,True
patching,20,4,4.0,1.7421875,1.609375,0.8810708298948879,-1.7421875,-1.609375,0.27503424541398674,7.0078125,5.265625,0.0,0,False,True,graph,True
steering,15,12,12.0,1.49609375,1.484375,0.7146661711250702,-1.3658854166666667,-1.484375,0.6785852250149601,7.020833333333333,5.654947916666667,0.08333333333333333,1,False,True,graph,True
steering,16,12,12.0,1.3815104166666667,0.828125,1.1603401691401816,-1.32421875,-0.828125,0.34030292551043373,7.020833333333333,5.696614583333333,0.08333333333333333,1,False,True,graph,True
steering,17,12,12.0,0.6041666666666666,0.28125,0.828763511704837,0.3229166666666667,0.140625,0.22239355288221488,7.020833333333333,7.34375,0.0,0,False,True,graph,True
steering,18,12,12.0,1.4934895833333333,1.09375,0.9647888759545893,-0.9283854166666666,-1.0,0.8549525974926809,7.020833333333333,6.092447916666667,0.08333333333333333,1,False,True,graph,True
steering,19,12,12.0,4.069010416666667,4.4375,1.650766253257254,-4.069010416666667,-4.4375,1.382923727260297,7.020833333333333,2.9518229166666665,0.08333333333333333,1,False,True,graph,True
steering,20,12,12.0,2.13671875,1.859375,1.2199717979753113,-2.1158854166666665,-1.859375,0.8626025817070729,7.020833333333333,4.904947916666667,0.08333333333333333,1,False,True,graph,True
