experiment_type,prompt_idx,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips,has_control_rows,all_graph,feature_source_mode,layer_has_graph_features
ablation_zero,2,6,6.0,0.5208333333333334,0.3125,0.449247055267663,0.041666666666666664,0.171875,0.07541478118793632,6.90625,6.947916666666667,0.0,0,False,True,graph,True
ablation_zero,3,6,6.0,0.6770833333333334,0.53125,0.5747508518190004,-0.3020833333333333,-0.0625,0.06526104411380458,10.375,10.072916666666666,0.0,0,False,True,graph,True
ablation_zero,4,6,6.0,0.875,0.5625,0.9013878188659973,-0.5625,-0.21875,0.08187134495263497,10.6875,10.125,0.0,0,False,True,graph,True
ablation_zero,6,6,6.0,0.625,0.5625,0.2688226645950821,0.375,0.5625,0.1298701296002698,4.8125,5.1875,0.0,0,False,True,graph,True
ablation_zero,7,6,6.0,0.7916666666666666,0.6875,0.578561209308632,0.041666666666666664,-0.1796875,0.2878787868319559,2.75,2.7916666666666665,0.0,0,False,True,graph,True
ablation_zero,8,6,6.0,1.0989583333333333,0.78125,1.0132745237183587,-0.640625,-0.28125,0.11417748905886316,9.625,8.984375,0.0,0,False,True,graph,True
ablation_zero,9,6,6.0,1.40625,1.4375,0.6740154857271455,-0.2604166666666667,-0.34375,0.20270270241051858,6.9375,6.677083333333333,0.0,0,False,True,graph,True
ablation_zero,11,6,6.0,0.8333333333333334,0.734375,0.5871896343317605,-0.3020833333333333,-0.140625,0.1234567899405578,6.75,6.447916666666667,0.0,0,False,True,graph,True
ablation_zero,13,6,6.0,0.8229166666666666,0.53125,0.5934758138851715,-0.5729166666666666,-0.53125,0.0947242205144661,8.6875,8.114583333333334,0.0,0,False,True,graph,True
ablation_zero,16,6,6.0,0.8333333333333334,1.0,0.4587119648174295,-0.8333333333333334,-1.0,3.3333332000000055,0.25,-0.5833333333333334,0.8333333333333334,5,False,True,graph,True
ablation_zero,17,6,6.0,1.3229166666666667,1.28125,0.8372823100165598,-0.9166666666666666,-0.96875,0.16601307168709467,7.96875,7.052083333333333,0.0,0,False,True,graph,True
ablation_zero,19,6,6.0,1.3854166666666667,0.96875,1.383308232704001,-1.1354166666666667,-0.71875,0.16299019588667815,8.5,7.364583333333333,0.0,0,False,True,graph,True
patching,1,6,6.0,0.59375,0.21875,0.752859133570152,-0.4270833333333333,0.03125,0.05722891560749019,10.375,9.947916666666666,0.0,0,False,True,graph,True
patching,3,6,6.0,0.6875,0.6796875,0.5823745841380786,0.015625,0.0546875,0.2499999990909091,2.75,2.765625,0.0,0,False,True,graph,True
patching,4,6,6.0,1.59375,1.3125,1.0765613661097075,-0.21875,-0.625,0.22972972939858774,6.9375,6.71875,0.0,0,False,True,graph,True
patching,8,6,6.0,1.5208333333333333,1.40625,0.9080083516502845,-1.1145833333333333,-1.203125,0.19084967296311672,7.96875,6.854166666666667,0.0,0,False,True,graph,True
steering,2,6,6.0,1.0390625,0.796875,1.131135612310699,-0.7161458333333334,-0.53125,0.150452488469933,6.90625,6.190104166666667,0.0,0,False,True,graph,True
steering,3,6,6.0,1.59375,1.21875,1.3822253343793116,-1.4895833333333333,-1.21875,0.15361445768326312,10.375,8.885416666666666,0.0,0,False,True,graph,True
steering,4,6,6.0,1.875,1.375,1.9096792924467711,-1.875,-1.375,0.17543859632707492,10.6875,8.8125,0.0,0,False,True,graph,True
steering,6,6,6.0,0.7734375,0.921875,0.4465306802869205,0.3723958333333333,0.5625,0.16071428538033392,4.8125,5.184895833333333,0.0,0,False,True,graph,True
steering,7,6,6.0,1.3515625,1.25,1.0086902669737128,-0.013020833333333334,-0.3671875,0.4914772709400827,2.75,2.7369791666666665,0.0,0,False,True,graph,True
steering,8,6,6.0,2.8697916666666665,2.8125,1.6122597527745544,-2.8697916666666665,-2.8125,0.2981601728503963,9.625,6.755208333333333,0.0,0,False,True,graph,True
steering,9,6,6.0,2.5885416666666665,2.3828125,1.7237049788657763,-2.5885416666666665,-2.3828125,0.37312312258528796,6.9375,4.348958333333333,0.0,0,False,True,graph,True
steering,11,6,6.0,2.078125,2.125,1.6467000618661554,-1.8697916666666667,-2.125,0.30787036991426614,6.75,4.880208333333333,0.0,0,False,True,graph,True
steering,13,6,6.0,1.9791666666666667,1.25,1.9943931825662327,-1.875,-1.25,0.22781774554112103,8.6875,6.8125,0.0,0,False,True,graph,True
steering,16,6,6.0,1.4401041666666667,1.625,0.9115371989689541,-1.3567708333333333,-1.625,5.760416436250009,0.25,-1.1067708333333333,0.8333333333333334,5,False,True,graph,True
steering,17,6,6.0,2.9140625,2.96875,2.0401188595122344,-2.8619791666666665,-2.96875,0.3656862740509034,7.96875,5.106770833333333,0.0,0,False,True,graph,True
steering,19,6,6.0,1.859375,1.65625,1.5417053767662614,-1.8177083333333333,-1.65625,0.218749999742647,8.5,6.682291666666667,0.0,0,False,True,graph,True
