layer,feature_source,layer_has_graph_features,skipped,skipped_reason,n_graph_features,n_features_used,experiment_type
15,graph,True,False,,3,3,ablation
16,graph,True,False,,3,3,ablation
17,graph,True,False,,3,3,ablation
18,graph,True,False,,3,3,ablation
19,graph,True,False,,3,3,ablation
20,graph,True,False,,3,3,ablation
15,graph,True,False,,3,3,patching
16,graph,True,False,,3,3,patching
17,graph,True,False,,3,3,patching
18,graph,True,False,,3,3,patching
19,graph,True,False,,3,3,patching
20,graph,True,False,,3,3,patching
15,graph,True,False,,3,3,steering
16,graph,True,False,,3,3,steering
17,graph,True,False,,3,3,steering
18,graph,True,False,,3,3,steering
19,graph,True,False,,3,3,steering
20,graph,True,False,,3,3,steering
