experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index
steering,2,15,"[45839, 130314, 150216]",6.90625,6.25,-0.65625,0.65625,0.09502262429679982,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,3,15,"[45839, 130314, 150216]",10.375,8.875,-1.5,1.5,0.14457831311365946,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,4,15,"[45839, 130314, 150216]",10.6875,8.8125,-1.875,1.875,0.17543859632707498,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,6,15,"[45839, 130314, 150216]",4.8125,5.59375,0.78125,0.78125,0.16233766200033733,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,7,15,"[45839, 130314, 150216]",2.75,2.265625,-0.484375,0.484375,0.17613636299586777,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,8,15,"[45839, 130314, 150216]",9.625,6.6875,-2.9375,2.9375,0.30519480487771966,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,9,15,"[45839, 130314, 150216]",6.9375,5.75,-1.1875,1.1875,0.17117117092443795,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,11,15,"[45839, 130314, 150216]",6.75,4.28125,-2.46875,2.46875,0.3657407401989026,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,13,15,"[45839, 130314, 150216]",8.6875,7.375,-1.3125,1.3125,0.15107913651674343,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,16,15,"[45839, 130314, 150216]",0.25,-1.25,-1.5,1.5,5.9999997600000095,True,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,17,15,"[45839, 130314, 150216]",7.96875,6.1875,-1.78125,1.78125,0.2235294114841984,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,19,15,"[45839, 130314, 150216]",8.5,7.03125,-1.46875,1.46875,0.1727941174437716,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,2,16,"[126692, 45664, 136591]",6.90625,6.5,-0.40625,0.40625,0.058823529326590365,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,3,16,"[126692, 45664, 136591]",10.375,10.0,-0.375,0.375,0.036144578278414864,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
steering,4,16,"[126692, 45664, 136591]",10.6875,9.625,-1.0625,1.0625,0.09941520458534249,False,"{'behaviour': 'physics_particle_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 3}",graph,,True,,-1
