layer,feature_idx,mean_activation,std_activation,activation_frequency,correlation_with_logit_diff,abs_correlation,feature_source,layer_has_graph_features
15,127839,2.634746,1.2503972,0.99,0.1344027036090289,0.1344027036090289,graph,True
15,83487,1.8905176,0.78796077,0.99,0.1194996953195228,0.1194996953195228,graph,True
15,45839,4.51375,0.7590865,1.0,0.0621754006444411,0.0621754006444411,graph,True
15,150216,2.7934375,0.7304477,1.0,-0.0166407117379685,0.0166407117379685,graph,True
15,130314,3.5932813,0.41589192,1.0,0.0029768649180621,0.0029768649180621,graph,True
16,136591,1.4326074,0.7246724,0.97,-0.0501336779327408,0.0501336779327408,graph,True
16,126692,4.7240624,0.5063234,1.0,0.0191223008130878,0.0191223008130878,graph,True
17,39948,1.1694776,0.7857642,0.92,0.1543061135365434,0.1543061135365434,graph,True
17,111317,6.6721873,1.0413191,1.0,0.0875051364421341,0.0875051364421341,graph,True
17,149790,1.087481,1.0808965,0.89,0.0721129156871509,0.0721129156871509,graph,True
17,39571,3.4435155,0.5694459,1.0,-0.0046469658766417,0.0046469658766417,graph,True
17,90031,2.3182032,0.31056795,1.0,0.001021323697295,0.001021323697295,graph,True
18,48134,2.2696486,0.8911685,1.0,0.1698552762471317,0.1698552762471317,graph,True
18,160254,2.8451562,0.89914584,0.99,-0.0846792937100615,0.0846792937100615,graph,True
18,71688,1.9007031,0.81387395,0.97,-0.0773239130082122,0.0773239130082122,graph,True
18,71234,1.8501757,0.80992615,0.98,-0.049661775498385,0.049661775498385,graph,True
18,81387,6.6514063,0.6686905,1.0,0.0438452464170152,0.0438452464170152,graph,True
19,39488,2.6387987,1.0738629,0.98,0.0732202978802884,0.0732202978802884,graph,True
19,81443,5.1854687,0.60081184,1.0,-0.044378537722661,0.044378537722661,graph,True
19,126231,3.135354,0.81961685,1.0,-0.0273680953145392,0.0273680953145392,graph,True
19,25077,4.1925,0.37170348,1.0,0.0134769502698949,0.0134769502698949,graph,True
19,41536,3.5143065,1.5749695,0.96,-0.0012043095197138,0.0012043095197138,graph,True
20,101109,3.7527735,1.400185,1.0,-0.1366694407749163,0.1366694407749163,graph,True
20,24337,1.877129,0.671933,1.0,0.1090379678298737,0.1090379678298737,graph,True
20,92769,2.7445953,1.3532135,0.98,-0.1050650863654138,0.1050650863654138,graph,True
20,71598,3.3874414,1.7563812,0.93,-0.054975972492824,0.054975972492824,graph,True
20,73876,3.5444531,0.676656,1.0,-0.0328841048825115,0.0328841048825115,graph,True
