experiment_type,layer,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips,has_control_rows,all_graph,feature_source_mode,layer_has_graph_features
ablation_zero,15,100,100.0,0.55,0.4375,0.47055104335934234,0.4596875,0.375,0.109749047341122,6.36609375,6.82578125,0.0,0,False,True,graph,True
ablation_zero,16,100,100.0,0.60125,0.46875,0.5131318859575613,0.1409375,0.2265625,0.12818200697658866,6.36609375,6.50703125,0.0,0,False,True,graph,True
ablation_zero,17,100,100.0,0.6165625,0.5,0.5642920912400874,0.420625,0.328125,0.1295251674205275,6.36609375,6.78671875,0.0,0,False,True,graph,True
ablation_zero,18,100,100.0,0.7853125,0.625,0.569300831468617,0.6078125,0.53125,0.15848642067578908,6.36609375,6.97390625,0.01,1,False,True,graph,True
ablation_zero,19,100,100.0,0.6625,0.59375,0.47471997992862525,-0.4278125,-0.4375,0.12846743575615238,6.36609375,5.93828125,0.0,0,False,True,graph,True
ablation_zero,20,100,100.0,1.61203125,1.53125,1.1129892820005811,-1.55296875,-1.5,0.29067385003851665,6.36609375,4.813125,0.01,1,False,True,graph,True
patching,15,50,50.0,0.4821875,0.375,0.4712730778804885,0.3690625,0.3125,0.10304997977625248,5.9753125,6.344375,0.0,0,False,True,graph,True
patching,16,50,50.0,0.6959375,0.5625,0.6022585341829316,0.2009375,0.28125,0.13818084310041584,5.9753125,6.17625,0.0,0,False,True,graph,True
patching,17,50,50.0,0.725,0.53125,0.7047635386483634,0.51875,0.3125,0.14362405665936012,5.9753125,6.4940625,0.0,0,False,True,graph,True
patching,18,50,50.0,1.2165625,1.0,0.8522519618102611,1.0540625,1.0,0.23985069567386702,5.9753125,7.029375,0.0,0,False,True,graph,True
patching,19,50,50.0,0.719375,0.625,0.48034096162337153,-0.444375,-0.46875,0.13944240700219257,5.9753125,5.5309375,0.0,0,False,True,graph,True
patching,20,50,50.0,1.5546875,1.484375,1.0404336079894423,-1.4159375,-1.40625,0.30441277549828544,5.9753125,4.559375,0.02,1,False,True,graph,True
steering,15,100,100.0,0.8453125,0.59375,0.8492981286893325,0.079375,0.078125,0.1816282976009409,6.36609375,6.44546875,0.0,0,False,True,graph,True
steering,16,100,100.0,0.67828125,0.4765625,0.6667890771554568,-0.23609375,-0.25,0.14081265622193898,6.36609375,6.13,0.0,0,False,True,graph,True
steering,17,100,100.0,0.83109375,0.671875,0.720161160672105,-0.27984375,-0.1875,0.18325697141506112,6.36609375,6.08625,0.0,0,False,True,graph,True
steering,18,100,100.0,1.78234375,1.671875,1.3183028718484713,-1.47859375,-1.5,0.35767721918497314,6.36609375,4.8875,0.02,2,False,True,graph,True
steering,19,100,100.0,1.3690625,1.125,1.0907760343743367,-1.0771875,-0.84375,0.24766886156723658,6.36609375,5.28890625,0.0,0,False,True,graph,True
steering,20,100,100.0,1.53765625,1.15625,1.1879279178988187,-1.44203125,-1.09375,0.26404309763153705,6.36609375,4.9240625,0.01,1,False,True,graph,True
