layer,feature_source,layer_has_graph_features,skipped,skipped_reason,n_graph_features,n_features_used,experiment_type
15,graph,True,False,,5,5,ablation
16,graph,True,False,,2,2,ablation
17,graph,True,False,,5,5,ablation
18,graph,True,False,,5,5,ablation
19,graph,True,False,,5,5,ablation
20,graph,True,False,,5,5,ablation
15,graph,True,False,,5,5,patching
16,graph,True,False,,2,2,patching
17,graph,True,False,,5,5,patching
18,graph,True,False,,5,5,patching
19,graph,True,False,,5,5,patching
20,graph,True,False,,5,5,patching
15,graph,True,False,,5,5,steering
16,graph,True,False,,2,2,steering
17,graph,True,False,,5,5,steering
18,graph,True,False,,5,5,steering
19,graph,True,False,,5,5,steering
20,graph,True,False,,5,5,steering
