experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index
patching,0,15,"[45839, 150216, 83487, 130314, 127839]",4.78125,4.40625,-0.375,0.375,0.07843137238498013,False,"{'source_prompt': 'When ultraviolet light hits a zinc plate, negatively charged particles are ejected from the surface ', 'target_prompt': 'When an atom absorbs a photon, one of its negatively charged particles jumps to a higher energy leve', 'source_correct': ' electron', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 5, 'source_margin': 8.375, 'target_margin': 4.78125, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,0,16,"[136591, 126692]",4.78125,5.125,0.34375,0.34375,0.07189542468623179,False,"{'source_prompt': 'When ultraviolet light hits a zinc plate, negatively charged particles are ejected from the surface ', 'target_prompt': 'When an atom absorbs a photon, one of its negatively charged particles jumps to a higher energy leve', 'source_correct': ' electron', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 2, 'source_margin': 8.375, 'target_margin': 4.78125, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,0,17,"[111317, 39571, 39948, 149790, 90031]",4.78125,6.09375,1.3125,1.3125,0.27450980334743047,False,"{'source_prompt': 'When ultraviolet light hits a zinc plate, negatively charged particles are ejected from the surface ', 'target_prompt': 'When an atom absorbs a photon, one of its negatively charged particles jumps to a higher energy leve', 'source_correct': ' electron', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 5, 'source_margin': 8.375, 'target_margin': 4.78125, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,0,18,"[81387, 48134, 160254, 71234, 71688]",4.78125,6.1875,1.40625,1.40625,0.2941176464436755,False,"{'source_prompt': 'When ultraviolet light hits a zinc plate, negatively charged particles are ejected from the surface ', 'target_prompt': 'When an atom absorbs a photon, one of its negatively charged particles jumps to a higher energy leve', 'source_correct': ' electron', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 5, 'source_margin': 8.375, 'target_margin': 4.78125, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,0,19,"[39488, 81443, 126231, 41536, 25077]",4.78125,3.0,-1.78125,1.78125,0.37254901882865565,False,"{'source_prompt': 'When ultraviolet light hits a zinc plate, negatively charged particles are ejected from the surface ', 'target_prompt': 'When an atom absorbs a photon, one of its negatively charged particles jumps to a higher energy leve', 'source_correct': ' electron', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 5, 'source_margin': 8.375, 'target_margin': 4.78125, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,0,20,"[24337, 101109, 71598, 92769, 73876]",4.78125,3.53125,-1.25,1.25,0.26143790794993377,False,"{'source_prompt': 'When ultraviolet light hits a zinc plate, negatively charged particles are ejected from the surface ', 'target_prompt': 'When an atom absorbs a photon, one of its negatively charged particles jumps to a higher energy leve', 'source_correct': ' electron', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 5, 'source_margin': 8.375, 'target_margin': 4.78125, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,1,15,"[150216, 127839, 83487, 130314, 45839]",10.0,10.3125,0.3125,0.3125,0.031249999968749997,False,"{'source_prompt': 'Unlike the proton (which adds both charge and mass to the nucleus), which neutral nuclear particle c', 'target_prompt': 'In a fission reactor, the chain reaction is initiated by absorption of a slow neutral nuclear partic', 'source_correct': ' neutron', 'target_correct': ' neutron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 5, 'source_margin': 12.0625, 'target_margin': 10.0, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,1,16,"[136591, 126692]",10.0,10.125,0.125,0.125,0.0124999999875,False,"{'source_prompt': 'Unlike the proton (which adds both charge and mass to the nucleus), which neutral nuclear particle c', 'target_prompt': 'In a fission reactor, the chain reaction is initiated by absorption of a slow neutral nuclear partic', 'source_correct': ' neutron', 'target_correct': ' neutron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 2, 'source_margin': 12.0625, 'target_margin': 10.0, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,1,17,"[149790, 39948, 111317, 39571, 90031]",10.0,10.25,0.25,0.25,0.024999999975,False,"{'source_prompt': 'Unlike the proton (which adds both charge and mass to the nucleus), which neutral nuclear particle c', 'target_prompt': 'In a fission reactor, the chain reaction is initiated by absorption of a slow neutral nuclear partic', 'source_correct': ' neutron', 'target_correct': ' neutron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 5, 'source_margin': 12.0625, 'target_margin': 10.0, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,1,18,"[71688, 160254, 71234, 81387, 48134]",10.0,9.875,-0.125,0.125,0.0124999999875,False,"{'source_prompt': 'Unlike the proton (which adds both charge and mass to the nucleus), which neutral nuclear particle c', 'target_prompt': 'In a fission reactor, the chain reaction is initiated by absorption of a slow neutral nuclear partic', 'source_correct': ' neutron', 'target_correct': ' neutron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 5, 'source_margin': 12.0625, 'target_margin': 10.0, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
