experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index
steering,0,15,"[45839, 130314, 150216, 127839, 83487]",8.375,8.875,0.5,0.5,0.059701492466028065,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,1,15,"[45839, 130314, 150216, 127839, 83487]",4.78125,5.0625,0.28125,0.28125,0.058823529288735105,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,2,15,"[45839, 130314, 150216, 127839, 83487]",12.0625,12.125,0.0625,0.0625,0.005181347145963649,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,3,15,"[45839, 130314, 150216, 127839, 83487]",10.0,10.0625,0.0625,0.0625,0.00624999999375,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,4,15,"[45839, 130314, 150216, 127839, 83487]",7.65625,7.625,-0.03125,0.03125,0.004081632647730113,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,5,15,"[45839, 130314, 150216, 127839, 83487]",3.65625,1.625,-2.03125,2.03125,0.5555555540360874,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,6,15,"[45839, 130314, 150216, 127839, 83487]",11.0,11.5,0.5,0.5,0.045454545413223135,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,7,15,"[45839, 130314, 150216, 127839, 83487]",5.90625,4.21875,-1.6875,1.6875,0.28571428523053666,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,8,15,"[45839, 130314, 150216, 127839, 83487]",5.96875,6.40625,0.4375,0.4375,0.07329842919656808,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,9,15,"[45839, 130314, 150216, 127839, 83487]",3.375,4.28125,0.90625,0.90625,0.2685185177229081,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,10,15,"[45839, 130314, 150216, 127839, 83487]",6.09375,6.5625,0.46875,0.46875,0.07692307679684418,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,11,15,"[45839, 130314, 150216, 127839, 83487]",6.75,6.875,0.125,0.125,0.018518518491083675,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,12,15,"[45839, 130314, 150216, 127839, 83487]",7.40625,8.0625,0.65625,0.65625,0.08860759481706991,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,13,15,"[45839, 130314, 150216, 127839, 83487]",9.25,9.5,0.25,0.25,0.027027026997808616,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,14,15,"[45839, 130314, 150216, 127839, 83487]",10.375,12.375,2.0,2.0,0.19277108415154592,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,15,15,"[45839, 130314, 150216, 127839, 83487]",4.75,5.75,1.0,1.0,0.2105263153462604,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,16,15,"[45839, 130314, 150216, 127839, 83487]",3.75,2.5,-1.25,1.25,0.33333333244444446,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,17,15,"[45839, 130314, 150216, 127839, 83487]",2.0,4.0,2.0,2.0,0.999999995,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,18,15,"[45839, 130314, 150216, 127839, 83487]",8.5625,9.1875,0.625,0.625,0.07299270064468005,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,19,15,"[45839, 130314, 150216, 127839, 83487]",3.96875,3.9375,-0.03125,0.03125,0.007874015728191457,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,20,15,"[45839, 130314, 150216, 127839, 83487]",6.0,5.90625,-0.09375,0.09375,0.015624999973958333,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,21,15,"[45839, 130314, 150216, 127839, 83487]",9.75,9.875,0.125,0.125,0.012820512807363576,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,22,15,"[45839, 130314, 150216, 127839, 83487]",3.0,1.75,-1.25,1.25,0.4166666652777778,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,23,15,"[45839, 130314, 150216, 127839, 83487]",-1.890625,-1.0,0.890625,0.890625,0.4710743776736562,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,24,15,"[45839, 130314, 150216, 127839, 83487]",6.1875,6.4375,0.25,0.25,0.04040404033874095,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,25,15,"[45839, 130314, 150216, 127839, 83487]",5.03125,5.65625,0.625,0.625,0.124223602237568,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,26,15,"[45839, 130314, 150216, 127839, 83487]",6.0,6.5625,0.5625,0.5625,0.09374999984375,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,27,15,"[45839, 130314, 150216, 127839, 83487]",4.8125,4.8125,0.0,0.0,0.0,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,28,15,"[45839, 130314, 150216, 127839, 83487]",6.875,6.9375,0.0625,0.0625,0.009090909077685951,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,29,15,"[45839, 130314, 150216, 127839, 83487]",4.0625,3.3125,-0.75,0.75,0.18461538416094675,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,30,15,"[45839, 130314, 150216, 127839, 83487]",7.03125,7.03125,0.0,0.0,0.0,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,31,15,"[45839, 130314, 150216, 127839, 83487]",7.5,7.53125,0.03125,0.03125,0.0041666666611111115,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,32,15,"[45839, 130314, 150216, 127839, 83487]",4.25,4.875,0.625,0.625,0.147058823183391,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
steering,33,15,"[45839, 130314, 150216, 127839, 83487]",7.4375,7.625,0.1875,0.1875,0.025210083999717536,False,"{'behaviour': 'physics_internal_candidate_selection_v2', 'coefficient': 10.0, 'n_features': 5}",graph,,True,,-1
