experiment_type,prompt_idx,n,count_abs_effect_size,mean_abs_effect_size,median_abs_effect_size,std_abs_effect_size,mean_effect_size,median_effect_size,mean_relative_effect,mean_baseline_logit_diff,mean_intervened_logit_diff,sign_flip_rate,n_sign_flips
ablation_zero,0,16,16.0,0.3125,0.25,0.36084391824351614,-0.109375,-0.0625,0.1041666663194444,3.0,2.890625,0.0,0
ablation_zero,1,16,16.0,0.76953125,0.3125,1.512744255415193,-0.26171875,0.0,0.2798295444369835,2.75,2.48828125,0.0625,1
ablation_zero,2,16,16.0,1.15234375,0.84375,1.5548929407813474,-0.56640625,-0.5,0.23338607547668638,4.9375,4.37109375,0.0625,1
ablation_zero,3,16,16.0,0.35546875,0.15625,0.47363771206658223,-0.26171875,-0.125,0.11151960749327182,3.1875,2.92578125,0.0,0
ablation_zero,4,16,16.0,0.7734375,0.3125,1.3312891230557946,-0.1484375,0.09375,0.19335937451660157,4.0,3.8515625,0.0625,1
ablation_zero,5,16,16.0,0.802734375,0.359375,0.8687813805783268,0.490234375,0.203125,0.15290178542304417,5.25,5.740234375,0.0,0
ablation_zero,6,16,16.0,0.359375,0.15625,0.43630789969164363,-0.2890625,-0.125,1.1499999632000013,0.3125,0.0234375,0.3125,5
ablation_zero,7,16,16.0,0.48046875,0.375,0.45455951090955443,-0.31640625,-0.25,0.07804568515241306,6.15625,5.83984375,0.0,0
ablation_zero,8,16,16.0,0.421875,0.1875,0.8595359697728381,-0.2109375,-0.03125,0.10384615359053251,4.0625,3.8515625,0.0,0
ablation_zero,9,16,16.0,0.31640625,0.125,0.7543170027415529,-0.19921875,-0.03125,0.08580508451307091,3.6875,3.48828125,0.0,0
ablation_zero,10,16,16.0,0.5625,0.1875,1.3428049001995785,-0.5390625,-0.1875,0.1323529408650519,4.25,3.7109375,0.0625,1
ablation_zero,11,16,16.0,0.65234375,0.34375,1.037567455136452,-0.09765625,0.1875,0.254573169738251,2.5625,2.46484375,0.0625,1
ablation_zero,12,16,16.0,0.8125,0.625,0.9236476600955583,0.2578125,0.03125,0.22413793041617122,3.625,3.8828125,0.0,0
ablation_zero,13,16,16.0,0.43359375,0.21875,0.7442378477061841,-0.32421875,-0.21875,0.14605263108698058,2.96875,2.64453125,0.0625,1
ablation_zero,14,16,16.0,0.734375,0.375,1.4849067030176228,-0.30078125,0.15625,0.1566666663324444,4.6875,4.38671875,0.0625,1
ablation_zero,15,16,16.0,0.765625,0.203125,1.614952914690291,-0.703125,-0.1875,0.16333333298488883,4.6875,3.984375,0.0625,1
ablation_zero,16,16,16.0,0.5625,0.28125,1.1526690042390024,-0.328125,-0.03125,0.16666666617283948,3.375,3.046875,0.0625,1
