axis,layer,len_change,rot_mag,rot_frac,len_mlp,len_attn,rot_mlp,rot_attn,tc_rel_error
delta,13,-0.42447,1.17478,0.94049,-0.46192,0.03744,0.81448,0.36030,0.97769
delta,14,-0.41556,1.64758,0.96963,-0.37629,-0.03927,0.83986,0.80772,0.98843
delta,15,-0.35886,1.95184,0.98351,-0.43350,0.07464,1.27402,0.67783,0.88919
delta,16,-0.63922,2.42551,0.96698,-0.52791,-0.11131,1.31240,1.11312,0.95143
delta,17,-0.63765,2.75249,0.97420,-0.65288,0.01523,1.72007,1.03242,0.96519
delta,18,-0.61247,3.19840,0.98215,-0.71388,0.10140,2.16599,1.03241,0.95627
delta,19,-0.52610,4.02188,0.99155,-0.72025,0.19415,2.37667,1.64522,0.96732
delta,20,-0.97847,3.75838,0.96774,-0.90714,-0.07133,2.80950,0.94888,0.90457
delta,21,-0.91852,4.06975,0.97546,-0.94480,0.02628,2.57668,1.49307,0.94296
delta,22,-1.55300,4.53561,0.94608,-0.93983,-0.61317,2.95950,1.57610,0.97492
delta,23,-0.75860,4.25528,0.98448,-0.71941,-0.03919,3.00752,1.24776,0.92893
delta,24,-0.53589,4.86069,0.99398,-0.36728,-0.16861,3.93799,0.92270,0.87070
delta,25,-0.24056,4.24140,0.99840,-0.24647,0.00591,3.68838,0.55302,0.97615
delta,26,-0.37255,4.39531,0.99643,-0.39490,0.02235,4.10993,0.28538,0.92730
delta,27,0.21177,4.59720,0.99894,0.06492,0.14685,4.10730,0.48990,0.96147
delta,28,-0.23995,5.72632,0.99912,-0.19315,-0.04681,4.84979,0.87653,0.88820
delta,29,-0.21720,4.87406,0.99901,-0.30823,0.09102,4.52245,0.35161,0.91386
delta,30,0.56165,5.70836,0.99519,0.04428,0.51736,4.51614,1.19222,0.88130
delta,31,0.55164,6.32104,0.99621,0.10882,0.44282,4.63634,1.68470,0.87600
delta,32,0.80985,7.73906,0.99457,0.51518,0.29467,5.32560,2.41346,0.91173
delta,33,0.65221,8.63176,0.99716,0.36506,0.28715,5.45525,3.17651,0.93796
delta,34,1.38959,10.65918,0.99161,0.29546,1.09412,5.55125,5.10793,0.99159
delta,35,0.77241,10.83612,0.99747,-0.02167,0.79408,6.39030,4.44582,0.93541
u,13,-0.08709,0.32395,0.96571,0.00450,-0.09158,-0.01716,0.34111,0.97769
u,14,-0.08762,0.35303,0.97055,-0.00913,-0.07849,-0.04670,0.39972,0.98843
u,15,-0.08639,0.35001,0.97087,-0.04330,-0.04308,0.03812,0.31189,0.88919
u,16,-0.06988,0.41225,0.98594,-0.01074,-0.05914,-0.04501,0.45726,0.95143
u,17,-0.10933,0.42682,0.96872,-0.05810,-0.05123,-0.06121,0.48803,0.96519
u,18,-0.12068,0.43445,0.96352,-0.00649,-0.11420,0.09384,0.34061,0.95627
u,19,-0.17753,0.42102,0.92143,-0.07758,-0.09995,0.10733,0.31369,0.96732
u,20,-0.12713,0.42271,0.95763,-0.06898,-0.05815,-0.09743,0.52014,0.90457
u,21,-0.13125,0.44782,0.95963,0.01131,-0.14256,-0.14937,0.59718,0.94296
u,22,-0.17841,0.51071,0.94406,-0.09418,-0.08423,-0.08266,0.59337,0.97492
u,23,-0.17965,0.38742,0.90721,0.04749,-0.22714,-0.06346,0.45089,0.92893
u,24,-0.16834,0.32494,0.88791,0.06927,-0.23762,-0.00045,0.32538,0.87070
u,25,-0.11708,0.25333,0.90774,0.18697,-0.30405,-0.01500,0.26833,0.97615
u,26,-0.07888,0.20689,0.93439,-0.05336,-0.02553,-0.01317,0.22006,0.92730
u,27,-0.11175,0.20064,0.87363,0.02457,-0.13632,0.10017,0.10048,0.96147
u,28,-0.08541,0.16829,0.89173,-0.10067,0.01526,0.08328,0.08501,0.88820
u,29,-0.04722,0.13146,0.94113,0.05991,-0.10713,-0.08023,0.21169,0.91386
u,30,-0.07182,0.11820,0.85460,0.09127,-0.16309,0.01100,0.10719,0.88130
u,31,-0.03164,0.09582,0.94958,0.04962,-0.08126,0.11834,-0.02252,0.87600
u,32,-0.04269,0.09553,0.91299,0.19024,-0.23294,-0.15484,0.25037,0.91173
u,33,-0.05406,0.12030,0.91214,0.01666,-0.07072,-0.30465,0.42495,0.93796
u,34,-0.03378,0.08755,0.93296,0.41244,-0.44622,0.10191,-0.01436,0.99159
u,35,-0.01585,0.09818,0.98722,-1.34749,1.33164,-1.12966,1.22784,0.93541
wres,13,-0.40542,0.80404,0.89291,-0.10951,-0.29591,0.09942,0.70462,0.97769
wres,14,-0.48550,0.85749,0.87020,-0.07992,-0.40559,0.11308,0.74441,0.98843
wres,15,-0.41116,0.80825,0.89130,-0.12439,-0.28677,0.14124,0.66701,0.88919
wres,16,-0.47400,0.85048,0.87350,-0.07536,-0.39864,0.18967,0.66081,0.95143
wres,17,-0.36511,0.77260,0.90413,-0.14823,-0.21687,0.21693,0.55567,0.96519
wres,18,-0.41244,0.80918,0.89094,-0.05304,-0.35940,0.14009,0.66909,0.95627
wres,19,-0.38820,0.79101,0.89772,-0.17335,-0.21484,0.18898,0.60203,0.96732
wres,20,-0.31602,0.72950,0.91760,-0.15280,-0.16323,0.41998,0.30953,0.90457
wres,21,-0.27177,0.68533,0.92958,-0.19520,-0.07656,0.16599,0.51934,0.94296
wres,22,-0.30361,0.71767,0.92097,-0.20974,-0.09387,0.32315,0.39451,0.97492
wres,23,-0.24546,0.65625,0.93663,-0.27715,0.03169,0.40103,0.25522,0.92893
wres,24,-0.22746,0.63497,0.94142,-0.06038,-0.16709,0.58552,0.04945,0.87070
wres,25,-0.12835,0.49013,0.96738,-0.09780,-0.03056,0.65251,-0.16238,0.97615
wres,26,-0.11455,0.46474,0.97094,-0.18111,0.06656,0.54246,-0.07772,0.92730
wres,27,-0.10956,0.45511,0.97222,-0.04337,-0.06620,0.56589,-0.11078,0.96147
wres,28,-0.12613,0.48615,0.96796,-0.34436,0.21823,0.81311,-0.32696,0.88820
wres,29,-0.10254,0.44109,0.97403,0.04479,-0.14733,0.53715,-0.09606,0.91386
wres,30,-0.10818,0.45239,0.97258,-0.03166,-0.07653,0.80527,-0.35287,0.88130
wres,31,-0.10543,0.44694,0.97328,0.07428,-0.17972,0.51240,-0.06546,0.87600
wres,32,-0.13414,0.50028,0.96588,-0.06069,-0.07345,0.65391,-0.15362,0.91173
wres,33,-0.13910,0.50878,0.96460,0.12168,-0.26079,0.87932,-0.37054,0.93796
wres,34,-0.14258,0.51462,0.96370,-0.15329,0.01071,1.09382,-0.57920,0.99159
wres,35,-0.08830,0.41086,0.97768,0.21474,-0.30304,0.44115,-0.03029,0.93541
