axis,layer,len_change,rot_mag,rot_frac,len_mlp,len_attn,rot_mlp,rot_attn,tc_rel_error
delta,13,-0.66326,1.28649,0.88883,-0.56857,-0.09470,0.86176,0.42473,1.00146
delta,14,-0.48782,2.08456,0.97369,-0.44083,-0.04699,0.75122,1.33334,0.94244
delta,15,-0.62649,1.89785,0.94960,-0.47157,-0.15492,0.91154,0.98631,0.97413
delta,16,-0.67278,2.26376,0.95856,-0.60713,-0.06565,0.97929,1.28447,1.00127
delta,17,-0.02292,2.75771,0.99997,-0.45021,0.42729,1.52247,1.23524,0.91501
delta,18,-0.41473,2.91168,0.99001,-0.65404,0.23931,1.50916,1.40252,0.93347
delta,19,0.94509,4.78398,0.98104,-0.62529,1.57038,1.39111,3.39286,0.96442
delta,20,0.07632,4.46872,0.99985,-0.94237,1.01869,2.35785,2.11087,0.96145
delta,21,-0.09702,6.93814,0.99990,-0.34239,0.24537,2.10700,4.83114,0.92946
delta,22,0.07175,6.71550,0.99994,0.44797,-0.37622,4.15206,2.56343,0.93286
delta,23,2.71734,11.54254,0.97339,0.22508,2.49226,3.26307,8.27946,0.90345
delta,24,3.66654,13.86384,0.96676,-0.32910,3.99565,5.24047,8.62337,0.81503
delta,25,-0.06195,12.97745,0.99999,0.78028,-0.84223,9.23843,3.73902,0.67237
delta,26,12.45547,42.62963,0.95987,4.48234,7.97313,27.82548,14.80415,0.36854
delta,27,3.02429,33.38781,0.99592,0.86763,2.15665,31.11223,2.27558,0.52361
delta,28,3.03360,40.30929,0.99718,3.44078,-0.40718,37.60781,2.70148,0.53984
delta,29,4.49661,56.00248,0.99679,-0.37331,4.86993,51.78202,4.22045,0.44324
delta,30,1.76975,49.31888,0.99936,-0.15829,1.92805,48.14961,1.16926,0.56054
delta,31,9.37249,76.94172,0.99266,8.36414,1.00835,74.90553,2.03619,0.45713
delta,32,0.30243,109.55533,1.00000,-1.30045,1.60287,105.57884,3.97650,0.39443
delta,33,2.93481,85.01176,0.99940,2.03637,0.89844,80.08184,4.92992,0.56480
delta,34,9.90118,93.45761,0.99443,4.89747,5.00371,83.55640,9.90120,0.58661
delta,35,-9.17604,89.80334,0.99482,-12.57473,3.39869,60.10218,29.70116,0.82514
u,13,-0.09049,0.20900,0.91769,0.02090,-0.11139,-0.00712,0.21612,1.00146
u,14,-0.04980,0.22429,0.97622,0.00632,-0.05613,0.00287,0.22142,0.94244
u,15,-0.06016,0.25368,0.97301,0.02476,-0.08492,-0.05779,0.31147,0.97413
u,16,-0.04918,0.30029,0.98685,-0.04395,-0.00523,-0.00407,0.30436,1.00127
u,17,-0.11236,0.30556,0.93855,-0.03052,-0.08185,0.03729,0.26827,0.91501
u,18,-0.09900,0.31281,0.95339,-0.07161,-0.02739,0.10346,0.20935,0.93347
u,19,-0.10918,0.30778,0.94246,0.09776,-0.20694,-0.09874,0.40651,0.96442
u,20,-0.09010,0.30623,0.95934,-0.01107,-0.07903,0.01818,0.28805,0.96145
u,21,-0.09260,0.33400,0.96365,-0.11490,0.02230,0.24173,0.09227,0.92946
u,22,-0.06092,0.37853,0.98730,0.25366,-0.31458,0.42567,-0.04714,0.93286
u,23,-0.06974,0.37390,0.98305,0.46033,-0.53007,-0.14025,0.51415,0.90345
u,24,-0.05600,0.30837,0.98391,0.38184,-0.43784,0.12647,0.18191,0.81503
u,25,-0.06746,0.26304,0.96865,1.02458,-1.09204,0.09606,0.16698,0.67237
u,26,-0.16895,0.27668,0.85347,6.05578,-6.22473,1.23418,-0.95750,0.36854
u,27,-0.08903,0.22247,0.92841,2.75755,-2.84658,0.16624,0.05623,0.52361
u,28,-0.06960,0.19243,0.94038,4.05564,-4.12524,0.86703,-0.67460,0.53984
u,29,-0.09420,0.19352,0.89913,3.84968,-3.94388,2.21404,-2.02052,0.44324
u,30,-0.05682,0.14443,0.93057,2.88736,-2.94418,2.42563,-2.28120,0.56054
u,31,-0.10356,0.17527,0.86096,9.35181,-9.45536,9.44081,-9.26554,0.45713
u,32,-0.08332,0.14439,0.86613,5.62819,-5.71150,7.59707,-7.45268,0.39443
u,33,-0.03940,0.11348,0.94469,4.68681,-4.72621,1.68919,-1.57571,0.56480
u,34,-0.01767,0.09751,0.98397,8.19365,-8.21133,2.22750,-2.12999,0.58661
u,35,0.00512,0.11514,0.99901,-8.41850,8.42361,-4.62127,4.73640,0.82514
wres,13,-0.31887,0.73216,0.91682,-0.26337,-0.05550,0.34219,0.38997,1.00146
wres,14,-0.47247,0.84953,0.87394,-0.30133,-0.17114,0.30084,0.54870,0.94244
wres,15,-0.36158,0.76969,0.90510,-0.31665,-0.04493,0.38986,0.37983,0.97413
wres,16,-0.40460,0.80343,0.89314,-0.32112,-0.08348,0.35879,0.44465,1.00127
wres,17,-0.39906,0.79930,0.89469,-0.24077,-0.15830,0.34832,0.45097,0.91501
wres,18,-0.33942,0.75075,0.91120,-0.28567,-0.05375,0.38966,0.36109,0.93347
wres,19,-0.40812,0.80603,0.89215,-0.38812,-0.02000,0.42361,0.38241,0.96442
wres,20,-0.33695,0.74858,0.91188,-0.47979,0.14284,0.80626,-0.05768,0.96145
wres,21,-0.38201,0.78618,0.89944,-0.43453,0.05253,0.78992,-0.00373,0.92946
wres,22,-0.35376,0.76313,0.90726,-0.13746,-0.21630,1.33433,-0.57120,0.93286
wres,23,-0.44966,0.83494,0.88044,0.04550,-0.49515,1.30995,-0.47502,0.90345
wres,24,-0.25992,0.67251,0.93276,-0.25947,-0.00045,1.77869,-1.10618,0.81503
wres,25,-0.14428,0.51745,0.96325,0.47819,-0.62247,2.95452,-2.43708,0.67237
wres,26,-0.29257,0.70678,0.92397,2.82753,-3.12010,4.88298,-4.17619,0.36854
wres,27,-0.18779,0.58337,0.95189,1.30801,-1.49580,4.13942,-3.55605,0.52361
wres,28,-0.14527,0.51907,0.96300,0.16956,-0.31483,7.97778,-7.45871,0.53984
wres,29,-0.16395,0.54865,0.95814,0.09632,-0.26027,14.30178,-13.75313,0.44324
wres,30,-0.12403,0.48237,0.96850,-0.25594,0.13191,12.76829,-12.28592,0.56054
wres,31,-0.15135,0.52896,0.96142,5.50164,-5.65299,20.37944,-19.85048,0.45713
wres,32,-0.14767,0.52301,0.96237,-1.40930,1.26163,29.64027,-29.11726,0.39443
wres,33,-0.12337,0.48117,0.96867,-1.11765,0.99428,14.35576,-13.87460,0.56480
wres,34,-0.13544,0.50253,0.96555,1.72816,-1.86360,18.03611,-17.53358,0.58661
wres,35,-0.07903,0.38964,0.98004,-2.98762,2.90858,10.91037,-10.52072,0.82514
