axis,layer,len_change,rot_mag,rot_frac,len_mlp,len_attn,rot_mlp,rot_attn,tc_rel_error
delta,13,-0.74054,1.66022,0.91327,-0.65833,-0.08221,1.16755,0.49266,0.97238
delta,14,-0.58684,2.50260,0.97359,-0.61351,0.02668,0.93254,1.57006,0.99681
delta,15,-0.71838,2.29619,0.95438,-0.57869,-0.13970,1.04590,1.25029,1.00545
delta,16,-0.82674,2.39257,0.94516,-0.75101,-0.07573,1.17722,1.21535,0.95222
delta,17,-0.29324,2.61027,0.99375,-0.52104,0.22779,1.42788,1.18239,0.95494
delta,18,-0.30896,2.92600,0.99447,-0.53030,0.22134,1.39327,1.53273,0.97104
delta,19,0.97523,4.11918,0.97310,-0.50570,1.48093,1.23532,2.88386,0.98455
delta,20,0.27794,4.13836,0.99775,-0.77663,1.05457,2.09659,2.04177,0.96765
delta,21,-0.26356,6.26864,0.99912,-0.42350,0.15995,2.02595,4.24270,0.94894
delta,22,0.28242,7.20774,0.99923,0.41240,-0.12997,3.82825,3.37949,0.91651
delta,23,2.04346,11.54291,0.98469,-0.09159,2.13505,3.80105,7.74186,0.88294
delta,24,4.51724,16.92046,0.96616,0.14315,4.37409,9.61344,7.30701,0.59477
delta,25,0.79479,15.26469,0.99865,1.25227,-0.45748,11.36623,3.89846,0.61820
delta,26,8.74703,35.90415,0.97158,2.65173,6.09530,22.85931,13.04485,0.43876
delta,27,7.66334,36.93323,0.97914,5.59124,2.07210,34.70083,2.23240,0.43273
delta,28,4.02563,48.67171,0.99660,4.70199,-0.67636,45.24982,3.42189,0.41832
delta,29,6.30080,48.19213,0.99156,2.18463,4.11617,43.91536,4.27677,0.52844
delta,30,8.13516,57.61358,0.99018,5.61724,2.51792,55.51840,2.09519,0.49122
delta,31,5.91410,82.10562,0.99742,5.34949,0.56461,80.78556,1.32006,0.41824
delta,32,3.40659,110.14637,0.99952,2.85904,0.54755,108.98976,1.15662,0.36195
delta,33,2.31047,91.16209,0.99968,2.44903,-0.13856,85.70981,5.45228,0.55362
delta,34,6.44739,88.35279,0.99735,2.78958,3.65781,79.25773,9.09506,0.60338
delta,35,-10.49990,90.83529,0.99339,-11.65383,1.15393,62.17475,28.66054,0.75753
u,13,-0.10411,0.30134,0.94518,0.02121,-0.12532,-0.02194,0.32328,0.97238
u,14,-0.09309,0.36174,0.96845,0.00078,-0.09387,0.09222,0.26951,0.99681
u,15,-0.10747,0.36783,0.95987,0.03307,-0.14054,0.03366,0.33417,1.00545
u,16,-0.14926,0.44341,0.94775,-0.03696,-0.11230,-0.08445,0.52786,0.95222
u,17,-0.25222,0.36171,0.82026,0.06525,-0.31748,-0.04568,0.40739,0.95494
u,18,-0.09940,0.33053,0.95764,0.00377,-0.10317,-0.00629,0.33682,0.97104
u,19,-0.09399,0.33432,0.96268,0.00730,-0.10130,-0.04713,0.38144,0.98455
u,20,-0.08998,0.37889,0.97294,-0.02523,-0.06476,-0.00879,0.38768,0.96765
u,21,-0.14472,0.40523,0.94174,0.01301,-0.15773,0.00272,0.40251,0.94894
u,22,-0.10391,0.46715,0.97615,0.36385,-0.46775,0.51359,-0.04644,0.91651
u,23,-0.12616,0.39341,0.95223,0.85155,-0.97772,-0.19514,0.58855,0.88294
u,24,-0.09172,0.33093,0.96367,1.03204,-1.12376,0.38533,-0.05440,0.59477
u,25,-0.08027,0.27280,0.95933,1.77246,-1.85273,0.32136,-0.04856,0.61820
u,26,-0.13349,0.26712,0.89452,4.40467,-4.53815,0.74461,-0.47750,0.43876
u,27,-0.09776,0.22416,0.91662,5.73542,-5.83318,-1.11144,1.33559,0.43273
u,28,-0.11505,0.23825,0.90050,7.81322,-7.92827,1.48998,-1.25173,0.41832
u,29,-0.05238,0.15972,0.95020,2.95253,-3.00491,1.42259,-1.26288,0.52844
u,30,-0.09039,0.16634,0.87866,7.88870,-7.97909,2.13274,-1.96640,0.49122
u,31,-0.07292,0.16309,0.91291,6.36018,-6.43310,2.49880,-2.33571,0.41824
u,32,-0.06664,0.14787,0.91170,7.25950,-7.32614,8.03890,-7.89103,0.36195
u,33,-0.06493,0.12993,0.89451,5.14326,-5.20819,3.40923,-3.27930,0.55362
u,34,-0.01486,0.10311,0.98978,3.75924,-3.77410,-0.10913,0.21224,0.60338
u,35,0.00739,0.10563,0.99756,-6.18145,6.18885,1.66860,-1.56297,0.75753
wres,13,-0.35341,0.76284,0.90736,-0.31529,-0.03812,0.42349,0.33935,0.97238
wres,14,-0.44493,0.83180,0.88178,-0.29808,-0.14685,0.39170,0.44011,0.99681
wres,15,-0.36338,0.77118,0.90460,-0.29429,-0.06909,0.35397,0.41722,1.00545
wres,16,-0.41176,0.80869,0.89113,-0.37524,-0.03653,0.31439,0.49430,0.95222
wres,17,-0.38756,0.79052,0.89790,-0.24022,-0.14734,0.40397,0.38655,0.95494
wres,18,-0.31402,0.72762,0.91814,-0.23874,-0.07528,0.45972,0.26790,0.97104
wres,19,-0.37475,0.78042,0.90146,-0.31716,-0.05759,0.50975,0.27067,0.98455
wres,20,-0.34071,0.75189,0.91085,-0.41407,0.07336,0.84619,-0.09431,0.96765
wres,21,-0.35182,0.76149,0.90779,-0.34713,-0.00469,0.93112,-0.16963,0.94894
wres,22,-0.37647,0.78180,0.90098,-0.11203,-0.26444,1.23838,-0.45659,0.91651
wres,23,-0.38870,0.79140,0.89758,-0.13581,-0.25290,1.35344,-0.56204,0.88294
wres,24,-0.27715,0.69101,0.92813,-0.02191,-0.25524,2.94574,-2.25473,0.59477
wres,25,-0.17260,0.56161,0.95588,0.29079,-0.46338,3.56223,-3.00062,0.61820
wres,26,-0.23528,0.64437,0.93934,1.08415,-1.31943,5.01249,-4.36812,0.43876
wres,27,-0.17473,0.56474,0.95532,1.31031,-1.48505,6.65612,-6.09138,0.43273
wres,28,-0.19728,0.59636,0.94940,2.91819,-3.11547,10.14836,-9.55200,0.41832
wres,29,-0.20409,0.60542,0.94760,0.38251,-0.58660,13.35260,-12.74718,0.52844
wres,30,-0.13944,0.50935,0.96451,1.04442,-1.18386,16.30804,-15.79868,0.49122
wres,31,-0.14064,0.51136,0.96420,5.98459,-6.12522,23.64871,-23.13735,0.41824
wres,32,-0.17341,0.56281,0.95566,-0.02141,-0.15200,30.04237,-29.47956,0.36195
wres,33,-0.11505,0.46569,0.97081,3.95242,-4.06748,4.46399,-3.99830,0.55362
wres,34,-0.12051,0.47592,0.96940,2.07611,-2.19663,12.04389,-11.56796,0.60338
wres,35,-0.06629,0.35803,0.98329,-3.54575,3.47946,10.74595,-10.38791,0.75753
