axis,layer,len_change,rot_mag,rot_frac,len_mlp,len_attn,rot_mlp,rot_attn,tc_rel_error
delta,13,-0.43783,0.94479,0.90731,-0.40545,-0.03237,0.64026,0.30453,0.98875
delta,14,-0.30772,1.69278,0.98388,-0.32090,0.01317,0.55271,1.14007,0.96028
delta,15,-0.52145,1.54705,0.94762,-0.38796,-0.13350,0.67140,0.87565,1.00608
delta,16,-0.61493,1.93066,0.95284,-0.54455,-0.07039,0.85230,1.07836,0.98961
delta,17,-0.00825,2.36654,0.99999,-0.24555,0.23730,1.20331,1.16323,0.91489
delta,18,-0.27867,2.43464,0.99351,-0.49834,0.21967,1.35316,1.08148,0.95619
delta,19,1.04463,4.23561,0.97091,-0.44757,1.49221,1.22189,3.01372,0.95241
delta,20,0.12942,3.95721,0.99947,-0.83475,0.96417,1.94082,2.01640,0.93366
delta,21,0.40118,6.28922,0.99797,-0.15118,0.55235,1.93703,4.35220,0.92315
delta,22,0.11913,6.43021,0.99983,0.57360,-0.45447,4.16638,2.26383,0.86208
delta,23,2.88174,9.33053,0.95547,0.21206,2.66968,2.77930,6.55123,0.95639
delta,24,3.78062,14.11252,0.96594,-0.01908,3.79970,3.96055,10.15197,0.83018
delta,25,-2.18500,10.72417,0.97987,0.63872,-2.82371,6.64364,4.08053,0.71649
delta,26,11.07799,39.66630,0.96314,2.79077,8.28722,19.70667,19.95962,0.40257
delta,27,7.47678,33.74307,0.97632,5.64893,1.82785,31.79708,1.94600,0.42211
delta,28,2.43888,37.62302,0.99791,2.63872,-0.19984,35.37936,2.24366,0.56399
delta,29,5.53607,52.68905,0.99453,2.70285,2.83322,49.95946,2.72959,0.43569
delta,30,5.92327,49.76723,0.99299,3.40535,2.51792,48.49169,1.27554,0.52834
delta,31,4.86075,61.42418,0.99688,4.21113,0.64963,60.42761,0.99657,0.54776
delta,32,-0.07307,107.36832,1.00000,-0.27941,0.20633,105.34289,2.02543,0.37199
delta,33,8.88784,86.78036,0.99480,8.37719,0.51065,84.40984,2.37052,0.48878
delta,34,1.78697,80.96258,0.99976,-2.84468,4.63165,74.35795,6.60464,0.60905
delta,35,-4.69284,73.15001,0.99795,-4.77963,0.08679,47.55339,25.59662,0.81809
u,13,-0.05873,0.22036,0.96627,-0.03213,-0.02659,0.00001,0.22035,0.98875
u,14,-0.05408,0.27960,0.98180,-0.02596,-0.02812,0.05797,0.22163,0.96028
u,15,-0.06592,0.28634,0.97451,-0.01479,-0.05113,-0.03950,0.32584,1.00608
u,16,-0.07010,0.35297,0.98084,-0.00927,-0.06082,0.04325,0.30972,0.98961
u,17,-0.15731,0.34153,0.90828,-0.03050,-0.12681,-0.03569,0.37722,0.91489
u,18,-0.08040,0.34734,0.97424,-0.01592,-0.06448,0.02862,0.31872,0.95619
u,19,-0.14418,0.31457,0.90906,0.04382,-0.18799,0.03314,0.28142,0.95241
u,20,-0.08482,0.33231,0.96893,-0.14687,0.06205,-0.12799,0.46030,0.93366
u,21,-0.15457,0.37497,0.92453,-0.09457,-0.05999,0.07705,0.29792,0.92315
u,22,-0.11134,0.38018,0.95969,0.44185,-0.55320,0.32566,0.05451,0.86208
u,23,-0.08381,0.34065,0.97104,0.50590,-0.58971,-0.08505,0.42570,0.95639
u,24,-0.05765,0.28464,0.98010,-0.09639,0.03874,0.18771,0.09693,0.83018
u,25,-0.02960,0.24873,0.99299,0.75171,-0.78131,0.22728,0.02146,0.71649
u,26,-0.16232,0.28325,0.86764,4.74313,-4.90545,0.10542,0.17784,0.40257
u,27,-0.08632,0.21525,0.92814,4.63013,-4.71646,-0.60300,0.81826,0.42211
u,28,-0.06959,0.19003,0.93902,4.33525,-4.40484,0.56502,-0.37499,0.56399
u,29,-0.08225,0.17885,0.90853,4.93683,-5.01908,1.81945,-1.64060,0.43569
u,30,-0.05369,0.13867,0.93255,3.23114,-3.28483,1.64845,-1.50978,0.52834
u,31,-0.10384,0.18117,0.86761,6.96022,-7.06406,5.09225,-4.91107,0.54776
u,32,-0.07200,0.13934,0.88839,4.58845,-4.66046,8.63247,-8.49314,0.37199
u,33,-0.04843,0.11941,0.92668,10.56531,-10.61374,-2.09105,2.21046,0.48878
u,34,-0.01422,0.09609,0.98923,-2.51886,2.50464,-0.27258,0.36868,0.60905
u,35,-0.00318,0.08140,0.99924,2.74203,-2.74521,5.96293,-5.88153,0.81809
wres,13,-0.36446,0.77206,0.90431,-0.19576,-0.16870,0.22764,0.54442,0.98875
wres,14,-0.55535,0.89570,0.84990,-0.21586,-0.33948,0.16221,0.73349,0.96028
wres,15,-0.40219,0.80164,0.89382,-0.20519,-0.19699,0.30565,0.49599,1.00608
wres,16,-0.42537,0.81842,0.88731,-0.23807,-0.18731,0.31083,0.50759,0.98961
wres,17,-0.39299,0.79469,0.89639,-0.19433,-0.19866,0.33603,0.45866,0.91489
wres,18,-0.32085,0.73400,0.91628,-0.20294,-0.11791,0.34618,0.38782,0.95619
wres,19,-0.44410,0.83125,0.88202,-0.22395,-0.22014,0.35232,0.47893,0.95241
wres,20,-0.29992,0.71407,0.92198,-0.27739,-0.02253,0.50683,0.20723,0.93366
wres,21,-0.36868,0.77552,0.90314,-0.05892,-0.30976,0.57224,0.20328,0.92315
wres,22,-0.35114,0.76091,0.90798,-0.03753,-0.31361,1.26939,-0.50848,0.86208
wres,23,-0.43921,0.82796,0.88340,-0.09507,-0.34414,0.89512,-0.06716,0.95639
wres,24,-0.27287,0.68650,0.92928,-0.03847,-0.23441,1.56827,-0.88177,0.83018
wres,25,-0.14780,0.52322,0.96234,0.09240,-0.24020,2.06110,-1.53789,0.71649
