axis,layer,len_change,rot_mag,rot_frac,len_mlp,len_attn,rot_mlp,rot_attn,tc_rel_error
delta,13,-0.92409,1.90317,0.89956,-0.84555,-0.07855,1.42222,0.48095,0.95520
delta,14,-0.63772,2.77101,0.97453,-0.67913,0.04141,1.10228,1.66873,0.97268
delta,15,-0.87822,2.49800,0.94340,-0.57138,-0.30684,1.27913,1.21887,0.95220
delta,16,-0.91428,2.73627,0.94845,-0.77478,-0.13950,1.19517,1.54110,0.99672
delta,17,-0.21616,3.19043,0.99771,-0.48954,0.27338,1.74769,1.44274,0.91415
delta,18,-0.40622,3.62042,0.99376,-0.50676,0.10054,1.88086,1.73956,0.89904
delta,19,0.93737,5.44136,0.98548,-0.72516,1.66254,1.96376,3.47760,0.95082
delta,20,0.04140,5.53127,0.99997,-1.27779,1.31919,3.09564,2.43563,0.92230
delta,21,-0.07648,7.48876,0.99995,-0.48712,0.41064,2.75457,4.73419,0.92622
delta,22,0.01543,8.40437,1.00000,0.16377,-0.14834,4.53222,3.87216,0.90281
delta,23,2.05916,14.24018,0.98971,-0.09756,2.15672,4.19424,10.04594,0.84524
delta,24,5.51819,17.88039,0.95553,-0.41397,5.93216,8.35825,9.52214,0.68151
delta,25,0.24966,17.33605,0.99990,1.15586,-0.90621,13.46464,3.87141,0.59021
delta,26,14.39430,43.15203,0.94862,6.65376,7.74054,34.56699,8.58505,0.33153
delta,27,5.75750,39.50594,0.98955,2.77964,2.97787,36.54543,2.96052,0.46659
delta,28,1.11066,42.84598,0.99966,1.75016,-0.63950,39.87766,2.96832,0.49035
delta,29,9.58315,67.17210,0.98998,3.06921,6.51393,62.31391,4.85820,0.37362
delta,30,4.15673,65.93620,0.99802,1.92983,2.22690,64.37395,1.56224,0.45746
delta,31,10.32900,97.27168,0.99441,9.65917,0.66983,96.08356,1.18812,0.38693
delta,32,2.91443,99.60802,0.99957,0.88765,2.02678,96.12481,3.48320,0.47565
delta,33,-5.22756,86.03279,0.99816,-5.76568,0.53812,79.08408,6.94871,0.63797
delta,34,15.58029,86.64923,0.98422,7.88721,7.69308,74.13891,12.51032,0.67024
delta,35,-1.76879,86.59732,0.99979,-8.65000,6.88121,52.26958,34.32774,0.94416
u,13,-0.05706,0.24179,0.97326,0.05568,-0.11275,-0.02335,0.26513,0.95520
u,14,-0.06146,0.31683,0.98170,0.04003,-0.10149,-0.00349,0.32032,0.97268
u,15,-0.07821,0.34315,0.97500,-0.00147,-0.07674,-0.03963,0.38278,0.95220
u,16,-0.08849,0.42826,0.97931,-0.03189,-0.05661,-0.01150,0.43976,0.99672
u,17,-0.18366,0.41494,0.91443,0.00996,-0.19363,-0.06718,0.48211,0.91415
u,18,-0.12649,0.40415,0.95435,-0.05219,-0.07431,-0.01317,0.41732,0.89904
u,19,-0.11474,0.42889,0.96603,0.01883,-0.13357,-0.09791,0.52680,0.95082
u,20,-0.15208,0.47094,0.95161,-0.02328,-0.12880,-0.00175,0.47269,0.92230
u,21,-0.25220,0.46353,0.87840,-0.10541,-0.14678,-0.03011,0.49364,0.92622
u,22,-0.16948,0.46989,0.94068,0.30067,-0.47015,0.37211,0.09778,0.90281
u,23,-0.14498,0.40206,0.94071,0.65755,-0.80253,-0.10801,0.51007,0.84524
u,24,-0.08870,0.32269,0.96423,0.58037,-0.66907,0.37907,-0.05638,0.68151
u,25,-0.09234,0.27707,0.94870,2.23377,-2.32611,0.25431,0.02276,0.59021
u,26,-0.10300,0.23759,0.91750,5.42814,-5.53113,1.61579,-1.37820,0.33153
u,27,-0.09921,0.23678,0.92231,4.27993,-4.37914,0.26910,-0.03231,0.46659
u,28,-0.08839,0.20685,0.91956,4.02843,-4.11682,3.01155,-2.80469,0.49035
u,29,-0.06794,0.17517,0.93233,4.71839,-4.78633,1.28829,-1.11311,0.37362
u,30,-0.07660,0.16890,0.91072,6.09208,-6.16868,2.49849,-2.32959,0.45746
u,31,-0.08358,0.16187,0.88854,14.23926,-14.32283,5.18360,-5.02174,0.38693
u,32,-0.05345,0.14429,0.93773,4.65158,-4.70502,3.39511,-3.25082,0.47565
