axis,layer,len_change,rot_mag,rot_frac,len_mlp,len_attn,rot_mlp,rot_attn,tc_rel_error
delta,13,-0.41013,0.96872,0.92087,-0.37358,-0.03655,0.57896,0.38977,0.98781
delta,14,-0.43063,1.17083,0.93853,-0.31113,-0.11950,0.43202,0.73881,0.97184
delta,15,-0.40210,1.18093,0.94663,-0.30681,-0.09529,0.52201,0.65892,0.96759
delta,16,-0.40433,1.36948,0.95907,-0.39918,-0.00516,0.59546,0.77403,1.00186
delta,17,-0.17671,1.82497,0.99534,-0.32670,0.14999,0.90406,0.92092,0.93481
delta,18,-0.29460,1.93933,0.98866,-0.34538,0.05079,0.80809,1.13124,0.98912
delta,19,0.62732,3.86792,0.98710,-0.46076,1.08808,0.88129,2.98663,0.93720
delta,20,0.26672,3.76945,0.99751,-0.50537,0.77209,1.91113,1.85832,0.96338
delta,21,0.52966,6.49358,0.99669,-0.37005,0.89972,1.77027,4.72331,0.92956
delta,22,-0.59189,5.84669,0.99491,0.01347,-0.60537,3.59133,2.25536,0.97230
delta,23,2.98631,9.79889,0.95656,0.41388,2.57244,4.27133,5.52756,0.88708
delta,24,2.63976,13.01790,0.98005,-0.30364,2.94340,3.34932,9.66858,0.93762
delta,25,-1.96645,10.53611,0.98303,0.95500,-2.92145,6.11240,4.42371,0.78266
delta,26,12.19088,33.04832,0.93820,2.88466,9.30622,19.54392,13.50440,0.42386
delta,27,6.16516,28.72042,0.97773,3.47784,2.68732,26.26458,2.45584,0.56846
delta,28,1.44244,30.03291,0.99885,2.05122,-0.60878,26.78113,3.25178,0.59241
delta,29,3.47137,45.00856,0.99704,0.93789,2.53347,39.99017,5.01839,0.49915
delta,30,3.05920,47.48299,0.99793,0.69836,2.36084,46.49339,0.98961,0.53770
delta,31,5.86700,61.45292,0.99547,5.47088,0.39612,58.37595,3.07697,0.53528
delta,32,2.34199,61.70027,0.99928,0.82694,1.51505,57.55396,4.14631,0.65095
delta,33,3.50133,66.85018,0.99863,2.57878,0.92255,62.61324,4.23694,0.62358
delta,34,7.39826,72.61548,0.99485,0.81421,6.58405,65.37405,7.24143,0.63269
delta,35,-2.17814,66.07175,0.99946,-7.37931,5.20117,42.23023,23.84152,0.85653
u,13,-0.05215,0.20783,0.96993,0.01223,-0.06438,-0.02704,0.23487,0.98781
u,14,-0.04447,0.25371,0.98498,0.01117,-0.05564,-0.02058,0.27429,0.97184
u,15,-0.04742,0.28144,0.98610,0.03836,-0.08578,-0.01592,0.29736,0.96759
u,16,-0.06520,0.33945,0.98205,-0.01025,-0.05495,-0.03017,0.36962,1.00186
u,17,-0.12475,0.32458,0.93343,-0.01139,-0.11336,-0.04114,0.36572,0.93481
u,18,-0.07071,0.33052,0.97787,0.00684,-0.07755,-0.04581,0.37634,0.98912
u,19,-0.08219,0.33738,0.97159,-0.01578,-0.06641,-0.07109,0.40847,0.93720
u,20,-0.07471,0.37116,0.98034,-0.04490,-0.02981,0.02151,0.34964,0.96338
u,21,-0.10557,0.40379,0.96748,0.15005,-0.25562,-0.16165,0.56544,0.92956
u,22,-0.11660,0.45583,0.96881,0.04242,-0.15902,0.31759,0.13824,0.97230
u,23,-0.10005,0.40880,0.97133,0.66626,-0.76631,0.18909,0.21971,0.88708
u,24,-0.07348,0.33664,0.97700,0.16896,-0.24243,0.09082,0.24582,0.93762
u,25,-0.08756,0.29411,0.95842,1.09693,-1.18449,0.01651,0.27761,0.78266
u,26,-0.21360,0.32123,0.83272,4.48102,-4.69462,0.37913,-0.05789,0.42386
u,27,-0.09402,0.23975,0.93098,4.09915,-4.19317,-0.33020,0.56995,0.56846
u,28,-0.07279,0.19767,0.93840,3.18076,-3.25355,0.45213,-0.25446,0.59241
u,29,-0.09652,0.21160,0.90983,3.89219,-3.98871,0.73264,-0.52104,0.49915
u,30,-0.06397,0.15197,0.92167,3.56820,-3.63217,0.54900,-0.39702,0.53770
u,31,-0.13440,0.19008,0.81651,7.57772,-7.71211,7.53003,-7.33995,0.53528
u,32,-0.07153,0.15131,0.90408,4.50198,-4.57351,1.90639,-1.75507,0.65095
