axis,layer,len_change,rot_mag,rot_frac,len_mlp,len_attn,rot_mlp,rot_attn,tc_rel_error
delta,13,-0.85234,1.83503,0.90694,-0.75762,-0.09472,1.30758,0.52745,0.95655
delta,14,-0.70445,2.62316,0.96578,-0.68614,-0.01831,1.03288,1.59028,0.98839
delta,15,-0.80952,2.48594,0.95085,-0.60609,-0.20344,1.17607,1.30987,0.99274
delta,16,-0.90003,2.82191,0.95272,-0.78040,-0.11963,1.25127,1.57064,0.97012
delta,17,-0.38510,3.17620,0.99273,-0.60678,0.22169,1.69957,1.47663,0.92050
delta,18,-0.51027,3.43101,0.98912,-0.66824,0.15798,1.87793,1.55308,0.91569
delta,19,1.07956,5.26110,0.97959,-0.61598,1.69554,1.71592,3.54518,0.97864
delta,20,0.19368,5.19623,0.99931,-1.10053,1.29421,2.78485,2.41138,0.94219
delta,21,0.03720,6.98376,0.99999,-0.39817,0.43537,2.42418,4.55958,0.94568
delta,22,0.22630,8.12507,0.99961,0.43164,-0.20534,4.21471,3.91037,0.91089
delta,23,2.66436,13.83755,0.98196,0.16910,2.49525,4.63292,9.20463,0.85607
delta,24,5.29283,17.07800,0.95518,-0.20471,5.49754,8.87564,8.20236,0.67230
delta,25,0.47843,16.89608,0.99960,1.22630,-0.74787,13.14082,3.75526,0.57213
delta,26,11.36701,36.20083,0.95407,4.33417,7.03283,25.55906,10.64176,0.39716
delta,27,7.24835,37.66123,0.98198,4.90371,2.34464,35.13056,2.53067,0.45353
delta,28,1.97928,43.81548,0.99898,2.81284,-0.83356,40.51096,3.30453,0.44190
delta,29,9.14106,60.46871,0.98877,4.04259,5.09848,55.65715,4.81156,0.38698
delta,30,8.09404,64.97712,0.99233,5.82769,2.26636,63.54317,1.43395,0.44599
delta,31,8.86606,94.55209,0.99563,7.99644,0.86962,93.92279,0.62931,0.38268
delta,32,2.72069,90.19207,0.99955,1.92027,0.80042,88.44954,1.74253,0.50669
delta,33,-5.67693,90.22720,0.99803,-6.31540,0.63847,84.38764,5.83956,0.58237
delta,34,7.58388,75.08429,0.99494,0.09419,7.48969,64.69140,10.39289,0.71815
delta,35,1.30900,79.02734,0.99986,-3.86105,5.17005,46.28370,32.74364,0.88819
u,13,-0.06541,0.23858,0.96441,0.01886,-0.08427,0.03110,0.20749,0.95655
u,14,-0.08079,0.30817,0.96731,0.02161,-0.10239,0.08846,0.21971,0.98839
u,15,-0.11109,0.33544,0.94930,-0.02224,-0.08885,0.01632,0.31912,0.99274
u,16,-0.10622,0.37885,0.96287,-0.03878,-0.06744,-0.01577,0.39461,0.97012
u,17,-0.14177,0.37013,0.93384,0.04387,-0.18563,-0.11866,0.48879,0.92050
u,18,-0.11456,0.37944,0.95732,0.00992,-0.12448,0.06043,0.31901,0.91569
u,19,-0.17044,0.36161,0.90456,0.00632,-0.17676,-0.15843,0.52004,0.97864
u,20,-0.09877,0.36646,0.96554,-0.05207,-0.04670,-0.24869,0.61515,0.94219
u,21,-0.15442,0.39285,0.93068,-0.03877,-0.11566,-0.12911,0.52196,0.94568
u,22,-0.11356,0.43400,0.96743,0.46009,-0.57364,0.43486,-0.00086,0.91089
u,23,-0.12546,0.37070,0.94722,0.97742,-1.10288,0.16376,0.20694,0.85607
u,24,-0.05608,0.29845,0.98280,0.64286,-0.69894,0.42743,-0.12898,0.67230
u,25,-0.05557,0.25906,0.97776,1.99039,-2.04597,-0.48350,0.74257,0.57213
u,26,-0.12087,0.26591,0.91036,4.48754,-4.60841,-0.14891,0.41482,0.39716
u,27,-0.10199,0.22406,0.91015,5.36794,-5.46993,0.36377,-0.13970,0.45353
